policy,num_combos,frac_better_q,frac_better_p,frac_better_h,frac_better_all3,mean_d_gui_nmse_q,mean_d_gui_nmse_p,mean_d_gui_hamres,mean_d_all3_win_rate
gp,24,0.7083333333333334,0.75,0.3333333333333333,0.0,0.013552999990686413,-0.0004992219033276646,3.4385322154175282e-06,-0.000416666666666667
sinusoidal,24,0.5,0.5416666666666666,0.625,0.0,0.00686186462341127,0.0006577448365054105,-1.1182161506329133e-06,-0.000416666666666667
spline,24,0.4583333333333333,0.4583333333333333,0.3333333333333333,0.0,-0.4240507010801502,0.0038963127298242903,7.1752528431868875e-06,-0.000416666666666667
zero,24,0.75,0.5833333333333334,0.625,0.041666666666666664,0.004432115217973302,-0.006737471634709533,-1.0201781660719378e-05,0.000416666666666667
