trajectory_length,baseline_mse_qpos,baseline_mse_mom,baseline_mse_total,guided_mse_qpos,guided_mse_mom,guided_mse_total,mse_improvement_pct,training_energy_mean,training_energy_std,baseline_energy_mean,baseline_energy_std,guided_energy_mean,guided_energy_std
50,0.0007743291397289703,0.006094732809670576,0.006869061949399546,0.0003068598479725735,0.0009253146103480925,0.001232174458320666,82.06196905199879,1.3679148176312446,15.695784162902575,2.5011146068573,18.107938766479492,2.5109336376190186,18.107452392578125
150,0.0005865709640248841,0.001761018006048955,0.0023475889700738392,0.00014992088451036643,0.00030518799717480915,0.0004551088816851756,80.61377492028083,1.692274839282036,14.716164954688455,2.919137477874756,14.80547046661377,2.9219908714294434,14.805075645446777
250,0.0016283610185138468,0.004206787268593692,0.005835148287107538,0.000387117714029032,0.0009618801547937899,0.0013489978688228218,76.8815152169592,1.954500475935638,15.047432681129935,2.5068795680999756,15.033255577087402,2.5084829330444336,15.031914710998535
350,0.0051340910263977515,0.014967397672311918,0.02010148869870967,0.0011226658082603624,0.0028872640931301152,0.004009929901390478,80.05157746526565,1.77548673838377,16.88986451845644,2.6673572063446045,15.066637992858887,2.669508934020996,15.065095901489258
450,0.005080902485949242,0.022410365961003157,0.027491268446952398,0.001213000963395173,0.0048842743783029515,0.006097275341698125,77.82104760475667,4.06006826043129,15.845234529509188,2.6948649883270264,14.901772499084473,2.6962873935699463,14.89978313446045
550,0.010545921731368282,0.051411331148934494,0.06195725288030278,0.0018471851677031314,0.01022021688984529,0.012067402057548422,80.52301950691418,3.1085466876626016,15.304905314404824,3.1282668113708496,14.640544891357422,3.1311209201812744,14.639725685119629
650,0.012744526766581029,0.0777322380555983,0.09047676482217933,0.0018425979122139644,0.01629809758119918,0.018140695493413145,79.94988489136809,0.8023506078869105,15.561319590439576,3.4935154914855957,14.034655570983887,3.497634172439575,14.032641410827637
750,0.015764436515433,0.142028010246346,0.157792446761779,0.0034607226673841825,0.03827560514946543,0.04173632781684961,73.54985699672976,5.759223050028086,14.486635400242724,3.2329859733581543,13.841575622558594,3.23704195022583,13.840472221374512
850,0.019531399679765207,0.20832534116726767,0.2278567408470329,0.004678750403348986,0.06337344096969716,0.06805219137304615,70.1337818139286,5.94977670609951,14.922784911642708,3.769625425338745,13.662153244018555,3.7751147747039795,13.661136627197266
950,0.032105839992359164,0.34818703726292527,0.38029287725528443,0.008518518735182546,0.14047990217496692,0.14899842091014948,60.82008635409459,4.234274693056941,13.268434998984024,5.1543426513671875,14.268396377563477,5.157956600189209,14.26761245727539
