guidance_method,guidance_steps,guidance_lr,guidance_after_steps,chunk_length,lambda_init,mse_qpos_baseline,mse_qpos_guided,mse_mom_baseline,mse_mom_guided,mse_total_baseline,mse_total_guided,improvement_abs,improvement_pct
adam,10,0.003,35,,1.0,0.05650832617116201,0.02300088765819966,0.9056426442014571,0.4136313405401784,0.9621509703726191,0.4366322281983781,0.525518742174241,54.61915628175479
adam,10,0.003,40,,1.0,0.05650832617116201,0.023079845054344163,0.9056426442014571,0.4117548446410369,0.9621509703726191,0.4348346896953811,0.527316280677238,54.805981276828156
adam,10,0.003,45,,1.0,0.05650832617116201,0.023810700364504753,0.9056426442014571,0.41579452477464135,0.9621509703726191,0.4396052251391461,0.522545745233473,54.3101614324728
adam,10,0.005,35,,1.0,0.05650832617116201,0.01764417361881015,0.9056426442014571,0.324835254952314,0.9621509703726191,0.3424794285711242,0.6196715418014949,64.40481388918728
adam,10,0.005,40,,1.0,0.05650832617116201,0.01770005730295655,0.9056426442014571,0.3228046480842667,0.9621509703726191,0.3405047053872232,0.6216462649853959,64.61005436024728
adam,10,0.005,45,,1.0,0.05650832617116201,0.018169192301205585,0.9056426442014571,0.3247191809048389,0.9621509703726191,0.3428883732060445,0.6192625971665746,64.36231072206354
adam,10,0.007,35,,1.0,0.05650832617116201,0.015561168039893268,0.9056426442014571,0.2838707586406495,0.9621509703726191,0.29943192668054275,0.6627190436920763,68.87890404926999
adam,10,0.007,40,,1.0,0.05650832617116201,0.015405317432546962,0.9056426442014571,0.28071505645022293,0.9621509703726191,0.2961203738827699,0.6660305964898492,69.22308629298692
adam,10,0.007,45,,1.0,0.05650832617116201,0.015522959080026965,0.9056426442014571,0.2795822334001713,0.9621509703726191,0.2951051924801983,0.6670457778924208,69.3285979469614
adam,10,0.01,35,,1.0,0.05650832617116201,0.014942475370599997,0.9056426442014571,0.2695730519468093,0.9621509703726191,0.2845155273174093,0.6776354430552098,70.42922201624732
adam,10,0.01,40,,1.0,0.05650832617116201,0.014790231876413696,0.9056426442014571,0.26663361174806505,0.9621509703726191,0.28142384362447875,0.6807271267481403,70.75055242988635
adam,10,0.01,45,,1.0,0.05650832617116201,0.014584467656799537,0.9056426442014571,0.260746237548442,0.9621509703726191,0.27533070520524155,0.6868202651673776,71.38383541840506
adam,15,0.003,35,,1.0,0.05650832617116201,0.018570889027083596,0.9056426442014571,0.3436246918402732,0.9621509703726191,0.3621955808673568,0.5999553895052623,62.35563939335979
adam,15,0.003,40,,1.0,0.05650832617116201,0.018587916941963968,0.9056426442014571,0.3414499472635992,0.9621509703726191,0.36003786420556316,0.6021131061670559,62.579899070711456
adam,15,0.003,45,,1.0,0.05650832617116201,0.019064586147877198,0.9056426442014571,0.34153220858130645,0.9621509703726191,0.36059679472918366,0.6015541756434355,62.5218073012458
adam,15,0.005,35,,1.0,0.05650832617116201,0.014887885359490989,0.9056426442014571,0.27871010089375214,0.9621509703726191,0.2935979862532431,0.668552984119376,69.48524760729188
adam,15,0.005,40,,1.0,0.05650832617116201,0.014749980023072878,0.9056426442014571,0.27552239129556405,0.9621509703726191,0.2902723713186369,0.6718785990539822,69.83089138223069
adam,15,0.005,45,,1.0,0.05650832617116201,0.014877600294254268,0.9056426442014571,0.2738665798022585,0.9621509703726191,0.28874418009651276,0.6734067902761063,69.98972209270975
adam,15,0.007,35,,1.0,0.05650832617116201,0.013589855191670767,0.9056426442014571,0.2580537292661178,0.9621509703726191,0.2716435844577886,0.6905073859148305,71.76705186374367
adam,15,0.007,40,,1.0,0.05650832617116201,0.013662758368349159,0.9056426442014571,0.2593367435476297,0.9621509703726191,0.2729995019159789,0.6891514684566402,71.62612621902232
adam,15,0.007,45,,1.0,0.05650832617116201,0.013475528935222244,0.9056426442014571,0.2544769855434265,0.9621509703726191,0.26795251447864876,0.6941984558939703,72.1506787677118
adam,15,0.01,35,,1.0,0.05650832617116201,0.013578065610799574,0.9056426442014571,0.25794216773572737,0.9621509703726191,0.2715202333465269,0.6906307370260922,71.77987221263486
adam,15,0.01,40,,1.0,0.05650832617116201,0.01343877990958079,0.9056426442014571,0.2585282771468675,0.9621509703726191,0.2719670570564483,0.6901839133161708,71.73343212956262
adam,15,0.01,45,,1.0,0.05650832617116201,0.013361489953990382,0.9056426442014571,0.25698524978071974,0.9621509703726191,0.27034673973471013,0.691804230637909,71.90183785502903
adam,20,0.003,35,,1.0,0.05650832617116201,0.016461226356101952,0.9056426442014571,0.3050920329746143,0.9621509703726191,0.32155325933071627,0.6405977110419028,66.57975003588199
adam,20,0.003,40,,1.0,0.05650832617116201,0.016362782606263292,0.9056426442014571,0.30208421825283777,0.9621509703726191,0.31844700085910105,0.643703969513518,66.90259526155508
adam,20,0.003,45,,1.0,0.05650832617116201,0.016745437770976347,0.9056426442014571,0.30235176608330305,0.9621509703726191,0.3190972038542794,0.6430537665183397,66.83501719790395
