model,candidate_id,median_ratio_q,median_ratio_p,mean_prob_q,mean_prob_p,num_settings
dpf,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,1.7584310341503688,0.6788386794765237,0.0,0.5,1
fixed_diffusion,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,0.9008715142782332,1.0864624797026023,1.0,0.5,1
