trajectory_length,gt_median,gt_p95,gt_p99,gt_mean,gt_std
50,0.00039064504380803555,0.0014118919556494799,0.0021162828197702796,0.0004846785445442947,0.0004549989217646838
100,0.0002750522253336385,0.0008743432874325661,0.0013570505240932114,0.0003261385822406737,0.0002653992513929068
150,0.00022346666810335591,0.0007027599494904279,0.0011947429529391275,0.0002936017779211397,0.0002752588757874156
200,0.0002105225794366561,0.0006145251885754987,0.0009245186729822309,0.00025556640341164896,0.00018287743254574016
250,0.00020677869906648993,0.0005589112028246745,0.0007504379109013829,0.00023972112355295395,0.00015860089458286295
300,0.00019829150551231578,0.0005142777023138478,0.0006640599528327587,0.0002299850602321385,0.00014669900319235212
350,0.0001860163756646216,0.0004730123182525857,0.0005927999952109533,0.00022260248071688692,0.00012985908220906683
400,0.00019570931908674538,0.0004866071612923406,0.0005686692585004494,0.00021854667364095803,0.0001224586890096322
450,0.00020056143694091588,0.0004459346222574822,0.0005262670473894104,0.00021314060784789036,0.0001132301951494205
500,0.00020348501129774377,0.0004016187478555365,0.0005200836720177904,0.00021280840217514197,0.00010708492903711154
550,0.00020439105719560757,0.0003789815076743252,0.0004978315916378052,0.00020894304485409522,9.815968171356927e-05
600,0.00019713572692126036,0.0003743078559637069,0.0004609942110255364,0.0002071078313747421,9.560142870160538e-05
650,0.00020263061742298305,0.00037171860021771857,0.00043865575600648347,0.00020602247252099915,9.218409999688589e-05
700,0.00019883745699189603,0.0003816723066847771,0.0004309473204193644,0.00020689123382908292,9.319948693472891e-05
750,0.00019725966558326036,0.0003930462029529735,0.00041819032165221943,0.00020640272530727087,9.291023333360929e-05
800,0.00019444921053946018,0.00038333601696649566,0.00043740788270952246,0.0002070016637298977,9.36963837112618e-05
850,0.00019412768597248942,0.0003858622658299282,0.0004454924713354563,0.00020709273958345874,9.358223588070284e-05
900,0.00019689909822773188,0.00038469517021439965,0.00046259240392828395,0.00020855380236753262,9.269597278447394e-05
950,0.00019408193475101143,0.0003956851083785295,0.0004486884226207625,0.0002081648210878484,9.078160176488682e-05
1000,0.00019046403031097725,0.0003832411704934202,0.0004539847257547082,0.0002070338289195206,8.873504990116265e-05
