trajectory_length,unguided_p25,unguided_median,unguided_p95,unguided_p99,unguided_mean,unguided_std,guided_p25,guided_median,guided_p95,guided_p99,guided_mean,guided_std
50,476.5616683959961,1495.2933959960938,9093.116162109374,17034.25310546877,2608.060280456543,3346.3723187346827,47.67850303649902,316.2543487548828,4118.020971679687,10442.340205078173,1084.5876112127305,2390.3272630741094
100,156.4337043762207,428.01751708984375,2739.323718261717,4169.279091796877,769.7065218353272,982.2072573812943,24.568161010742188,59.45046043395996,1043.395538330078,1564.2500964355495,199.95081468343736,356.42705634072524
150,169.47077560424805,504.6181640625,2777.654724121093,5734.33500976563,812.2482477283478,1098.7735879649383,21.219820976257324,44.86452102661133,696.1766357421874,935.0109826660174,140.80998140335083,238.1281203404137
200,186.72165298461914,494.8993682861328,3200.161218261718,6153.502416992187,919.714706287384,1157.760341657314,21.419073581695557,47.7087287902832,506.92850036621064,1408.46364379883,140.1412958574295,255.40336169668123
250,160.0364875793457,369.9125518798828,3338.236706542967,4783.102768554692,899.5215553855896,1178.4211930589265,18.432706356048584,41.679086685180664,800.2012329101561,1155.32169799805,131.0485461831093,273.9304023032002
300,105.10719871520996,333.4322814941406,2468.662207031249,3129.8698339843913,707.8544132423401,931.05174095896,17.05973720550537,29.291604042053223,408.49431915283196,726.5535742187502,93.12646500349045,149.25589086237792
350,120.55197334289551,513.0680694580078,3660.7189819335927,6168.560004882814,923.2780303382874,1236.7364624981444,15.369835138320923,43.54744338989258,662.7849609374998,1581.355803222657,131.65763716220854,286.6196038608906
400,173.2032012939453,482.8328094482422,2867.301684570312,4601.744277343756,886.803266363144,1062.0744997211532,20.111268997192383,35.82700729370117,604.0731048583983,741.6151062011754,105.49390155315399,202.27409600736857
450,155.78257751464844,429.337890625,3015.258312988281,9051.845849609517,1212.5753960990905,3757.81410445947,19.593782424926758,34.545053482055664,410.6234390258787,1511.91575195313,118.27714658737183,298.31725916950757
500,160.87279891967773,439.63880920410156,3044.050390624999,4220.334072265643,840.7687424659729,1132.0853009562568,19.306392669677734,32.76728534698486,293.61744689941384,550.9744464111336,72.50240917682648,113.11191899480735
550,175.35308837890625,492.1908416748047,2934.891149902344,3348.4688500976577,830.2686960983276,906.4229806338401,20.558757305145264,35.82536697387695,387.57657623291,662.5422021484412,91.8515111875534,168.93673694573712
600,145.33603286743164,469.01585388183594,3378.149438476562,6564.84593261719,927.4480098342896,1248.405821452562,18.296225547790527,38.11284065246582,318.7002792358395,928.9840014648636,119.26768313884735,481.89888958619696
650,113.9720344543457,366.7632293701172,2331.73681640625,8680.285449218938,1140.8385159492493,4546.095021870996,21.911322593688965,33.07989692687988,179.4557312011718,635.2655142213919,443.5660542154312,3917.038364990658
700,180.6517105102539,476.5763854980469,3353.8078979492184,4780.976640625282,1547.4936992645264,5902.668675637941,24.163296222686768,43.27151870727539,321.0901901245117,547.6462377929843,115.4846745967865,358.0188781149536
750,135.1994514465332,521.3402404785156,2879.680200195312,5858.637539063071,2000.0904069519042,11527.926500027614,22.626840114593506,36.07223892211914,339.30080261230466,461.33575103760035,81.37563046455384,129.12039523394245
800,174.71984481811523,407.6013488769531,4494.9713134765625,11660.714052734385,1177.4142301177978,2036.0377640369747,23.32797384262085,41.22819709777832,337.9888504028319,3348.103735351599,206.62812909126282,1078.9587423282617
850,107.90071105957031,320.20188903808594,3395.6944335937474,6390.030834961115,1272.533406085968,4143.6882174211305,26.55385971069336,43.455522537231445,286.6573272705078,655.3619073486399,92.2840673160553,214.4523475485742
900,155.1626091003418,530.0909729003906,3813.8528564453118,8335.892265625174,1396.9893447875977,4274.835488598457,25.715201377868652,41.872371673583984,293.60664978027324,1046.6090234375108,119.44341630458831,341.4573447993586
950,115.65771675109863,389.97772216796875,3919.244348144531,7234.8394384767835,1388.383106918335,5038.110590148955,29.000425815582275,43.963144302368164,339.0060699462888,1556.3042553711157,151.65213148117064,597.3637555008459
1000,127.31400680541992,417.49070739746094,2371.0579956054685,5224.679223633455,1972.8322174072266,12840.869923231923,30.847949028015137,46.12005615234375,266.8156417846679,1282.2213842773438,105.97174418449401,196.64613231939268
