trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,0.0009699312667669143,0.0035868451859807824,0.005912526862820672,0.020610808951968915
100,0.003565761752386229,0.0131568790979833,0.014247983272205712,0.02399042590487423
150,0.007590628999575232,0.03158557894714679,0.027406214721683524,0.043730969081021996
200,0.013530087742318082,0.06672407253502281,0.04260230305297224,0.07019446132106631
250,0.02229581231124196,0.1261922920861265,0.057679279808889455,0.09919576382213272
300,0.03436710355301692,0.21310693329312852,0.07296042363918848,0.13366695137429313
350,0.04944810124551138,0.3238663954540501,0.08828954263268923,0.1712074471100432
400,0.06657417090694867,0.4480592296218789,0.10269132596459793,0.20407537693784158
450,0.08384296704512582,0.566497558307867,0.11551006887945667,0.22621928171048142
500,0.09900190147424032,0.6544082236994835,0.12729111038924087,0.23949761435866398
550,0.1114856639060887,0.6949799064671457,0.13910629252294357,0.2484895366300877
600,0.12107688064031087,0.6897631124128634,0.15185410410121117,0.2564456075257284
650,0.12853736728344697,0.6577383181994296,0.16670581903499676,0.2661132076778944
700,0.1350751617828011,0.6111759343377765,0.18490300940205387,0.27934499742197555
750,0.14179499428084882,0.5583138144430025,0.2070223613527409,0.29660117915220974
800,0.14972459466523952,0.5065598479779304,0.23311083567939206,0.31798232886048317
850,0.15968938713472253,0.4618702785658153,0.2633167847028519,0.34422407731252036
900,0.1722048823150584,0.4264780860030789,0.2975409926901152,0.3746068198903822
950,0.1877674865506691,0.4013376659528326,0.335729127372857,0.4088999457423421
1000,0.20974951115466559,0.3885800804401541,0.3777818203686247,0.4482110517915503
1050,0.23547062062778534,0.391121014819825,0.42382302806732014,0.49383677126387615
1100,0.2656627162251172,0.41595952885645043,0.47394066652470884,0.5466088389032637
1150,0.29962506685175183,0.45121630130105,0.528556467752963,0.6076283412765755
1200,0.33760294240317085,0.49334342389482366,0.5873639253283995,0.6777816782536351
1250,0.377782738058722,0.5367964910767052,0.6477646054480981,0.7488296215937271
1300,0.419305178088227,0.5790612119102813,0.7093147347423332,0.8191123306603919
1350,0.46219162534344993,0.620605169789112,0.7716994863337859,0.8884821244639376
1400,0.5065609723925485,0.6618335380518179,0.8373625400343593,0.9598275452945485
1450,0.5526504808020949,0.7024507547566501,0.9080400031753737,1.0310129006563384
1500,0.6010472988580804,0.7424053184970515,0.9834995480629887,1.0982654101995732
