trajectory_length,unguided_median,unguided_p25,unguided_p75,unguided_p95,unguided_mean,unguided_std,guided_median,guided_p25,guided_p75,guided_p95,guided_mean,guided_std
50,13.047340529760179,3.7278923933511137,31.506851101563043,94.38090923293204,26.653101307731923,42.2601660898515,0.9092086638361676,0.44528260584660057,1.747628111795508,8.084815755849215,2.175705766173417,5.949570767115332
100,3.654465185627048,1.0602270651190406,10.040454193504534,39.19470747301914,9.09512447056813,14.974646143106437,0.23559342739931638,0.12509374643145627,0.84043158131915,2.871316921836762,0.7459330380249234,1.1362107622662156
150,2.8900044916398535,0.7126912799816563,8.529533778914926,28.510819091069354,7.376124964027213,13.105681857232277,0.2053262378719617,0.10544999324907244,0.4638880501532219,1.3311858329431137,0.4261361745054261,0.6267746402360365
200,3.6631759755302022,1.1789032345271409,9.691294001518164,22.30693840469969,7.080070835730685,9.414720743665608,0.19983708161506675,0.10276117769054269,0.3995319600629008,0.8246279557747337,0.3041538037794033,0.3213600748673547
250,2.333503695788859,0.8088604704815819,6.743024153666854,26.220602104591713,6.210899554658706,9.517627398679405,0.1386580232223733,0.08198107391907956,0.27070206700510435,0.7549445909362339,0.2263741177836355,0.23914094856218276
300,2.8852767064737703,0.7351138425312375,7.260108238137529,21.16287645229486,6.2223670276925995,10.31444577741554,0.11910315219432804,0.07171461972338232,0.23847373000055752,0.6147717817299689,0.20352496537130965,0.23920798799731496
350,2.8076593589366254,0.9278866135301758,7.0705397555376015,20.8617083747941,6.297336628718953,10.47319346552529,0.11736899175284363,0.07420219869771284,0.2187642086469696,0.3779130334671268,0.16627784951234922,0.14889731135185758
400,2.809355393050421,1.0140394097868786,6.0250762637740145,18.704268780982478,59.03778011710648,540.7667153120582,0.1062204609588606,0.07218607243576682,0.16550049199848293,0.28826624675325513,0.13273895725515705,0.08569135873983731
450,2.5042603398700987,0.9306504852178128,7.315873947960949,21.325552676600203,48.380783279798706,426.59980455598895,0.11134686700028602,0.08482116201912221,0.17006859377596667,0.3570315802980396,0.1446072328050119,0.10785691170293445
500,2.784348876877637,0.7337429033509558,7.939831484750285,40.467485389487955,134.34394706042423,1110.4606234415373,0.11577080350090427,0.06661091328789726,0.17560845820321838,0.34160588032194394,0.14490486732919325,0.11764553292656216
550,3.555732200062785,0.9934153596328024,8.948368328700436,34.30959944185164,287.7945201025384,2734.3646591236675,0.11924032819369475,0.07524004442648391,0.1750949897996763,0.42117948910482583,0.14813092918395296,0.12685136566623428
600,3.3897599347986214,0.9389169949638334,8.92087669108078,41.42825745950776,64.70441267741761,410.1665997881793,0.11470108179361496,0.0747577671150119,0.15287215585773112,0.3814648334442028,0.14277204553178785,0.12588028285988187
650,2.9239127769699644,0.7491338591168164,8.548551557961353,27.914954461586373,296.1005928662546,2704.2028388993394,0.12258523140769437,0.07934484316316877,0.19887472581613128,0.3139102578363495,0.16292301235111128,0.1374417002657688
700,3.328261000670762,1.1061957378343066,8.957127127235545,27.192297479747634,90.63334577101959,759.6014930073577,0.11179499293049777,0.07835655385230447,0.15864710105029056,0.3770681447713951,0.14231735523679998,0.10554660022176049
750,3.164495977265835,0.9167065757969551,9.211157108441768,30.066379994335147,145.00982721208723,1224.469133843593,0.11241500936554784,0.07948607499199374,0.16481580887478453,0.3456155417801962,0.14311971019175315,0.09298907277573536
800,3.7243555778566115,0.9100558923075623,9.870769604310329,24.261885137977504,104.7886792210239,824.0874174599878,0.11933612325460963,0.08523537631081692,0.18542415846571825,0.27040759694720845,0.13772882700880215,0.07494093099937012
850,3.4035053926048358,0.9761325709458009,9.941718120047584,30.189171533387487,108.63224461988695,817.9602346585688,0.1284005409688872,0.09536887258389207,0.17144839134175893,0.35599445877149133,0.1564499109855708,0.10927699365791661
900,3.5789934302389503,0.7166469499095358,9.207563670873704,30.45898304254364,65.7228472366785,539.3222123195285,0.12756122558432953,0.09242087304950886,0.18658470260071214,0.3170513367212154,0.1523770213348979,0.08562276530957955
950,5.135105352180751,1.5465044296468637,10.533469217978292,27.68409072136079,126.56443846667851,1161.6760205318708,0.15400926925124309,0.10356670678924391,0.21282267261320734,0.35278811046259345,0.17341683053195353,0.0985453517354259
1000,3.545218676741726,1.3147624834947527,9.524643893646132,35.08308017066922,93.83025618985613,843.7413872022461,0.14942192284392916,0.10991032147642335,0.22756850660772987,0.38550155329739216,0.18556014890405031,0.10232746537765415
