trajectory_length,unguided_mean,unguided_std,guided_mean,guided_std
50,2.6351471955972645,4.810225335091863,0.8434245632979109,1.874622878148664
100,0.8892769288182357,1.4758516639734902,0.22348945270906143,0.2654396212273169
150,0.6700252739555416,1.224636524773795,0.13175069682403112,0.13471830820007857
200,0.6366413663519211,0.8022918984347792,0.10748090544625777,0.07727728183914856
250,0.5686661516126148,0.8853822353114023,0.08406406587479325,0.05761208448782842
300,0.5434353522103303,0.8335036381043401,0.08186297174195926,0.07735992338154261
350,0.5205206262961843,0.7057824526038298,0.06963659693460529,0.04887709590035053
400,5.010113161709909,45.676211497524086,0.06204107491945039,0.03473256681794128
450,3.9811049762524946,35.06839138013118,0.06547294600646147,0.037584010488761616
500,11.095230994252224,91.05963219156422,0.06641284649866923,0.04020411604224675
550,23.79989115555787,225.78720779681794,0.06361832198724077,0.04712130390888238
600,5.334804407915178,33.537716902576236,0.0645319032711495,0.04724158289906663
650,24.50552885273057,222.8590914086464,0.07353817956244615,0.05174765459110382
700,7.441905187348546,61.9336493974411,0.0693977558413411,0.051119490354065954
750,11.979412867760153,100.88744164711851,0.06703404306117633,0.044488087006550665
800,8.660505816623042,67.66336860626762,0.06613048282140863,0.04088653471560534
850,9.01030068822446,67.3344009037929,0.07110605747813625,0.048246887755902905
900,5.415294759114604,43.994316953673305,0.07174696898092295,0.053201862042643905
950,10.467328480256485,95.65703895127635,0.0761184850428652,0.045163637774125534
1000,7.7772346619148784,69.44391184244927,0.0858119838791499,0.05435650508311599
