trajectory_length,unguided_mean,unguided_std,guided_mean,guided_std
50,4.5140446721319725,5.467825025165213,2.5366500302916695,2.53221747307914
100,1.7828373433059328,1.8861692108329253,1.121227591041228,0.9260273393817461
150,1.648520848135857,1.5297422227214,1.0628772342409902,0.7795876935455902
200,1.823643917142732,1.1527848401011251,1.2354831032233902,0.824628071335535
250,2.1626638808928247,1.4650410995667744,1.5886951900711401,1.0705680449204893
300,2.558198089523323,1.6948041357134114,2.0150907164800165,1.3513721436850288
350,3.0018536135105247,1.6444983677971199,2.434707566751848,1.3756027853966615
400,7.25282485554514,38.73403432401155,2.8987533086980815,1.6831745973036392
450,7.187617920014816,33.72566344528896,3.261711477000261,1.685565706960834
500,15.972182103222014,99.03878964943826,3.8457513012985607,1.9564826822628179
550,28.846618660399216,236.68452679526376,4.063069875337834,1.8715602843697388
600,9.745903109619075,31.811994060268276,4.6202133320444005,2.2249041881547362
650,29.66842415219069,221.04585648392953,5.159360101737885,2.3647081870105175
700,13.325971083640475,64.66158598488212,5.60696779746557,2.7141705296482828
750,18.07922224248087,101.22295949339774,6.1722265953036075,3.2088600502631244
800,14.90290276915328,63.23254168218723,6.70489253668738,3.374998634992388
850,15.151221867116664,59.141963426308735,7.00574307363876,3.3016772987743153
900,13.333694957339391,45.805110914853934,7.726983547119875,3.5834214518615317
950,17.353822685245337,83.0981942442753,7.965217710008272,3.612314666465937
1000,16.596252360881063,73.42848596452664,8.219918749657813,3.5476769988274564
