trajectory_length,unguided_mean,unguided_std,guided_mean,guided_std
50,2.88531644520508,5.485469504165074,1.044667734179329,2.248940376928116
100,0.9826047658457324,1.4329838217434516,0.30437304807966237,0.29294129866858626
150,0.7446111792147084,1.2595961310845771,0.19790339161977444,0.1644529626340837
200,0.6989552753169396,0.809469837747923,0.16010022674281288,0.08866856372122255
250,0.6127425171940384,0.8866037414100413,0.1319298887980244,0.07640953504175783
300,0.6227306604688864,0.8664816894057484,0.1443497124288366,0.12145097376060268
350,0.6017574264936382,0.7243394501253358,0.13369637667742781,0.07397178252378232
400,4.612011870350669,40.946416076844315,0.13528401649428556,0.06066564691025443
450,4.263855536051378,36.81351822378723,0.14996299832896412,0.06526465327894414
500,11.663538674331969,94.79753389654032,0.16797304121245124,0.07782063372163811
550,23.836867211053505,225.2177147417535,0.18109611568764386,0.0903759513457
600,5.606219434003005,34.45588031816416,0.18678849983460033,0.09345891485839487
650,25.254906170071184,228.1132754394165,0.22150794693754236,0.10244033268815232
700,8.168429593732334,67.88880807908428,0.227754850430629,0.11038974996263591
750,12.05269836401861,99.95912561815958,0.23450488544819753,0.10013336235676774
800,8.474034723220173,64.10746253412916,0.24979901400570617,0.10409026341435314
850,9.681364979599406,71.05535865386393,0.2671635465978117,0.12354516600448398
900,5.284041371949822,41.09757607996022,0.29289188538884114,0.11198434336898898
950,10.185849376948527,90.35709863432052,0.3105308881025843,0.1175453286954431
1000,8.06110603709993,69.86625945897032,0.31880476082888726,0.11652026524456763
