trajectory_length,unguided_median,unguided_p25,unguided_p75,unguided_p95,unguided_mean,unguided_std,guided_median,guided_p25,guided_p75,guided_p95,guided_mean,guided_std
50,13.268982316146726,5.476841425185364,34.12194299329038,108.00146286544835,30.06406431240388,44.649473814653796,2.5198845191935524,1.4892984549619057,4.857023414349702,11.543592681360794,4.20504608232992,6.390823685895713
100,4.38833180630985,2.471405262197191,12.824548572047524,33.036752795018955,10.366627251149543,14.54731659922262,1.4289941161777209,0.7047227611358633,2.493952623131168,4.311877836317943,1.8510204933173964,1.6573980099394205
150,4.445541465198211,2.073700255349425,11.276565518719991,35.41383760383341,9.014857383649378,12.180151767725699,1.1936778852523213,0.6092900774508353,2.13862428114156,4.458573877573116,1.5880352802808637,1.2178194756345524
200,6.244196155692467,2.627258658908093,12.935737717799187,23.86425893184242,9.293292400583198,9.60324602241471,1.375281837051313,1.0224207418012643,2.1088136590869553,4.232278170574653,1.7010888477452397,1.061015135137773
250,4.848749357620404,2.7081542466770694,10.353848073228189,27.727509005000286,8.812188610493752,10.497725607605648,1.8618831884115086,1.1532279267825087,2.548662486226982,4.551886578097593,2.0511525338966816,1.2974392720016776
300,5.240507312746043,3.367020353021312,11.057429664561301,28.540186645696963,9.24281436805225,11.117240132007069,2.18941518233894,1.4376640665278622,3.082238743116254,6.108317917904297,2.5095916495829993,1.6665127490190548
350,6.347149260471464,4.234298812751253,10.765648993276416,28.704371145057742,9.996588207573412,10.846832649641703,2.609955680516804,1.7610992760597124,3.7449776019351995,6.323365783097953,2.949065931317189,1.6553254965475646
400,7.273701883502336,4.518911047926237,11.102628639932833,22.640996490773325,54.179467478593345,453.73538213334353,3.0644922104742816,2.0108324625703276,4.227978421670119,7.110692704266004,3.4074624426151963,1.9583406694044776
450,7.05838823806342,4.588575923087763,12.299984851026714,26.395426473505953,51.39951073271013,411.88327571266416,3.7057768985132484,2.3200392824307188,4.6909765640289685,7.598255895517168,3.811174660636918,1.9507930814679582
500,8.014243716440662,5.331082562934984,14.792759780588813,38.982525705235936,151.4203836543874,1209.7392741686037,4.035042599877254,2.7094664927682857,5.7069719370318195,9.517081818448464,4.449846178668221,2.2643582043633557
550,9.140961256894029,6.472035277637713,14.707319114425793,42.79155772259544,304.3274930104743,2865.043672291869,4.410192028298997,3.098772462785101,6.255867347274836,8.417230650365012,4.660458651576374,2.1453495776755633
600,9.776721545176777,6.2475034975887045,15.675675808798335,41.17291306742223,67.01700498767113,389.06562426779186,4.782610410538955,3.4014228823046837,6.6204847217944405,10.107369958479007,5.252744070135925,2.521135811804095
650,10.672641243410345,6.9868773420744725,15.771263210570634,34.707050032572845,301.46665576430064,2684.400058717127,5.338505224483446,4.031426492409164,7.323252764851332,11.771028232086673,5.821577232392087,2.6679185788244935
700,11.026618228514721,7.761034039965195,17.579472743162473,38.51865674657686,99.87771614768332,791.705707154774,5.567972970874079,4.078132343014075,7.444030883831055,12.561175737639726,6.28338142521834,3.0460992519674748
750,11.926287125183912,7.242242897098976,19.070145188315202,36.98391111128106,151.13653823598992,1230.1739084513715,6.1941689648433265,4.553952872366864,8.395083904805656,13.417268410624834,6.899411843650871,3.609282817664163
800,13.235584965611118,8.734545151251666,20.216348916612247,32.40119999530648,105.36863886801352,768.2848587879554,6.445127720258279,4.845194912645209,9.210421959157832,14.633485581326587,7.413132611159065,3.6982976712592177
850,12.925541514532961,8.99127414392498,19.16283805178032,33.01035860333357,105.46265733287564,727.1374819758435,7.325087597274422,4.955143843473881,10.138254289765243,15.638260947884033,7.741094461049112,3.613560689792916
900,13.43869694295326,9.808861259554568,20.152902994369395,42.6416647048425,76.5622358172694,560.6774997269988,7.736578114002841,5.419390042423009,10.854593037521308,16.613977236691817,8.50702341713739,3.9741843167845037
950,15.289710551374629,10.566417579266183,23.123750865816454,40.522821171574385,121.43645845487167,1011.7945517184356,8.01468765329388,5.7665669356598475,11.532638174458551,16.29702562788715,8.777602045564779,3.975640134424501
1000,14.437132798235407,9.944187507977137,23.2365095622275,50.031080003034816,108.68352858632092,884.9564681513822,8.397796940769451,6.4187162350558555,10.51906642536433,16.903460573240245,9.026753872164289,3.939474840875633
