trajectory_length,unguided_median,unguided_p25,unguided_p75,unguided_p95,unguided_mean,unguided_std,guided_median,guided_p25,guided_p75,guided_p95,guided_mean,guided_std
50,13.047357453128999,3.959930192780538,30.819582061978664,94.19690733285017,27.86215837203174,48.31011391083699,1.0341778312885253,0.47576633181433,1.8343135226310272,8.517999066543899,2.521103200514334,7.39149123654417
100,3.824404507979682,1.1361544450680023,10.213198675427961,43.223765551622144,9.390247351062532,14.825073407023181,0.30023550289025763,0.17638088056981882,1.0113178180792937,3.236798665678813,0.8192181583630977,1.15294487935164
150,2.9160252331498517,0.7374636994484817,7.872158085479034,28.169226000337584,7.639454059389937,13.898119799921078,0.27279008502472574,0.14405215301337218,0.5136655127785885,1.5363983426767067,0.4804231956756424,0.628887013899324
200,4.2497069198809125,1.2157151687606196,9.76365877350878,23.147963499046472,7.261327136652151,9.453957279034174,0.26358296259048264,0.14597995317541324,0.45480674208077654,0.9417964916284469,0.3597081486007342,0.31703682228465424
250,2.57323275582178,0.8771459068084967,6.7439243123755785,24.53921672075973,6.272234942807911,9.53496407383527,0.21631457059551681,0.13317161390299476,0.3414209588018178,0.8505585106481086,0.29412317400663407,0.25662689734750144
300,2.9599870401077375,0.9449338027443868,7.381621917703027,22.29710753599171,6.521055218904543,10.568195050453062,0.18694025534435846,0.11811783479289763,0.36478969542805395,0.8390111224399859,0.2956709476363624,0.29169253651270854
350,2.976974510741794,1.0749524194129352,8.036143737743139,23.421667945123865,6.603233326434852,10.452448175931773,0.22747483145461161,0.1566001788850111,0.3260883189550465,0.5862133932453532,0.2613181113008519,0.17592536005003753
400,2.9805429358707967,1.2961364686240222,6.212667187284754,17.903159175775514,53.58616185133055,484.9586508374273,0.2190125746115628,0.1659720532463133,0.28218935033533443,0.4234186804037644,0.24160641392647933,0.11231817969780093
450,2.838563110827836,1.1763421099566247,7.880812043995364,22.170877136293292,51.00748160829745,448.27434675832444,0.23968948481983895,0.17054593707160648,0.3173838320885427,0.5281072852300622,0.2691718766094725,0.14131935047725194
500,2.9927562519364166,1.0855954247878015,7.6720701271780065,42.38342550729145,139.97982679171494,1154.595558650545,0.24874086745361193,0.18029602636778325,0.35892877685817665,0.6558223730311509,0.29191801558753416,0.1708611908736926
550,3.9943691906824115,1.339724333913399,8.412677030819701,38.38430145529044,287.0194977194887,2727.5722452480472,0.26786237303839433,0.20199389561081194,0.3307015261145947,0.7412037523311718,0.3084412252441105,0.18002113124596822
600,3.498439999427042,1.0686620894886096,9.241694297875664,41.36373008388206,66.60362304398873,420.2929351919514,0.28279019179028164,0.2144119537352825,0.35273554370270316,0.6431510415083601,0.31180467885807983,0.16370309969798935
650,3.5090571212241506,0.993575882001176,9.545931689755331,29.18815654648042,303.6912819707832,2769.4536886074293,0.32658708599906444,0.2597412730091632,0.3949893518354115,0.8091920514955854,0.35834453213294176,0.18880358692245114
700,4.114971565247551,1.3834102637894157,9.410340076544228,26.45501445290617,97.57549408202179,829.9133226784371,0.3122315839777,0.22701446699868905,0.39261791320742406,0.7838988422121284,0.34535760665713255,0.1721745505399897
750,3.6772171228348003,1.3205303353750075,10.31432337994414,27.92452497816754,144.30318493064848,1214.6017711145319,0.31957069522386133,0.2506484325157402,0.4266298596005904,0.6468686445788636,0.35405038859485566,0.1466078376948991
800,4.020089732046626,1.220787658309598,10.511089018408573,26.661480482235543,100.71378639189747,782.1129687029498,0.3424530076439309,0.2772675709595638,0.43141015359194845,0.5752526849819042,0.365779955012192,0.14953027588605436
850,3.7251080886961434,1.2168033623520442,9.030813622387592,28.42942564135285,114.69593964421281,863.326827671655,0.36273948621724905,0.29162810870407596,0.483165361337522,0.7393362443260502,0.4043567348715433,0.18110585762720896
900,4.148774427413958,1.2217248393451206,9.505322054115968,30.243521523896547,61.704910906785045,504.2644550416082,0.39932397518674245,0.3198193836603195,0.48400119436270495,0.6821348845595991,0.4231478352510391,0.14984612277796977
950,5.700902971673969,1.764310372140184,11.770458039350315,29.107986641800714,120.61122651849219,1096.9591501090895,0.4094024550324036,0.33847321674446906,0.5863368698222409,0.7907765488323575,0.46561905739833764,0.1772084042667422
1000,4.438544608298156,1.5217958404144294,11.111509140915027,36.84911932093709,94.95898146076945,850.6364591654861,0.449770188917721,0.36011609537990924,0.5529634238570545,0.7402996202090794,0.47417921624680603,0.16729051373867768
