trajectory_length,unguided_mean,unguided_std,guided_mean,guided_std
50,2.7738235743731154,4.754316259550721,0.9752203668095529,1.763759157568009
100,0.9614694333804092,1.4324072077765047,0.30257717177340987,0.2770491888128391
150,0.7730576360616701,1.340251932478178,0.21213210205760402,0.17414149963694134
200,0.733175162040065,0.810469088966439,0.1903873601457419,0.10770567024284489
250,0.6937086301518248,0.89335037249956,0.2042200763858508,0.11486830435242242
300,0.7065892944836084,0.8536593283853768,0.23112032533257096,0.1363223436559185
350,0.7095593938107576,0.7336220754369536,0.25625872406676714,0.1659444181702486
400,5.030868525255557,43.5390792786071,0.29736696153115827,0.15858590343411488
450,4.124226743420473,33.648126248228365,0.34554311323478776,0.21508308785776792
500,11.077346915700128,88.4803934610575,0.3720882479817032,0.23457980858958494
550,23.930141020066863,223.44088761266002,0.41466904187970144,0.24922332779011863
600,5.555163031412049,32.445448804108885,0.45206592694561837,0.281333653531158
650,24.578540492068363,219.6790346028142,0.5133954694919391,0.2970630880530536
700,8.382319066398287,66.86949441945613,0.5666399493372252,0.3601191320195044
750,12.21521396075633,96.79764646667549,0.6351788729121639,0.4338627969236337
800,9.064505537450037,65.18465334993328,0.7147218361990112,0.4709013361091128
850,9.776587754992644,67.57801396000855,0.779933025415599,0.5038750826368797
900,6.371875985747462,45.57530626556957,0.8487005012988003,0.5290715116610228
950,11.322773199281697,95.55772526867811,0.8767935420425071,0.5507913492693928
1000,8.903062026147504,72.18536574926115,0.9254319770160359,0.5777899079129162
