trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std
50,0.614193412939379,0.8714138130558956,47.38082197032099,144.72911405513756,0.45087869175167283,1.1743264268147433,49.81564040574344,166.35572252975422,2305.774836063385,2970.327327855566,1286.6011000347137,3227.8568488311707
100,0.163770967663151,0.347693166827065,7.254492411430689,17.49851398392124,0.06294462043859314,0.13025415011096678,3.757002288431941,9.10606314002868,858.0767673778533,1175.810718699922,498.771124894619,1704.8604020012522
150,0.22454356808483172,1.4203367980388784,2.771692785138521,3.0447177964316983,0.023622734809001046,0.05357888044115046,2.8558071331041335,5.359409918363044,883.928819141388,1806.241013132061,229.27203924417495,698.7606670493667
200,0.04141105919317114,0.0986844821371694,2.858976849489184,5.007112052295923,0.017227455409184866,0.032731018008909395,2.1313933133661154,2.7119016859914566,879.6715574550628,1409.2134904937272,279.5037438941002,703.3661726541756
250,0.12574677792054192,0.9671528763340828,4.408484714567194,18.508885138623025,3.9764139769872866,39.400461437973995,108.71711744134409,1062.3350620453052,3617.257282047272,28143.159250499153,173738.57571374893,1727129.7244900055
300,0.03447451641387139,0.07411539168534392,2.4414040415456917,2.6375924364643923,0.011849195239909389,0.01812847142433692,1.9283369549306293,1.755931118216906,664.9494091129303,960.5209562449675,90.91458255767822,198.2477070123247
350,0.07993247441479559,0.22220120082501837,2.2742894573200907,2.9221937881788365,0.18699335413285895,1.3654357736992195,26.496727192031603,188.4564334531497,1548.1058674430847,7660.74116197474,54426.686270358565,415889.7644341349
400,0.22225945065888297,1.3688709649384938,8.470127494610306,62.93431465974782,0.49576681445214577,3.3708362437449257,1.7573052563914464,1.650279788459278,45476.19826084137,431594.8933991445,3711.616902885437,34696.63770199859
450,0.03605676935977983,0.09758131093070915,1.9121606672183078,1.7038656793559723,0.01721916551509016,0.05431661771410248,1.5625665082332092,1.4996570832595566,1021.8793779754639,1279.2144367347325,92.87151956081391,175.1775192929076
500,0.015026975874142113,0.024657232207489728,1.9360695849160559,2.8441148463252754,0.03487510091014001,0.12815726866355776,1.620624492509005,1.399963981000229,1257.622881565094,5768.593768903161,82.59025388717652,139.92626486612798
550,0.061234298579857675,0.46821587184752556,7.781067561585093,60.89785363057922,0.06775464582219609,0.33523093533367565,1.9250174073466002,2.9711416329036306,18879.515147533417,179269.83539099307,8020.2824610567095,64212.41386258689
600,0.01658950738842385,0.02823095277019356,1.5379042961016085,1.3819594075862753,0.01541123421180326,0.05456506117467074,1.4756251346623372,1.3307775240322908,688.4465570640564,726.0745650293019,74.77552320241928,133.21067727347582
650,0.09295959816320919,0.6062736438542579,1.6544384806872228,1.254582898117434,0.01502591941159062,0.028593368612475883,1.5390439667491145,1.5940283950984109,604.0883213424682,684.8796946705024,129.6146864080429,411.99436732392263
700,0.025393968542505297,0.09732614336259954,3.530680333940128,14.065080269673564,0.031049197485323234,0.10190413730191948,3.6440977296096055,17.40849625722322,9229.65139032364,60445.243299833055,10606.575570502282,73692.04002182899
750,0.024089383288537797,0.04093290889000549,3.435633656486989,16.13459128164436,0.01393636800319285,0.047591742941301605,1.2923810854477795,0.9962589827258916,15730.257660923004,148619.72434069094,89.95152691841126,184.6082030828219
800,0.03580625184117912,0.13598528136624366,1.8756084808991935,3.540906103396888,0.015625882283603044,0.03106139322036632,1.305507927190151,1.1025085537049946,3544.3081047439573,24478.906923574807,645.2964760494232,5782.722915340186
850,0.045654673001934744,0.23661748503732202,1.5233539374119451,1.276196661626279,0.11509673463067703,0.8054480925645053,1.501397798088279,1.35102841626503,665.5697339248658,1057.2354919924835,712.1772445201874,6392.660912670075
900,0.05484284747753482,0.22511548879722593,1.613923576833232,1.5070704021084071,0.015990269658995856,0.03278903933945333,1.4435492203207818,1.5751468071718722,1939.5742698669433,9753.836682454608,870.0845497608185,6836.479530479015
950,0.045463162011017876,0.1338144351906912,1.587151053185963,2.3523162280338417,0.02504080947828905,0.0908829762524652,1.4129962581360362,1.1201461968680149,5579.507192382813,45810.41332460259,82.69360692977905,143.06960435870369
1000,0.028912136125000577,0.07953757755002643,4.591082554112951,27.816600631360345,0.023215826999492137,0.051398604941134754,1.4294622813541857,1.221203000425482,64921.859319572446,535453.2352395069,59.78394100189209,69.76101260303999
