trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std
50,0.8362515969889763,1.4136619816094715,213.97856793815518,748.9137223715849,0.15525026984239532,0.24200261324653985,356.3314849787805,2469.8702298304165,2570.7351732444763,3135.389562304086,1541.8047088813782,6602.640001414559
100,0.10146039165268167,0.21712653719857972,28.89322102949497,103.05764586417389,0.07093965040266872,0.20709860379405012,15.576348284791877,78.87082746019004,849.7952159929275,1668.4548052738448,354.6440543222427,1184.3472121943362
150,0.21437150706310637,0.9710527233137861,16.950099488327268,64.23794591407251,0.01148885731929471,0.027086060845525284,6.148750347898305,20.059596325705854,749.5130396318435,1013.4991849820408,502.44446380496026,1781.1766023307412
200,0.040855887968845456,0.10544451268158817,12.126198697923492,64.69820266146783,0.006480770314230103,0.010645543690862267,3.2235147357575284,13.909039089140572,730.3432255792618,1092.5699954841634,171.90954061746598,425.2827552069686
250,0.05602752842578366,0.3010791798271355,2.7061287763837685,5.285305862612575,0.011714929575718767,0.03022125016317329,58.07938371524879,568.2993467851313,641.3298802423477,773.7836870522069,129.89494283914567,235.59500405821987
300,0.48511940960013866,4.62734244877788,23.76372257841582,218.2556405449372,0.012049003725418164,0.05086224052261884,1.6897442335272184,4.528488819677192,48977.76187042713,480390.7870307228,153.49427255749703,426.6019118956865
350,0.017493836806580794,0.0478701760498225,3.6840446214750857,15.696309171958829,0.28125438226127536,2.6957209311274206,21.16500647597078,200.01183901697723,653.4969700145722,1004.9858335226617,83936.4754014492,834561.6555181087
400,0.0553253037604943,0.31094946591934264,3.710830521531658,21.297053479575887,0.05854674016131688,0.38030157580405055,156.62946477033267,1549.05589797077,3521.2284352493284,27668.955524050347,183907.01449042975,1829011.5462918165
450,0.023704981305421848,0.10099930998283037,1.7766536410678588,4.544907316605262,0.039041211063137314,0.2589032019387004,20.8789295877331,195.45967267071634,757.876287560463,915.6922376920354,48653.62736951947,483229.5775192649
500,0.2314567767159405,1.7482266636548207,1.0939622572332797,1.9703882323792765,0.005820999065574037,0.01324809204841241,0.8290197391634715,2.0830382403636323,2537.5492540073396,19854.89735587682,67.8517156791687,138.72909091814796
550,0.026339887576165007,0.11675298136129322,3.321201799766087,17.758893822813747,0.007002607126840305,0.014743258725258388,0.6556435105280621,1.1165073312878115,6681.278306379319,60145.518804106934,124.27442319869995,410.4387272141734
600,0.008618377237851998,0.017109809107634575,2.220930448942302,9.920700528138777,0.022920931417897708,0.08907264578711704,1.165754158040596,3.038764541631966,550.8031319475174,655.5533890134565,13357.534485905171,131403.1783535617
650,0.014710588557718762,0.03134179450716641,0.9860203377675318,1.5794637327246057,0.005192954699484911,0.010583148674651852,0.8110439822916062,1.712054831675538,678.1053276920319,742.7097001138029,61.75932755112648,164.47096377809424
700,0.02715033737596497,0.13039161993786383,1.4553997319759457,3.34413977045602,0.06526917771196246,0.5431272008995676,4.499142276003199,39.1565693037397,5221.070038590431,31265.362708151915,31483.308111174105,286382.1670220493
750,0.040195458491959817,0.2119390537184292,4.697258063662537,36.443780351209085,0.009175248122699162,0.023319812465204957,0.4925741296238674,0.8050878565042201,15965.662005858421,151343.848236036,152.71516310691834,442.1139316403196
800,0.061528936886394374,0.3600414600327755,0.862739132673439,2.065419120057707,0.05762764545377363,0.4011456907484595,3.1536650562793818,22.379153190253273,1720.3107044315338,10840.044366485914,19507.557726542353,193661.42593750753
850,0.016036686463984196,0.06797016395582384,1.3525329130072792,6.126072052382701,0.008426428584347107,0.020000651931598,0.8538404562997175,2.15341962682612,8593.00635263443,78006.52888443651,3575.5286660176516,34586.065957083214
900,0.019504193442109404,0.06950004130696687,0.8483496828157064,1.6269186283192352,0.005762454851848165,0.009087108156137053,0.6422299610766822,1.0995484091668217,2685.1140067911147,18377.937648257473,108.85658213853836,586.4478981473662
950,0.028491781020318862,0.08384461061256844,11.65742277685485,84.45045280615263,0.11837963546369412,0.9960534512102411,1.2795987471307593,4.914349937531549,37737.94784284592,284522.96277813823,13109.928992655277,130094.00355017516
1000,0.02499817471765272,0.05908363005468617,0.8544081910002427,1.3649169881345506,0.025593206587810214,0.11394705796813341,5.338565364706465,46.59140499201585,811.0513841724396,1038.8494789590002,63106.11864583611,619091.3762174697
