trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std
50,1.6576062610950288,9.231859661743522,155.57853950938843,610.0424706292733,0.19956925065038508,0.2605334544777175,50.11645942453739,132.02087200633338,2316.3078087043764,2768.6392400084464,2099.1550559592247,6039.461751600294
100,0.181966956164902,0.4639204879408811,30.191051619390233,167.36796913275816,5.710723902856143,56.14258288291531,335.79478563529113,3317.265608281429,811.2940964698792,1235.2290012077601,92318.91156675637,916030.5497188417
150,0.05176573533018127,0.13906097424939023,7.278966907834078,18.600555931850348,0.007975530392175537,0.01739602232378935,1.9927332625866767,5.022310778228931,888.3896065950394,1093.4782756699603,218.52899492025375,459.49799211317736
200,0.022399347463031186,0.029555386654002345,4.05586610611449,9.069039223256516,0.007766624867121005,0.021726087062889293,2.0052919502373716,5.325496305824741,729.9018319702149,1206.0370610999748,164.3272279113531,301.07521058408025
250,0.03974084988973084,0.13813629127740384,3.494683577464932,6.666998637266625,0.015542770779524137,0.05024847758946425,1.5402577891933138,2.8804328475299026,897.5129030871391,1082.8244280545123,188.45372256875038,459.1326043506866
300,0.05402752578056735,0.2379714468943941,3.1996745303712935,6.300551819826964,0.019613244634965683,0.1016701840517877,3.231842663187814,8.658274184431573,754.1940750455856,1039.5577105776092,1003.3794029569626,6238.692630377502
350,0.035968869017674494,0.20794882414648172,4.7286220271944455,19.63977915405733,0.008500185288444234,0.016292109389249437,1.5098079636483264,2.2787225866153897,1604.627851743698,8126.1278964821395,100.8513223004341,195.8830202964401
400,0.02252697473546372,0.060894141457937985,1.9592024863877902,2.661474146858565,0.011006281716437482,0.04495522859726874,1.2375728920378506,2.0856518490922435,807.776190738678,1121.1712623385845,74.22977570235729,170.96136624207196
450,0.02076813678199111,0.0703675835568333,10.370152232187623,83.04168092569232,0.011228325982504757,0.04413597185768602,1.4458203531207,2.0329249580046906,7976.426533226967,74048.5573407523,505.9482783424854,4285.5285460028135
500,0.02020056303499423,0.04324311388117229,2.0891670426624604,2.959412470760784,0.014371255592621441,0.044916750102213215,4.1606881043070105,28.54864136567127,652.6221364593506,856.5688796545954,13886.397945969105,135308.35331600026
550,0.013800746780820314,0.034455737886283526,1.260822994742557,2.16635284304351,0.05194952356298798,0.35510043958436166,45.30256502829482,439.17850858939573,738.6125845956802,885.9165464789012,64716.757721202375,643123.9961680464
600,0.017117363088365572,0.048142162664151264,1.3622452234202855,2.14999053556683,0.015623623393487844,0.0518518023283568,149.49091957771668,1458.2231952564448,838.5468611240387,1161.5157460177431,58850.659710989,477267.5363881136
650,0.013503811813007577,0.036631954518051346,1.1251788749169647,1.6784128145963826,0.03469126184297918,0.28558079721793533,1.2211565356718785,1.6485178322927168,706.3123895788193,1407.9684487236655,847.0618313288688,7637.288845878039
700,0.025796051229393706,0.09215802422835176,1.6152185210189407,4.078875135645973,0.05662327064921235,0.27972759827373767,1.6808919926804478,3.5744072510646667,23406.288995285035,226412.71573402864,3876.281214928627,31698.06186405757
750,0.011831387650270524,0.017297054861228334,2.0795787885139676,3.858777793978208,0.03335404049036152,0.16497748505652565,2.3706027387463062,12.325951345228376,769.707256641388,1440.0939941302586,12712.424693350791,125941.47297751065
800,0.049104244661595374,0.2953048582188421,1.2968513051395933,1.9390550551357522,0.014742999814911175,0.035211208576112395,1.0519403499624331,1.323122985744353,631.784896030426,721.9599100859515,316.98058244705203,2399.8471173294256
850,0.12541708734226817,0.9819284627797085,5.476953213961326,40.54821688099629,0.05256330223544151,0.22099195567860902,3.596707829861614,14.180250126865262,10329.232703428268,95750.44413215457,29272.650374127625,232216.85529576632
900,0.03356003373718198,0.10740385949384015,21.06741577918433,141.01418790314364,0.04376274399297688,0.156495694514595,4.829698776352099,25.441346095003606,164966.76328432083,1185680.045170948,36600.788897669314,270364.5012883342
950,0.011917795692295,0.021649675185578456,1.3236832200086317,1.8546259772597695,0.05225512549468411,0.25978247091443035,0.8435456991042082,0.8667752980192424,1444.2941843175888,7128.090569374106,54.88245928287506,126.35251596628092
1000,0.025786222011212227,0.09125521387446243,7.914663169329848,66.73316414496772,0.013700111042860525,0.021921104940075157,2.4544765852838744,12.73259453666735,18702.52933288574,176862.57192078623,19425.4124156785,192434.54435732777
