sigma,trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_q_p25,unguided_nmse_q_median,unguided_nmse_q_p95,unguided_nmse_q_p99,unguided_nmse_p_mean,unguided_nmse_p_std,unguided_nmse_p_p25,unguided_nmse_p_median,unguided_nmse_p_p95,unguided_nmse_p_p99,unguided_hamres_mean,unguided_hamres_std,unguided_hamres_p25,unguided_hamres_median,unguided_hamres_p95,unguided_hamres_p99,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_q_p25,guided_nmse_q_median,guided_nmse_q_p95,guided_nmse_q_p99,guided_nmse_p_mean,guided_nmse_p_std,guided_nmse_p_p25,guided_nmse_p_median,guided_nmse_p_p95,guided_nmse_p_p99,guided_hamres_mean,guided_hamres_std,guided_hamres_p25,guided_hamres_median,guided_hamres_p95,guided_hamres_p99
5.0,50,0.0005485418600389758,0.003249940151360051,1.0442158535374296e-06,3.7547158208999827e-06,0.0006397494346824601,0.016905078633984626,0.015339650504353786,0.15192869823985158,4.704821858027931e-07,1.4477345898426776e-06,0.0004030627534606573,0.017684497630408722,9.61787105113268,25.899139212682762,2.095355451107025,4.200145483016968,26.14982461929321,92.68446731567458,0.0001809652172798843,0.0005540757933209777,1.6077914731551336e-06,8.311375987022006e-06,0.0014202637688639482,0.0025893957486579095,3.891028613313023e-05,0.0002129056647378652,4.962324457825839e-07,1.6633340969455889e-06,6.352540480464662e-05,0.0006366492317820626,1.4846938823908566,1.3737031680236338,0.6168844550848007,1.048269510269165,4.065402746200561,7.149025855064393
5.0,100,0.00015881217976008896,0.0014968450868130334,3.935780607210661e-07,1.4775004189338147e-06,4.513704459340691e-05,0.00042219252197927003,1.1422716607127023e-05,5.7502081739225813e-05,2.3499945471488557e-07,5.715646724286223e-07,3.060370047999483e-05,0.00013841827360352727,0.6852962513267994,0.8964088270952653,0.20367896556854248,0.40184351801872253,2.3306513786315914,3.4323579072952435,0.0010770323319774444,0.005446510770370177,1.936357291113602e-06,6.36986730297482e-06,0.0028415042547169597,0.029570152432402273,1.4181652095029659e-05,8.845836527475799e-05,2.3939691607327584e-07,5.512692455516207e-07,2.3856686471311456e-05,0.00016883318465182043,0.227654673717916,0.26220645282702637,0.09194541908800602,0.1569165661931038,0.6319526344537735,0.9960864877700867
5.0,150,3.277764430515923e-05,0.00015587703167588304,4.069543678506748e-07,1.635010006825086e-06,9.703551473285986e-05,0.0008274330332452382,1.5587455157030875e-05,9.138426019974992e-05,4.880295720069708e-07,1.4455895000664275e-06,4.005647960398265e-05,0.00018664662917642448,0.421250732652843,0.48824979583110384,0.13012611120939255,0.2594089210033417,1.3001494109630578,2.727782247066499,0.00038859793339610283,0.0025228936214817224,2.7805780881674273e-06,8.019852655686163e-06,0.0010987831515844738,0.0037750960101332397,4.085275256970815e-05,0.00028144567636334815,4.197570500744708e-07,1.2572783701386607e-06,9.411275701431095e-05,0.00031523048200373657,0.1373009648732841,0.1299133750940105,0.06620945408940315,0.09585615247488022,0.35665670931339266,0.573648409843447
5.0,200,2.5896730997953674e-05,0.00015675715909970709,5.814423711554495e-07,1.943290248668146e-06,7.395781935086192e-05,0.00015509947489554212,4.0939164056689765e-05,0.00015575244386123712,5.158403390712925e-07,1.822005132143934e-06,0.00017531681205377631,0.0005706395942528255,0.30444751609116794,0.35313977676449965,0.1170509085059166,0.2000982016324997,0.682192975282669,1.8229498624801679,0.00019387379134106853,0.0009320964097663977,1.2807685914998979e-06,4.44723015091002e-06,0.00035242590983455705,0.0035758617240925065,0.0008403314056476639,0.007390529948642086,5.5140516041916e-07,1.7673473617921964e-06,0.00010442475933304156,0.0077120231717057765,0.08954129369929432,0.06262350445192905,0.04459462687373161,0.07481610774993896,0.2268303759396076,0.2647171139717107
5.0,250,0.00010277624144803799,0.0004444223959199206,1.119426331248158e-06,3.1928327015700698e-06,0.0005124470225752706,0.0019357376191071326,0.0015321702602262548,0.013469070546669171,6.175401268431198e-07,2.7213971286994985e-06,0.0002736222040631752,0.01435068344965078,0.2879764126241207,0.250551330675872,0.13542191684246063,0.2148466780781746,0.8683367520570755,1.3395680272579196,0.00032320968237995026,0.0012671947569361274,2.8570231643870882e-06,8.751244772968412e-06,0.0014433481525572762,0.004241140094547601,3.294226024999677e-05,0.00012006047729727717,9.283076325372179e-07,2.4200376028157803e-06,0.00016379522815780818,0.0006140735126162675,0.09370837673544884,0.059825538670138866,0.05590523034334183,0.07970431819558144,0.19400370568037034,0.2933652952313428
5.0,300,3.9277122697108126e-05,0.0001399295034507714,1.1961767727121558e-06,3.5767019556675276e-06,0.00018730261691948246,0.0005864990344308814,0.0003023117000545612,0.002302508872163694,1.2381639262064876e-06,5.581231113824254e-06,0.00016984664921886684,0.0038517298139508446,0.20527268446981906,0.14703956759444622,0.11936848238110542,0.15486998111009598,0.4593788668513297,0.5769545012712507,0.0002509434547085753,0.0015512615856297382,2.988781946469173e-06,1.0645019828747568e-05,0.00037542629132550646,0.005236045253920589,0.00012647523317576429,0.0010277640421632731,1.0736442140565262e-06,2.6183710275696765e-06,0.00013018740554644555,0.0003812191195886075,0.08944890959188342,0.057153331512572,0.050909362733364105,0.07661537826061249,0.20051957368850706,0.25972809910774275
5.0,350,0.00012265699069489357,0.00043070894846970883,1.6033160359537517e-06,6.161239420083062e-06,0.0004940442539353309,0.0016492718131772804,0.0011399348543271273,0.008890186348071013,1.8824662588183475e-06,4.971955545168207e-06,0.00016699903658919427,0.01895342515869974,0.2111624864116311,0.12010531949287148,0.12387178838253021,0.18271219730377197,0.4910992115736007,0.5975252252817156,0.0003314047440030217,0.00136522092993581,2.6120358593337347e-06,1.708458756111385e-05,0.002269061751262201,0.003569252442153143,0.0001571645640087787,0.0007671050141867756,2.673173675177601e-06,6.880124656490558e-06,0.0003718623101348305,0.0044532895980237365,0.11495622066780925,0.09539144362934578,0.06475201807916164,0.09125369414687157,0.250368632376194,0.3195404535532024
5.0,400,0.000172306201625731,0.000733017673756115,1.2111278113099848e-06,8.046552194503092e-06,0.0003609988646250227,0.004121819752632019,0.0001203811154192477,0.00044455936491419177,2.1966133190542376e-06,7.528264339055259e-06,0.00045878317329309807,0.0025996775315479228,0.18837456200271846,0.11543971311660395,0.11152982152998447,0.163378544151783,0.4254144921898842,0.5076919335126895,0.00013198890519423287,0.0006144402852789245,2.7394005202340786e-06,8.4735793590817e-06,0.0003570513155027426,0.0037464023126335413,0.00026764684667659674,0.0017480734976103517,2.7358723082790853e-06,9.151222444878905e-06,0.0005213332846397669,0.0037254017524314524,0.09909354135394097,0.046008594982435,0.06767608039081097,0.08678684011101723,0.1986379511654377,0.2196950618922711
5.0,450,0.00020016856053100274,0.0005304686559888576,2.5576017352329704e-06,1.1038591648493632e-05,0.0011925065586077547,0.002603818919805165,0.0001734095938809843,0.0007584514573170387,4.797377122398052e-06,1.0853546717271077e-05,0.0006056495174671786,0.0022414679080370106,0.20443486757576465,0.10001739108260266,0.13369985669851303,0.18665045499801636,0.3770582780241966,0.4929926273226749,0.00015476956990813983,0.00043646076394777386,4.611400520942673e-06,1.4773823103546204e-05,0.0006641919214333634,0.002542234331358104,0.0006253608356989099,0.0035993593788092317,3.816935433776246e-06,9.428430584519461e-06,0.0010832114678279926,0.013796137427963389,0.10843445399776101,0.05551242524408913,0.07063838094472885,0.09701792523264885,0.2013772942125797,0.3021310269832613
5.0,500,0.00022829737842364032,0.0008425362393986582,1.9306828752629006e-06,7.582601886968237e-06,0.0010342318131817286,0.004064045677947745,0.0004052693043183279,0.0018744992348730955,3.3144594557365927e-06,1.278057021782369e-05,0.0008100440749090854,0.007472566919949122,0.20396726202219725,0.09926455319027787,0.12752188742160797,0.18863605707883835,0.3653464466333389,0.5219537168741231,0.00020397230480242662,0.000842331911845052,3.06580160521049e-06,7.100315984327189e-06,0.0007104261443310868,0.004144513470895629,0.0007151945720818683,0.004109724681785666,3.882613488017214e-06,1.4803946054700502e-05,0.001448714418679304,0.013451210241283448,0.11704528881236911,0.06632496910528683,0.07051666267216206,0.09982525557279587,0.25507299005985257,0.2843100726604464
