trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,1.916931481489471e-08,1.8127760986000862e-07,9.067752114111757e-09,4.4830554818181036e-08
100,2.174871705209784e-08,1.5913316417614758e-07,9.458372006297401e-09,4.716293113023499e-08
150,2.5730298183896413e-08,1.2211017465634007e-07,9.892963602781621e-09,4.9614995514182126e-08
200,3.8702222312671925e-08,1.9237442630022573e-07,1.0348502460691725e-08,5.201686641180501e-08
250,5.486885019788959e-08,2.811666494335346e-07,1.0805197151962267e-08,5.412387910561841e-08
300,7.086095710196545e-08,3.690089136418875e-07,1.1228170568393481e-08,5.564771285277533e-08
350,8.807202947314654e-08,4.6157181465064337e-07,1.1626782562342375e-08,5.676358128111442e-08
400,1.062955811285761e-07,5.568933655887807e-07,1.1982984719775475e-08,5.762811319333159e-08
450,1.2221706253536932e-07,6.373382587529781e-07,1.2269587845759269e-08,5.824475773117828e-08
500,1.359131554217475e-07,7.06241126978555e-07,1.2508472493284649e-08,5.875960926465689e-08
550,1.4739417968554706e-07,7.663609812164176e-07,1.2745811586649144e-08,5.940467435314715e-08
600,1.5626599304424872e-07,8.128112849122237e-07,1.3018206188214014e-08,6.037026273529662e-08
650,1.6265602503421516e-07,8.427142291750859e-07,1.3364923836609627e-08,6.188741096332356e-08
700,1.6681869119159594e-07,8.553975588639497e-07,1.3782607818620242e-08,6.389189505747827e-08
750,1.6864620286066762e-07,8.505888185888729e-07,1.420510909604557e-08,6.587310473786839e-08
800,1.6891305697863454e-07,8.346889260852976e-07,1.4579149210523922e-08,6.7465976254507e-08
850,1.680672392012207e-07,8.119700594182817e-07,1.4879663543835927e-08,6.856793182842564e-08
900,1.6592168286050154e-07,7.817056880658965e-07,1.5084030904500527e-08,6.910939102241559e-08
950,1.6276337318476236e-07,7.452586805644759e-07,1.5182450556474178e-08,6.909172962707165e-08
1000,1.5926539393433408e-07,7.069486701077393e-07,1.5192078544252192e-08,6.870114947538825e-08
1050,1.5584524513443098e-07,6.688409858714225e-07,1.512845160007155e-08,6.80889403363825e-08
1100,1.526445622516101e-07,6.317925285341204e-07,1.5007671420726756e-08,6.732762774186927e-08
1150,1.4993004254346832e-07,5.980408458160043e-07,1.486346214265755e-08,6.651911809048729e-08
1200,1.4794128098944814e-07,5.688567269451423e-07,1.4733884190121577e-08,6.577537252174343e-08
1250,1.464685482091634e-07,5.431655057077531e-07,1.4624924402236486e-08,6.506475023945639e-08
1300,1.45451411727444e-07,5.209003200048993e-07,1.4525261278759302e-08,6.433747164448638e-08
1350,1.4496555255623928e-07,5.025413174151878e-07,1.4431109395969081e-08,6.362651567806596e-08
1400,1.44926539531393e-07,4.873757552973594e-07,1.43360069151506e-08,6.291835620833061e-08
1450,1.4530943441455045e-07,4.7570382039771674e-07,1.422256673348787e-08,6.209549642895293e-08
1500,1.4595996509242566e-07,4.6687094086819497e-07,1.4072352547476863e-08,6.102069766854239e-08
