trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std
50,1.5013765594264858,12.522965276886156,44.3356292550869,148.5921366656105,0.3065508390554326,1.5026715489229079,30.399892041595777,174.78485084948997,96.58444051861763,117.98574464766476,40.52841315150261,51.2556357463367
100,0.025947408929537327,0.036226851993217596,2.987183759746443,9.502558206747834,0.016378153847633047,0.017032049378539114,1.0251465355814735,1.7025801843045478,30.027803894281387,43.20981350488921,11.02725366614759,19.899006536297776
150,0.04016649440620383,0.16315795866934257,4.378362653667804,18.84403625997705,0.008661334333074467,0.013323029245442012,1.1596108349277352,3.7490175377341313,762.0819852226973,7338.42334204999,8.842687472701073,12.722338820873787
200,0.02613428797368441,0.12257340268497617,1.6960989844302354,6.292583492708498,0.01280184124112839,0.04522439842887259,0.873426099562587,2.6079732120189054,23.04808174043894,41.119964707421005,4.094102522209287,5.761428940342265
250,0.02861325845430199,0.14180233012302743,12.702852220264674,115.85727544498384,0.028578743033518483,0.18985726962262206,0.8303742617152342,1.657896435938776,2068.067829616815,20251.13683339234,16.199235969260336,96.02844812640235
300,0.008133466766010561,0.011667510940829944,1.0033000913144792,1.75335493704816,0.0066570406873083035,0.010823108943819864,0.7640369141517472,1.5610361854435493,26.136882682740687,47.61365237519488,17.62822842285037,114.15127370271342
350,0.01028679970148121,0.028400518377979342,0.5804839812904043,0.8193456497298616,0.004664236252330067,0.008765724121797741,0.6368714506959955,1.7049404518650173,23.816954527199268,31.698116315611806,3.9931099727749824,6.324893859256748
400,0.011718293826995027,0.03187187047990309,0.879710365541634,2.2619647853528067,0.004394548255380951,0.004993970340530189,0.7985129366452083,1.4049129756643859,84.23106491178274,673.5489967776512,2.965512128323317,4.222955231969495
450,0.011405517366982814,0.04340372163054068,0.8837770229165964,1.243090673759897,0.022867336807758817,0.14831412825334447,1.1425036420796584,3.4871702454167135,30.1846452242136,38.0760996170857,428.1681217138469,4220.323553234998
500,0.01789329557561023,0.07318534510383465,3.9095484003742227,18.89262540479197,0.004800812928547126,0.007050029314324924,1.1212059903379714,3.289751508831236,1772.758912743032,12659.34284081086,2.371949429512024,3.9631401238217263
550,0.0439753976715592,0.2788467258880025,10.127162685400018,45.645258026656435,0.08288604012422297,0.46408662722774907,4.127490711114949,32.093178002191024,1908.536612406373,11141.17529883458,5574.468624682427,47313.74021674985
600,0.015693809552816473,0.06669123216865719,1.0711549596135632,1.3120928485615264,0.011884559163630086,0.045067790601955045,1.943159198334223,9.4098611317897,136.45976997733115,1061.1263290545544,744.2430579435826,5696.877133706944
650,0.0064126010009460865,0.013199707412577673,0.802057679733589,1.5084035798479385,0.010530146771804378,0.02930770729429952,1.0677699172716417,1.8028274873337145,103.48331374168396,563.6863675122298,9.80260400891304,55.3233420479962
700,0.007886233524058858,0.0133383130490894,1.343466970350969,2.9910898214159327,0.006588586560278782,0.012613657822798033,1.2807042219462732,3.0794137047036303,107.5843037378788,867.1325440306873,898.2950045457483,6476.765461232595
750,0.03708692590222804,0.2504397601372606,1.1582545315404895,2.198083306612548,0.006561085287083099,0.013849093904527396,1.180663301880158,1.934290544801805,51.29355845570564,265.0589096237951,4.762908476293087,14.32385513342498
800,0.03912712811037137,0.30708587662474246,1.436143624747708,2.15904622016318,0.01532988774478592,0.08309434099332014,1.079799680630348,2.192049842789406,469.0400184434652,2629.9339687376187,508.1745294940472,3457.872923974477
850,0.010416795604614247,0.02845493981551603,0.9808298718008359,1.5738600372298817,0.0551178960676634,0.45551069600908045,2.4768915888262075,8.208293920482882,51.8173127669096,267.3883655930071,2966.990538135171,20870.91419035336
900,0.00967117979702975,0.027825369686854503,1.2856806776821843,1.5489058362879902,0.008750884859386139,0.016953420486893033,1.299928426716957,2.804056582749002,840.7807971149683,7101.976511943214,4.594098788797855,8.066617827067644
950,0.027211434914362127,0.1067827379419241,1.4102860995003121,2.1179197116273376,0.01135277997262707,0.024815986045979812,1.3571301987706539,2.1976587968748023,22.07025600194931,27.51765613443477,955.2390078628064,9461.200288545266
1000,0.015051996001813195,0.04079371193516237,2.149899438423071,7.833237645049618,0.018353420008728614,0.050206546362834344,1.3552739713217576,1.999310418209934,1863.1787507247925,13064.280919943756,32.53385639339685,241.70872060248664
