trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,1.2483929356130538e-08,9.267110864217953e-08,6.125473525340492e-07,5.873349431126357e-06
100,3.893011248639027e-08,2.7858780774641713e-07,1.1748502816136199e-07,8.863068353076191e-07
150,5.261036569519537e-08,3.349528349788948e-07,5.484186356472662e-08,3.702879075775055e-07
200,6.587673633791075e-08,3.897826212849703e-07,2.881001996545102e-08,1.863499721416799e-07
250,7.736717852564708e-08,4.3942952051331993e-07,1.7867003095366e-08,1.0955095870507817e-07
300,8.654258076235813e-08,4.806017168755916e-07,1.2755891533487273e-08,7.307837692102685e-08
350,9.265797543939148e-08,5.06040806490452e-07,1.0078761479240482e-08,5.3627915894071775e-08
400,9.633931963829633e-08,5.115369417622036e-07,8.530345497519888e-09,4.216018082126131e-08
450,1.0036439011487308e-07,5.135967495905684e-07,7.566337257949003e-09,3.483548779906891e-08
500,1.0476500965567856e-07,5.13714885377091e-07,6.937889328056132e-09,2.992563200450816e-08
550,1.0950404042957034e-07,5.124128726099617e-07,6.501664724134031e-09,2.640618155268403e-08
600,1.1417429801891373e-07,5.084905656776397e-07,6.188991167134235e-09,2.377680623433154e-08
650,1.182964503640637e-07,4.998365158227109e-07,5.970875560874338e-09,2.1827336278524248e-08
700,1.2150382781129462e-07,4.880509793150451e-07,5.829472478087795e-09,2.039786431538016e-08
750,1.2401429122970452e-07,4.768566050142195e-07,5.7419295932564424e-09,1.9322074157315895e-08
800,1.261745364452082e-07,4.6822316320540335e-07,5.689138805689755e-09,1.8484782083873047e-08
850,1.2758831775056034e-07,4.6103063957895775e-07,5.65731908130556e-09,1.7826570027017168e-08
900,1.287878170940973e-07,4.5746994002586105e-07,5.641389694922394e-09,1.7330305144625335e-08
950,1.3038666194810177e-07,4.607902499774273e-07,5.641447465961745e-09,1.6997295283594037e-08
1000,1.3264694583500605e-07,4.7208917062193547e-07,5.662044951548335e-09,1.6834122218370377e-08
1050,1.358466614581572e-07,4.921443634949814e-07,5.706185629843519e-09,1.6839261038276466e-08
1100,1.3984825977937345e-07,5.197542345889162e-07,5.7754447657715995e-09,1.6997183334976982e-08
1150,1.4432918431499766e-07,5.531354382319912e-07,5.871582770553253e-09,1.7298985495455713e-08
1200,1.4918428995343628e-07,5.917418931022372e-07,5.992694599171952e-09,1.7733016093870103e-08
1250,1.5435059516378779e-07,6.357736532244066e-07,6.129978144909142e-09,1.8235188528031324e-08
1300,1.6006342110855994e-07,6.859150838101089e-07,6.275624315346189e-09,1.8749490791636826e-08
1350,1.6630938902319853e-07,7.413857236152897e-07,6.42218014198792e-09,1.922792443084159e-08
1400,1.7303049986798046e-07,8.019506766941559e-07,6.560050294685871e-09,1.9603260922677993e-08
1450,1.8023229222206932e-07,8.68209476372383e-07,6.6811210595147344e-09,1.9808621325911815e-08
1500,1.877084720599761e-07,9.384729700934494e-07,6.792027486107978e-09,1.9884328120863654e-08
