sigma,trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_q_p25,unguided_nmse_q_median,unguided_nmse_q_p95,unguided_nmse_q_p99,unguided_nmse_p_mean,unguided_nmse_p_std,unguided_nmse_p_p25,unguided_nmse_p_median,unguided_nmse_p_p95,unguided_nmse_p_p99,unguided_hamres_mean,unguided_hamres_std,unguided_hamres_p25,unguided_hamres_median,unguided_hamres_p95,unguided_hamres_p99,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_q_p25,guided_nmse_q_median,guided_nmse_q_p95,guided_nmse_q_p99,guided_nmse_p_mean,guided_nmse_p_std,guided_nmse_p_p25,guided_nmse_p_median,guided_nmse_p_p95,guided_nmse_p_p99,guided_hamres_mean,guided_hamres_std,guided_hamres_p25,guided_hamres_median,guided_hamres_p95,guided_hamres_p99
5.0,50,0.00010751714643775371,0.0005304618180503383,1.2856999731044318e-06,3.911356693306331e-06,0.00039792356044018916,0.00129690885789155,0.0004033658893731605,0.0038368476012084697,5.870564165851755e-07,1.1309258115321685e-06,0.0001060328296256581,0.0012502962948789532,4.8074194681644435,4.836639669231638,1.7869835197925568,3.396067976951599,11.569989395141599,15.00276709556592,0.003602389815464767,0.02284005853628672,1.755594636076553e-06,7.093609810568456e-06,0.0023258742831348475,0.10574498110181046,7.678074580112875e-05,0.00045953305274905,5.010237376505304e-07,1.1666192808329312e-06,5.392730195267077e-05,0.0025581335794081913,1.7464537281543016,1.7479594910096297,0.5693565309047699,1.1501762866973877,4.7184792995452876,8.255334749221804
5.0,100,8.324639034458082e-05,0.0004142006853602882,6.101963914320513e-07,1.8974378851312778e-06,0.0003299817098054704,0.0010595197918570232,7.321464234871954e-05,0.0006832062714429323,2.5140248673345695e-07,8.041260388254889e-07,2.8206162567196745e-05,0.00019062185350173403,0.9166700305789709,1.1657460480880042,0.2332724593579769,0.4602919816970825,3.477356648445129,5.017688794136057,7.377082248108471e-05,0.0002909494732995627,1.122804611263486e-06,2.9641598625519807e-06,0.00035861442350451167,0.0016155917587413065,1.543068639039902e-05,7.113085143502183e-05,1.5803872906804443e-07,4.1965388388222196e-07,4.569719187800405e-05,0.00036755688046145944,0.2723680980876088,0.3762207703501023,0.09260430745780468,0.14541823416948318,0.7789154887199393,1.866872310638431
5.0,150,1.8425310688681417e-05,6.65859353311065e-05,5.629772212183172e-07,1.9942271313674935e-06,8.725460472756413e-05,0.0001750747019086998,1.6306860917242744e-05,6.174332576197335e-05,2.632328476961334e-07,7.393109888027106e-07,7.765968950631605e-05,0.00031957913408744076,0.5196753336861729,0.5865175471935806,0.15835578367114067,0.3076127916574478,1.9440309226512902,2.6254186058044438,7.887254905725074e-05,0.00020890044380849983,1.7186609907118506e-06,5.933694127992517e-06,0.000374455419180029,0.0009429189046646716,6.354703583228589e-05,0.0004638995377971499,3.031514662971101e-07,1.2490194911271662e-06,7.154064952641567e-05,0.000691206498374353,0.13087670408189297,0.11618035064569328,0.055410029366612434,0.0972544364631176,0.37472485899925223,0.6060923230648042
5.0,200,0.0001181577433946968,0.00048336712950169307,9.085038601724582e-07,3.144174624048406e-06,0.000511999213714686,0.002534714757033278,5.6959407347887336e-05,0.0004270071514632897,3.635940999272072e-07,1.0266649251855125e-06,6.687319868367931e-05,0.0005174025470376879,0.33189468514174225,0.30973540294609997,0.13020437210798264,0.21537839621305466,0.8568720281124111,1.399521585702899,0.0003606371743246648,0.0014249681380122507,2.3473419655873128e-06,8.973770645950827e-06,0.0018399916945425108,0.0049080929679341115,0.0028011215611597915,0.025853877394446945,3.1046517281067735e-07,1.0753673398411983e-06,0.0014849681845742614,0.009560367492512316,0.09029492979869247,0.05878149615293006,0.04923261608928442,0.07003511860966682,0.19731388390064236,0.2867475321888925
5.0,250,8.860243598306607e-05,0.00031181221432432106,1.3426472194644707e-06,3.7541533345564027e-06,0.0003621477371126968,0.0017895217966730267,1.4737457681582273e-05,4.2486449404405975e-05,6.870282004098143e-07,2.0037766376952303e-06,5.125409938507432e-05,0.0002362896308769684,0.21097457461059094,0.18502126521121207,0.09120271727442741,0.14686298370361328,0.49512452483177133,0.8835769122838992,0.00018035098609344173,0.000719646797969265,2.1052795139043166e-06,7.098947646524692e-06,0.001017195477238472,0.003560524235619624,5.1455573095459334e-05,0.0002979644753135058,5.826478395236528e-07,1.984383576630139e-06,0.00011462971802637884,0.0009031960535469677,0.07683241764083505,0.07648512390185278,0.03856299351900816,0.057477716356515884,0.17468760833144184,0.3573070865869537
5.0,300,0.00010147739118808879,0.0003654486980001155,7.709216381946275e-07,4.113499707789013e-06,0.00043821541301512697,0.0020032627690972464,0.00010466936834106343,0.0006623569909338896,9.808947051387035e-07,2.4833053684962423e-06,0.00022511944965407526,0.0011924770418862386,0.1800307147204876,0.15610633925933545,0.0843968391418457,0.12732941657304764,0.4976836234331129,0.873793086409569,0.00023444548769163193,0.000955016440760569,2.6566006974553624e-06,7.759584187609814e-06,0.000606118619891573,0.006048850986172606,3.0234206848516152e-05,0.00013939012676159786,7.020493446684435e-07,1.7547941120153012e-06,8.541520211170848e-05,0.0005664053415224418,0.0627545140311122,0.06045811976131278,0.03324862290173769,0.04955131188035011,0.12221757397055624,0.19431174695491982
5.0,350,7.934787216428458e-05,0.00032453450024525534,1.4568320961334555e-06,6.494383349544761e-06,0.00041249312268809395,0.0009211324932187864,0.00012538224200121006,0.0004487118120537066,1.2308458354589907e-06,3.078195221538735e-06,0.0008009456116023046,0.0019469676452293966,0.17361846575513482,0.14111891068092958,0.08188296295702457,0.13953424990177155,0.504784169793129,0.6493241018056876,0.00017120850418568716,0.0011207237224910085,2.7234663502256597e-06,6.396418038164781e-06,0.0003212446509076953,0.003385425744486299,0.0010868501586293185,0.010184395758281081,1.4219617190453036e-06,3.0131807412947926e-06,0.0002491653605530449,0.0045427687743478246,0.06723865135572851,0.05264246484902899,0.03364302217960358,0.05537217855453491,0.13818840757012366,0.16124759748578216
5.0,400,0.0002543817603120478,0.0019011286740552085,9.056676621949506e-07,3.255470221887184e-06,0.0003940573353504972,0.001568866422873502,0.0009377975334319515,0.00735368129254442,2.0277176491481444e-06,6.657356485770559e-06,0.0008718276533946445,0.007549682154210861,0.12453131657093763,0.0628222146016317,0.07881525345146656,0.11193816363811493,0.23021658584475516,0.30521996408701,0.00018264489111811572,0.00046288926869857063,2.5868886531334818e-06,9.706754375627693e-06,0.0010215032536691217,0.00234951214314643,0.001985099121025265,0.018043106251596937,2.1302109979711757e-06,5.557658146342869e-06,0.0007516894396373872,0.007807878981983118,0.06080249415710568,0.04760089960135,0.033634359017014503,0.047329170629382133,0.14429114311933516,0.24553099200129566
5.0,450,0.0002391190816455472,0.0010595639597183238,2.475682193208401e-06,7.154402029141796e-06,0.0006127120250507201,0.006732207665855046,0.0012716085075150886,0.007095066257650436,1.2405146945890606e-06,5.898581331790355e-06,0.0022529771688232446,0.022586026363383298,0.1431399170681834,0.09234404625077015,0.08014437928795815,0.12853312492370605,0.2710691973567008,0.5136337482929235,0.000216947596259844,0.000766946868777316,3.875623485799159e-06,1.1873186872350506e-05,0.0012462175090298428,0.003998078590177208,3.4156249070929215e-05,0.00010040586998806448,1.5774419735417917e-06,4.847310266404829e-06,0.00020092393747619033,0.0004184078774559268,0.0581409284286201,0.032820116637032604,0.03117702156305313,0.04800902493298054,0.1232228696346283,0.14445520967245112
5.0,500,0.00014700102767054132,0.0006846187571498513,1.7139370821734794e-06,6.710244389070419e-06,0.00033106448613978126,0.0031156881405520836,0.001812061331140043,0.015911581309291312,2.201647633953144e-06,5.36900883568706e-06,0.002114919064471883,0.008838416335603462,0.12166454460471869,0.08008208224359707,0.07047690451145172,0.10435818880796432,0.2549838721752166,0.3902164590358745,0.00032312640966093785,0.0016473230099803482,5.558672847635795e-06,1.8615947157046096e-05,0.0005512322854939152,0.007563680129193018,0.0008255583035071206,0.005335015112125401,2.1032401311111994e-06,7.40551890451429e-06,0.00046063335825450983,0.017693137241934182,0.06062490082345903,0.04671928666078324,0.03652303386479616,0.04712718166410923,0.1360241949558257,0.25809918671846416
5.0,550,0.000985833249676664,0.008351562831811061,2.7099931852297493e-06,9.977266902630507e-06,0.0015215349230746648,0.003981631293529995,0.00010630117734814719,0.0004430885584541539,2.931189718903478e-06,8.33481004903214e-06,0.0002921143523061529,0.0014331261531289944,0.13166592452675105,0.07338622258011872,0.08366750366985798,0.11846975982189178,0.25006422325968736,0.302554939091207,0.00028236566272555534,0.0007675115879497968,4.608725620589029e-06,1.5624322364259762e-05,0.002414057636838404,0.003682229448053568,0.00037473771324091754,0.0020676371530836198,4.295399470017484e-06,1.1418069175097196e-05,0.0012164026501965241,0.004636374527132275,0.05293195899575949,0.02990791327610469,0.033298660069704056,0.04610832780599594,0.10506893023848532,0.18244352996349347
5.0,600,0.00020484182027069649,0.0006229883374441074,2.544586281754682e-06,1.2352380233649128e-05,0.0012536214090880173,0.003238359260721443,0.0004229101998262803,0.002233386691461704,3.452337785094406e-06,8.952633399525238e-06,0.0009873550659491364,0.009414604894118977,0.10655386950820685,0.05460328635034662,0.06669854186475277,0.09070449322462082,0.22578340917825698,0.2835223186016086,0.00017210472067267436,0.0003984381097342764,4.288521226614771e-06,2.3652410427222827e-05,0.001306871899059211,0.0016858420177318873,0.0012297261147321734,0.008413239133820603,2.5726824100980037e-06,9.94000465448321e-06,0.0005690741976958656,0.04058648919841915,0.04844245926477015,0.028823165552733936,0.028483950532972813,0.03770194575190544,0.10919777341187,0.12486019223928474
5.0,650,0.0002004880500284337,0.0006375031379724413,3.1870320015492243e-06,7.7952225059018e-06,0.0012025664546085136,0.002417796915879021,0.00037235161129760036,0.0015935249760638324,4.625870861918544e-06,1.6275717591120666e-05,0.0013257597938736913,0.007678074179365121,0.14241097129881383,0.08635809952819945,0.0836273804306984,0.11975716799497604,0.23942731395363803,0.5269289469718934,0.00027381850978598984,0.0009749220564781387,4.218335242133557e-06,1.731094309803983e-05,0.0014898541411437873,0.005069766804982944,0.00048022164324609535,0.0030158585409081847,3.6509977146781763e-06,1.2721882008449365e-05,0.0005993055977633666,0.0063615410054824895,0.06414216443896294,0.04576395764970637,0.03427356667816639,0.05083169974386692,0.13755111843347534,0.2315610761940481
5.0,700,0.0001517930282072767,0.00045244748846207344,3.4028172754956675e-06,2.036317285280496e-05,0.0008518627251997945,0.001138669403175678,0.0001342908871004609,0.00045907259097354575,4.100274485780789e-06,1.1955390860858502e-05,0.0006338904193978751,0.0028790697386957857,0.14352437414228916,0.08837506906669686,0.08586139418184757,0.12104281783103943,0.31553515195846554,0.4562340900301938,0.0006265327137910503,0.002262663580874813,5.5589015823187845e-06,1.9175549290495262e-05,0.00279249732656593,0.013933450882277114,0.013671635438989048,0.11110555854181263,5.54953866581072e-06,2.135287344424347e-05,0.004224447312878337,0.13906382147738802,0.05492338674142957,0.027209258381388084,0.03928523417562246,0.048190612345933914,0.09540893882513046,0.13132182180881544
5.0,750,0.0002784118297936224,0.0012723196632978692,3.706696755919099e-06,1.4121703741565821e-05,0.0011139568333986976,0.002196915474277349,0.003558392839617787,0.024692030114838566,5.18295214084064e-06,2.404704497234792e-05,0.004258126487788173,0.043115258060097236,0.12867966301739217,0.09142961434140233,0.08042197301983833,0.10677444562315941,0.20813333094120015,0.6261363565921787,0.0012259868570847017,0.006911245350036589,8.270079813263151e-06,3.081505230553467e-05,0.002003711909547052,0.04471074677623395,0.00038420148425105443,0.00111607349761697,7.386184244620521e-06,2.3660566393780693e-05,0.0023395378109725205,0.00552156381116977,0.06603565007448196,0.048199160586674006,0.04004242084920406,0.05257606878876686,0.14404761567711827,0.18440188452601533
5.0,800,0.0002526258560284385,0.0007190595591921287,5.040714274321302e-06,1.8813720145944533e-05,0.0017344600842622046,0.0037807645852750925,0.0009833026814066374,0.004742522504802276,6.898327386527166e-06,2.195361060046947e-05,0.002186378273698765,0.024106593519671517,0.14003428280353547,0.081202049327155,0.08402285911142826,0.12232878804206848,0.3230512008070945,0.38593034803867365,0.00016757817783317322,0.00041031006621854784,7.578701917224642e-06,3.282269436651038e-05,0.0008083651583242117,0.0022870892777337747,0.001616695978138608,0.007481157198923091,8.999512477467607e-06,2.0977903131046273e-05,0.007188419033814455,0.04481573381445041,0.0612432415690273,0.03455991902697862,0.03403365518897772,0.053877610713243484,0.1187307946383953,0.1505116161704068
5.0,850,0.0004029625704903226,0.001010556148491929,7.717223853106035e-06,3.787791711376593e-05,0.0018819597893096713,0.004735191423397655,0.0004422720703308968,0.0030840880960293013,9.644496800248124e-06,2.8844532946251384e-05,0.0007421756485827854,0.0014213368345766897,0.1580007429793477,0.08336532656857083,0.1043486725538969,0.12999391555786133,0.3183422341942786,0.4643108570575715,0.00028815065982249697,0.0008683091383306154,1.0343329666188071e-05,5.132132396794937e-05,0.000782899040416655,0.0024339381265727146,0.00042837785848965325,0.002132559057194539,7.582798533558929e-06,1.5712032347737168e-05,0.0013642951037484896,0.004979459252387581,0.07156173450872302,0.05993189169374694,0.03681881818920374,0.058024827390909195,0.2110524274408817,0.241157490015031
5.0,900,0.00038555350597639654,0.0010048260809545938,6.576174794432109e-06,3.58208137557994e-05,0.002028256023691408,0.005733282691493221,0.0006721474519602917,0.003279254877581883,8.176867672056682e-06,2.4142260740646447e-05,0.0021735930697308788,0.009247495426753701,0.16838053219020366,0.08397384352426426,0.1114939171820879,0.14564105868339539,0.33807991892099376,0.40546623945236204,0.00036991722829929574,0.0009639962363800719,8.230941979369274e-06,2.8628085972113744e-05,0.0024250977394433683,0.0050227119752363,0.005117871020806923,0.03933288457703772,9.651630106632493e-06,3.483837129439187e-05,0.0017913281464252996,0.09725258270061798,0.06721008619293571,0.035698652187492276,0.04491367191076279,0.0574918445199728,0.13356141597032548,0.17422320306301145
5.0,950,0.0002531383234953573,0.0006565341741300441,8.326216133373126e-06,3.6391274618750575e-05,0.0012812180490937284,0.0031307210247375422,0.002865545516763389,0.016761404976893164,1.0467456857420338e-05,3.789782846278485e-05,0.0038369331118690312,0.0829102902258428,0.20753951720893382,0.4547221428541614,0.11115274019539356,0.1458815112709999,0.29564358741044994,0.6506340074539392,0.00037516859794959375,0.0012218084174510596,1.2907903877353139e-05,3.980949439394504e-05,0.0022107054091491897,0.00696502322423301,0.0007489312226454292,0.0030937603056881403,1.5543344486994828e-05,4.402283428970211e-05,0.002870549881318298,0.021284285709820105,0.07197293488308787,0.05820720949144635,0.03865479864180088,0.05754759907722473,0.16569838002324105,0.2639281654357921
