trajectory_length,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_hamres_mean,unguided_hamres_std,guided_hamres_mean,guided_hamres_std
50,0.20430857260624324,0.38046621944245584,54421.62911719413,321724.81621862797,0.20647859439564972,0.7953448243951596,74128.71619182965,452024.71404535905,90.96651357591152,132.74169708448005,37.668750843405725,59.328638474415186
100,0.03432887641621583,0.10855628917227494,4055.497195583436,23972.16915162642,0.11159707567621137,0.9571069175979936,1416.6590989465503,8748.09292992987,23.875909005105495,44.797331557448175,3601.790782629475,35706.29243387529
150,0.014854047340131231,0.032745892670190804,1844.697180771028,15664.079624734763,0.009310579753835207,0.012130117613175955,7322.304340357631,45124.90325689162,24.309446149170398,50.37202329919529,7.905573210120201,20.38725125994494
200,0.01477617518445835,0.046902427594643456,4280.525383076253,28052.407977332794,0.008831547309020691,0.0172995338657393,915.6240000528084,4959.688659606345,27.40010674610734,44.8629812509743,16.898625441230834,112.56593680856285
250,0.013268652724763267,0.033851871280996995,1100.3781638420994,5734.609759786035,0.005682990811337893,0.014541791695721364,64.84262846804951,248.35907134205544,23.55036493599415,33.08812651933535,6.015870096087456,11.102525232343087
300,0.009913767621172204,0.024035688067257806,62588.3079923044,614877.6142781329,0.0033949879773731957,0.0031791212416717005,9866.845203701674,68622.87535071324,21.78405747935176,26.375810566422746,4.752097726017237,10.733472563387727
350,0.03360547717615807,0.2671562761680924,139065.04887325532,1346538.5151063658,0.015175609296044324,0.06329980149932106,2386.6217785240415,10076.429602279892,1045.4059698460997,10185.989192609304,2.9899451356381177,4.703995551896772
400,0.03746613908692337,0.28688826798289546,124954.72239052405,1231808.5302441723,0.01555550956320368,0.07663470769393131,7967.087533612485,56745.7347365301,696.3316235363484,6770.570859299933,308.6865587099642,3037.795734011689
450,0.027298236703342384,0.12287491935607181,12213.380573110517,97637.64766929847,0.022172111595929623,0.13965544820742268,514.8398086293215,2451.442807426436,2357.656554066241,18584.491764303442,142.6621701209247,1378.550352338177
500,0.004394562933128467,0.006111623218399967,342.5130380642449,2675.6664674259223,0.005153849940225211,0.01287104651342554,6003.258221807305,37927.59427856407,27.6500456649065,77.85318070058601,4.023624311760068,6.279141555129021
550,0.05635529539193285,0.4791843744704378,20541.390382699818,139308.56428643552,0.01659847604867815,0.08916064170046745,143975.96258446312,1423759.5780998291,367.697475540638,3394.1539329847246,15.840579013079404,129.19542261209202
600,0.01631562047046349,0.07579249529102224,15190.947842566613,148488.47757407185,0.007861919214571113,0.03411880701525387,8520.822285399605,47745.92120384147,874.7531343641878,6602.2005032902,2.3751526957005265,4.849522102703735
650,0.006629771187702562,0.0245597643202405,504.3241344618281,2374.4298415222643,0.00446592462530375,0.00650694216900834,2684.5075809214154,19884.31371467565,26.876783482581377,39.65512852921872,2.888788277283311,10.592227950874001
700,0.28606998211135903,2.7631334865964403,434351.48501781444,4203123.910221136,0.01741600475566684,0.0864385396722021,39229.881108772744,304289.0020189342,23.75664877682924,32.775950049282734,3.144865512922406,6.706209162829178
750,0.019701876784107696,0.07667286362673924,1850.741212633447,11304.450195880572,0.006887318897210816,0.016738027977424744,3216.6821570163534,20766.417839583588,1191.9622497606279,10592.16285954677,196.66893830649553,1923.3084172448396
800,0.005403869563613583,0.010639938537254659,589.7907456424675,3057.6347770220314,0.009276057228064042,0.03363458382098228,2275.218681966487,15763.006178878954,25.4426764062047,33.69763314913747,6121.6730182932315,53342.680088544366
850,0.009810181898843104,0.03693503175512795,26204.39742331242,166681.02005348535,0.01713301878121619,0.07190296927434231,9859.800708870189,63405.082426217785,16.999796234965324,25.169476484089433,213.33959178455174,2096.4982231553313
900,0.020748391187317004,0.08251095963633194,17738.451540937418,142242.20315875884,0.006404028373023974,0.01611789612078623,205.24704027391354,1179.8286441777575,18.83635106176138,27.913894442109033,359.47533905372023,3524.9364440797835
950,0.03608555131449806,0.17556720709766027,285993.93056626106,2703176.4936684873,0.01338146229668982,0.03504983480383302,471.2653622512221,2790.121417744686,1869.7618895316125,14826.886816953533,30.28286553993821,229.3045099486364
1000,0.03569047496510399,0.21374992868789616,8659.590794839069,65997.61368892413,0.01888554306688986,0.09874340862341595,3621.672655805457,26478.582094987338,1209.4835895097256,10494.170889866857,528.8251903893054,5199.621445403683
