context_fraction,mse_qpos,mse_mom,mse_total,mse_qpos_std,mse_mom_std
0.0,0.6619309984704,4.752247744758144,5.414178743228543,3.991786706080881,66.06472836919993
0.1,0.04058777955964739,0.4988079062735353,0.5393956858331826,0.1995087415632386,1.7351414755091508
0.2,0.04003761505995969,0.4969632284863285,0.5370008435462882,0.19476877904388548,1.7445495459656892
0.3,0.05650837708227368,0.9056422092308071,0.9621505863130807,0.2000665595654263,2.442607866019954
0.4,0.05650837017849132,0.9056429346765664,0.9621513048550577,0.20006665301421733,2.4426110318703103
0.5,0.0565083768040804,0.9056428339185245,0.9621512107226049,0.2000667639567634,2.442617395184232
0.6,0.05650837768364964,0.905642788850524,0.9621511665341737,0.20006647723476984,2.4426151289535474
0.7,0.056508350814330054,0.9056427288182598,0.9621510796325898,0.20006649114698863,2.44261266705954
0.8,0.05650835805917457,0.9056418931179556,0.9621502511771302,0.20006675443798863,2.442608442213687
0.9,0.056508317216737824,0.9056432169941409,0.9621515342108786,0.20006637589908577,2.4426234606324475
