refinement_start_step,guidance_steps,num_passes,nmse_q_mean,nmse_q_std,nmse_p_mean,nmse_p_std,hamres_median,hamres_mean,hamres_p25,hamres_p75
30,10,1,0.01985265355757181,0.04460624426818459,0.00916202758381957,0.013050632687407276,,,,
30,10,2,0.022869424540358226,0.053283345010266485,0.0090002185830819,0.012982284054181944,,,,
30,10,3,0.10587838816256429,0.6228326869445145,0.008003650095907441,0.013631920537335893,,,,
30,10,4,0.018549963142996107,0.028992140354263535,0.009235363191314424,0.01445222353402604,,,,
30,10,5,0.025942740954554833,0.05657624825879026,0.008320967132125769,0.013877219070020064,,,,
30,25,1,0.024277200772836877,0.06367340316572563,0.007995190613965949,0.01182560595604865,,,,
30,25,2,0.03604692309067945,0.14943512257798186,0.007895344846372136,0.01217670530560134,,,,
30,25,3,0.04829776165934698,0.22543503095026152,0.00586053399453525,0.008198459481443284,,,,
30,25,4,0.023308311320240267,0.053705676952799035,0.00779134985737715,0.01326298810217407,,,,
30,25,5,0.04511174768335176,0.14319995692218052,0.007497993093351652,0.012088646051644112,,,,
30,50,1,0.02177471342070447,0.061193211403241035,0.007335364800398535,0.011262937566781438,,,,
30,50,2,0.0358256101965307,0.15038761829202285,0.007962327476536296,0.012683502714435838,,,,
30,50,3,0.05546751215859631,0.29605393557971904,0.005964352310459344,0.008575306879767357,,,,
30,50,4,0.020794292776811902,0.046697625956701905,0.007835155632434896,0.015082850513331747,,,,
30,50,5,0.03718326988933021,0.1170912332062548,0.00736603115026214,0.011657101046159052,,,,
30,75,1,0.022315497057703537,0.06503400490213171,0.007368661182397567,0.01179369888090166,,,,
30,75,2,0.033013592559823966,0.1371576106581581,0.007633333330329141,0.012099003260989062,,,,
30,75,3,0.05419398844210261,0.2879984949552903,0.006246512559279556,0.00923647827167837,,,,
30,75,4,0.019714535288276828,0.04596926931822102,0.007597073725420332,0.015024505104206989,,,,
30,75,5,0.03741087468164654,0.11910138052733565,0.007613682882664505,0.011988828526394813,,,,
35,10,1,0.020500808093726522,0.04358408040672081,0.009356255741382671,0.013539438951740984,,,,
35,10,2,0.02289361038445681,0.05647492728347686,0.009093383249662372,0.012714475992879346,,,,
35,10,3,0.11571956161892721,0.690653306269809,0.008353743345264713,0.013723370921210717,,,,
35,10,4,0.021258441816244526,0.04366200765356046,0.008772508294116327,0.012824360207867664,,,,
35,10,5,0.041415956940692535,0.11628734464725941,0.010133162825194587,0.014548618425159405,,,,
35,25,1,0.023468981030084414,0.06245384856835049,0.007849853147619434,0.01198625753606137,,,,
35,25,2,0.03359288174564944,0.14378173620987475,0.007739652321902614,0.012486566564074724,,,,
35,25,3,0.027315226587698773,0.08612969981844353,0.005683197146761595,0.007968195199896375,,,,
35,25,4,0.018418742312808684,0.03672138211464886,0.007345971798633411,0.012343223576209653,,,,
35,25,5,0.03845023268798289,0.11376696230334589,0.00705511845376248,0.011235939905467063,,,,
35,50,1,0.021401526332757725,0.0585698006270118,0.007248033391747732,0.011445473233042106,,,,
35,50,2,0.03617894312355421,0.15160842266628122,0.00818649379512961,0.012810853496723116,,,,
35,50,3,0.04137876239583605,0.19733327027780342,0.0058338892096380145,0.008571465302286582,,,,
35,50,4,0.019437564742593873,0.04299306095448869,0.007719425416816818,0.01471988940938117,,,,
