method,length,sample_idx,rmse_p,range_p,nrmse_p
unguided_dpf,100,3,0.017522318096631833,0.4600471545906733,0.08179386159322814
guided_dpf,100,3,0.009730438640188915,0.45792233578924674,0.03554148457139997
unguided_dpf,100,4,0.02097216308428566,0.4448083245218082,0.07337644948438057
guided_dpf,100,4,0.0056403396636708686,0.44656846858090987,0.01645344329929772
unguided_dpf,100,5,0.011668619579832002,0.40292940709004216,0.22243557341555983
guided_dpf,100,5,0.005866835684963291,0.4029780868136886,0.07690261343078508
unguided_dpf,100,6,0.013543766242352142,0.5295988003092891,0.02403456128045701
guided_dpf,100,6,0.0036889939732910795,0.5331613671026729,0.007221588936294185
unguided_dpf,100,7,0.009871268271794529,0.42739981486407896,0.036804559079033246
guided_dpf,100,7,0.007388127069215099,0.4288891389140379,0.022909028665688076
unguided_dpf,100,8,0.03414197751627753,0.5711035718432781,0.05956864200355372
guided_dpf,100,8,0.004338715202008097,0.5699432487886756,0.0078030181103414115
unguided_dpf,100,9,0.014261682589040953,0.45520643393622057,0.049932926710737464
guided_dpf,100,9,0.005234176076963421,0.4504150956496102,0.011239256492616603
unguided_dpf,100,10,0.04005783038030655,0.35032252357306426,0.18068708473863673
guided_dpf,100,10,0.013478405317678134,0.35204606897029445,0.06028312809916664
unguided_dpf,100,11,0.018418081147121238,0.45334340440867105,0.05417851786298363
guided_dpf,100,11,0.0038855500570078526,0.4432585835791362,0.009511151796448373
unguided_dpf,100,12,0.014845843966244976,0.3570055012169219,0.08248237456525986
guided_dpf,100,12,0.0038752138140374973,0.36981876780157,0.017638674815298013
unguided_dpf,100,13,0.022750094810608783,0.35478854620130246,0.15310000358372733
guided_dpf,100,13,0.006521955040087588,0.3549534937400151,0.019641930448163036
unguided_dpf,100,14,0.015749378764283537,0.4576889319006127,0.04258220963514878
guided_dpf,100,14,0.003486739423755139,0.4624860610213469,0.0073305578387507135
unguided_dpf,100,15,0.00893007363543857,0.4877547613407593,0.016561937376582538
guided_dpf,100,15,0.011669868798814834,0.4857334993704148,0.026973970435682715
unguided_dpf,100,16,0.020471090886535998,0.3347987614463827,0.6635348197287604
guided_dpf,100,16,0.005286542071451955,0.33569256385792867,0.1290214586715779
unguided_dpf,100,17,0.00966734265524206,0.45686805145456216,0.032380130994395885
guided_dpf,100,17,0.004528383470596758,0.45653623551752914,0.015323699694705315
unguided_dpf,100,18,0.01935429008067925,0.5092360215586057,0.03767230241979218
guided_dpf,100,18,0.009745217791362054,0.5098431245586473,0.018734967410345218
unguided_dpf,100,19,0.03066627990409727,0.44959450314503185,0.07152037389538819
guided_dpf,100,19,0.00793165274885506,0.4496202615389981,0.02013392423821415
unguided_dpf,150,0,0.009487940009768936,0.5953882946227362,0.019075255403204042
guided_dpf,150,0,0.008869468313527466,0.596058272301617,0.02131595259916405
unguided_dpf,150,1,0.011393073530769357,0.7483735123674894,0.013834898984516111
guided_dpf,150,1,0.0064093772942567925,0.7504270468692384,0.008166463129493968
unguided_dpf,150,2,0.023945229305371584,0.6744945478615304,0.07116992007413094
guided_dpf,150,2,0.005896826575405827,0.6844909248699266,0.009929693635210464
unguided_dpf,150,3,0.021366647747906014,0.6381474592186853,0.055395439707231674
guided_dpf,150,3,0.0052996039451514605,0.6398142171785591,0.006410234562273645
unguided_dpf,150,4,0.01938625111504452,0.7286747102336978,0.025900425179332397
guided_dpf,150,4,0.006909039852403709,0.7342459002050217,0.009512664577807013
unguided_dpf,150,5,0.025946571388129013,0.6615299976699266,0.05301099567301907
guided_dpf,150,5,0.005522875971319084,0.6458776266660796,0.00958532034997453
unguided_dpf,150,6,0.011347153510438112,0.6325395409428644,0.034437873740568975
guided_dpf,150,6,0.0035353814172055,0.6315068655431509,0.009509274964035417
unguided_dpf,150,7,0.010032554777899506,0.7877981132926121,0.012225265440290574
guided_dpf,150,7,0.007549718164403402,0.785008363332882,0.009857569715066293
unguided_dpf,150,8,0.008018346332279245,0.4672777477519701,0.09125936962482427
guided_dpf,150,8,0.009120345533072545,0.471562382342061,0.09727724449786912
unguided_dpf,150,9,0.03849556045676076,0.6803956728922552,0.07219736437573004
guided_dpf,150,9,0.004015709039514895,0.6749930397252211,0.006640840328712558
unguided_dpf,150,10,0.005128063267012464,0.6157922672627144,0.017108809403835013
guided_dpf,150,10,0.008364384791224448,0.6124331185974855,0.019328165531145833
unguided_dpf,150,11,0.029931671733646498,0.5915754533122839,0.05931543316422857
guided_dpf,150,11,0.004614544391849151,0.5961755066095097,0.009717848627655424
unguided_dpf,150,12,0.025883668203978073,0.7596663143733821,0.033964793277115234
guided_dpf,150,12,0.006616627934647197,0.7284278860538537,0.009788722630943984
unguided_dpf,150,13,0.03553589182295048,0.6000464874939322,0.1119844951284481
guided_dpf,150,13,0.005744818282084661,0.6105478206798193,0.029724689060905612
unguided_dpf,150,14,0.010469258021415443,0.6074201279865052,0.12529887953064203
guided_dpf,150,14,0.005849070677993901,0.6079254384087164,0.028871860004040708
unguided_dpf,150,15,0.023521644798486552,0.6664308457453515,0.02779106493663383
guided_dpf,150,15,0.01196177777949234,0.6720126553736167,0.014431664843560907
unguided_dpf,150,16,0.01266308948514372,0.3989879090998754,0.04367834914184703
guided_dpf,150,16,0.0098298184554109,0.4066424322951688,0.040270205748933814
unguided_dpf,150,17,0.06914612100972076,0.7119126105597798,0.12728653706277637
guided_dpf,150,17,0.009546624380644847,0.7188166129783221,0.016051833317608507
unguided_dpf,150,18,0.024067129176125034,0.2523775906482563,0.1329493615296193
guided_dpf,150,18,0.0024768998314425327,0.2511250370988267,0.011746821843225952
unguided_dpf,150,19,0.011042413037358085,0.6580807351488452,0.01769046878670086
guided_dpf,150,19,0.00946957305045289,0.6587922453345478,0.016273973940532507
unguided_dpf,200,0,0.014647314428640751,0.8189859488947672,0.0380146909503648
guided_dpf,200,0,0.009939768485667182,0.811292875435954,0.017602101453474798
unguided_dpf,200,1,0.056810262406024305,1.0106045400419186,0.05630591536200678
guided_dpf,200,1,0.007792240594397533,1.062635834235313,0.007030310795690535
unguided_dpf,200,2,0.015719288810521436,0.832205268793406,0.12498849176005329
guided_dpf,200,2,0.00765802361586692,0.8382504833296854,0.02215985407825774
unguided_dpf,200,3,0.029621277460575277,0.8063263701160563,0.05071287746499444
guided_dpf,200,3,0.012826419356909738,0.8070076540167075,0.022771959678707765
unguided_dpf,200,4,0.03509662120310412,0.750502395266533,0.1238183257509946
guided_dpf,200,4,0.012717994954047044,0.7542018765419481,0.04241004996476411
unguided_dpf,200,5,0.03240930087592034,0.8850487066808418,0.040137511842647446
guided_dpf,200,5,0.006468941825276418,0.8869213199442186,0.008346722591008876
unguided_dpf,200,6,0.011583856580927093,0.8242996899931946,0.03214763615198881
guided_dpf,200,6,0.00735866546891565,0.8131637342155518,0.02908971899573866
unguided_dpf,200,7,0.027982735076557973,0.843913695438908,0.05071177340795858
guided_dpf,200,7,0.009468616313762562,0.8522337927924474,0.018494079192403593
