method,length,median_rmse_p,median_range_p,median_nrmse_p
unguided_dpf,50,0.033697581072324026,0.2013625793445874,0.185246704350082
unguided_dpf,100,0.016635848430457685,0.4514689537768515,0.05687357993326868
unguided_dpf,150,0.020376449431475267,0.6481140971837653,0.04834467240743305
unguided_dpf,200,0.02255993497737186,0.8282524793933003,0.045945908255578004
unguided_dpf,250,0.020320646942641366,1.1404941506387665,0.022462323689517553
unguided_dpf,300,0.022289844589010677,1.206954624449458,0.018705604380560056
unguided_dpf,350,0.036454880516527156,1.4930489315460318,0.032560446918223365
unguided_dpf,400,0.045863064704217284,1.6734811788089319,0.04509145488915168
unguided_dpf,450,0.05200589180167368,1.7844752945100497,0.056356976230898165
unguided_dpf,500,0.05873626176743739,2.132695920378281,0.03842417135044553
unguided_dpf,550,0.04940418721091985,2.3286587789006656,0.04561835833843071
unguided_dpf,600,0.06052275948130689,2.5186203114079744,0.03365340493538139
unguided_dpf,650,0.08036186251586899,2.9045558029255796,0.04489011176572401
unguided_dpf,700,0.1268303399393207,2.917697394080374,0.05885863331481083
unguided_dpf,750,0.10362852161910824,3.1582861613407047,0.054716424794486684
unguided_dpf,800,0.13778771611237706,3.208107341205786,0.056090045525395496
unguided_dpf,850,0.186167411227132,3.491164960060409,0.0762314771870519
unguided_dpf,900,0.2657746044447835,3.819765558794294,0.07500078974295993
unguided_dpf,950,0.3379209984495429,4.077056641209635,0.1334964935117167
unguided_dpf,1000,0.24443020805079246,4.5715544100778045,0.08688726291751472
guided_dpf,50,0.007900832960946937,0.2056960631966469,0.060492550488260494
guided_dpf,100,0.00575358767431708,0.448094365059954,0.019361895703148224
guided_dpf,150,0.006513002614451995,0.6428459219223194,0.010838257739218208
guided_dpf,200,0.007725132105132227,0.8315368191231451,0.018847731927392523
guided_dpf,250,0.012733503879318833,1.1436776652621987,0.011703872267592778
guided_dpf,300,0.013276265009245712,1.208968064124099,0.014247175866652216
guided_dpf,350,0.016202713983903917,1.5385683798163186,0.019891687173753864
guided_dpf,400,0.026258559042954637,1.652844447356494,0.02237274167542759
guided_dpf,450,0.029909751838912944,1.7831239232182563,0.03458822863683769
guided_dpf,500,0.026474006878026528,2.099179681974702,0.03088606704759285
guided_dpf,550,0.04321147838018539,2.267113556277071,0.0520550523169265
guided_dpf,600,0.0479719375135579,2.547567697199982,0.025687824422133902
guided_dpf,650,0.04711972533534485,2.8607377312904925,0.03271422818782739
guided_dpf,700,0.0876242191370126,3.0050996185632814,0.03391134348274286
guided_dpf,750,0.08688189995381494,3.1916898810916305,0.05596627759463369
guided_dpf,800,0.08092997427250148,3.1844642449890523,0.04648033365980819
guided_dpf,850,0.1535749992221914,3.4576043521402946,0.06322995033853675
guided_dpf,900,0.16459722403951016,3.856794975853753,0.046261969620334055
guided_dpf,950,0.2480034171028275,3.919089095972064,0.08304387576821423
guided_dpf,1000,0.20820659562221155,4.593134361828063,0.07769509838898794
unguided_diffusion,50,0.01586135786942445,0.2274312841196045,0.08969003984583615
unguided_diffusion,100,0.01920862859207851,0.46290832768670065,0.048947255788779266
unguided_diffusion,150,0.020586197741215402,0.6967144102526825,0.03952653500242842
unguided_diffusion,200,0.024312234037312093,0.9285528527479432,0.036054560103096316
unguided_diffusion,250,0.029631376844082364,1.1578414911287562,0.036598175650108665
unguided_diffusion,300,0.0381297109778073,1.3846258136281466,0.03845325972408646
unguided_diffusion,350,0.04890531353139725,1.6151381154805726,0.04029891210939755
unguided_diffusion,400,0.062283451940864654,1.8429806048653088,0.04304455176904497
unguided_diffusion,450,0.07638428857052056,2.068322143952469,0.04658974935696304
unguided_diffusion,500,0.0925211139633965,2.292238100472126,0.05098075890394473
unguided_diffusion,550,0.1099137575594654,2.516240694521474,0.05611866985577922
unguided_diffusion,600,0.12842416385037847,2.7348790001966243,0.06184746762228391
unguided_diffusion,650,0.1492078626073926,2.933106138393967,0.0679332857625736
unguided_diffusion,700,0.17130268350316663,3.125657193516161,0.07445396301406312
unguided_diffusion,750,0.1973699286484346,3.313714076125868,0.08198512911316301
unguided_diffusion,800,0.22477191961825105,3.5011338703354262,0.09026729099709076
unguided_diffusion,850,0.254337260760336,3.686196886968255,0.09581278870422336
unguided_diffusion,900,0.28671348732852575,3.865152305925095,0.10235310907024106
unguided_diffusion,950,0.32155632441666326,3.9900561439541966,0.10575744416586375
unguided_diffusion,1000,0.35864217221088945,4.125912178347645,0.11056082982290719
guided_diffusion,50,0.007123484985609118,0.22924484188632124,0.03430006644818988
guided_diffusion,100,0.008493592472544286,0.46722159176591205,0.024211486288256888
guided_diffusion,150,0.01076106975979974,0.7041409305833957,0.020623305824007412
guided_diffusion,200,0.01416932263169533,0.9397617774006723,0.01784295379052167
guided_diffusion,250,0.01778067813906255,1.1735349131357058,0.019043818326133326
guided_diffusion,300,0.023537245331855625,1.4043533172563203,0.022068741741320494
guided_diffusion,350,0.03112158575633263,1.6384436557310909,0.02325587770659505
guided_diffusion,400,0.040947316985267684,1.87176287104475,0.026002901867279327
guided_diffusion,450,0.051338267209244295,2.102208032711423,0.028901769786809715
guided_diffusion,500,0.061446706668106504,2.326147781540846,0.0324801317705626
guided_diffusion,550,0.07267112837203443,2.546520743477058,0.036471339546885015
guided_diffusion,600,0.08521828615686622,2.7719204865534293,0.0405751658925521
guided_diffusion,650,0.10047872303645589,3.009502499054197,0.04487659958114316
guided_diffusion,700,0.11746513609275379,3.2254010446688053,0.04959045300668262
guided_diffusion,750,0.13681255049181257,3.4295709454759224,0.054622647933287374
guided_diffusion,800,0.15864389368945547,3.623135351169637,0.060024873907284816
guided_diffusion,850,0.18280648055336896,3.8099746036897635,0.06622960391172279
guided_diffusion,900,0.20909673329134942,3.998082234319021,0.07224119929370154
guided_diffusion,950,0.23751871470912073,4.182970195396297,0.07829843442346739
guided_diffusion,1000,0.2681358805452193,4.376871733274037,0.0820984468857798
