context_fraction,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
0.0,0.6546422002568845,0.47684060008121243,0.5813208100992585,0.42342918696797177,0.6179815051780715,0.41479937625425795,0.2699227,0.3695278,0.3307309143901916,0.3803891646774495,0.2774728933287553,0.3494779222718264,0.30410190385947344,0.32543005435897376,0.09483916,0.22127864
0.05,0.26719450182928667,0.2968152743355015,0.23028899809951345,0.25708605026948006,0.24874174996440004,0.24603986171382577,0.07484866,0.18180709,0.207765655704212,0.3156676209923072,0.15382094260565368,0.1543319654461885,0.18079329915493283,0.20448024649526242,0.049674883,0.10624197
0.1,0.2684376204099658,0.31074832041954503,0.22548970162804685,0.2638387992260911,0.24696366101900635,0.2593684079335997,0.06416218,0.17201346,0.1893610296457032,0.24519956794105577,0.15879276777137802,0.20028060346264862,0.17407689870854065,0.1831039215079176,0.052038226,0.101626515
0.15,0.2795576347945776,0.2993746198390013,0.22455079093150979,0.2403305000200294,0.2520542128630437,0.251561817459543,0.0698902,0.17663746,0.16018244490677516,0.17956182771899282,0.1306720978212706,0.1240036898104106,0.1454272713640229,0.13620868953297505,0.060403924,0.18331341
0.2,0.2589305739520292,0.3088210140408544,0.22089720547747405,0.25240792987549415,0.2399138897147516,0.253370988516765,0.06684301,0.21634367,0.20013824533221541,0.3527536099974427,0.1505170531063882,0.17679721825902175,0.1753276492193018,0.22257484367498723,0.046098135,0.06603872
0.25,0.3360565046093312,0.3580415865353037,0.2764657255445205,0.29324062423669134,0.3062611150769258,0.302470180151556,0.07294836,0.12952688,0.18817875991766858,0.18614974825049402,0.1609245698600378,0.15433230926238653,0.17455166488885318,0.15841511038683084,0.044612974,0.065638274
0.3,0.3298265708453219,0.3360060939074388,0.31314388640458857,0.33559452656981514,0.32148522862495527,0.31637908761680184,0.06027567,0.09996519,0.21554190937491355,0.22716281459946636,0.1588128588679818,0.14714643115162476,0.1871773841214477,0.1663708306051195,0.06337014,0.16165613
0.35,0.36370326020632726,0.6940070440984312,0.28045178549273936,0.3286575818051116,0.3220775228495333,0.43252016467129434,0.0986911,0.21222134,0.2162099610141013,0.23425043859907466,0.1708158851597436,0.16351633927794115,0.19351292308692244,0.1784431756595642,0.049716927,0.073058814
0.4,0.30811459816495107,0.3094084510522755,0.26771111817115695,0.29703164438846796,0.287912858168054,0.2756212977805796,0.06820204,0.12439578,0.2178845372058568,0.23631729754975014,0.1680863369115866,0.16284290689334294,0.1929854370587217,0.17698898627454768,0.0626201,0.1316169
0.45,0.30664822970553873,0.3488098232195777,0.2461790945292678,0.2622075149350054,0.2764136621174032,0.2901861510431545,0.06785728,0.1378184,0.18250918760419238,0.1808677375548365,0.1485143875238448,0.14312656574466828,0.1655117875640186,0.14880442966142424,0.058925334,0.18184756
0.5,0.31176252021274403,0.3144032301947073,0.25639749184238114,0.2540816490908436,0.28408000602756256,0.2641924714267751,0.061317082,0.10544566,0.19577278051685812,0.23643435553412823,0.147644620806362,0.15944484670351658,0.1717087006616101,0.18128867890670478,0.042032946,0.067081116
0.55,0.35490810540462364,0.37595260925251633,0.30344987044896304,0.3345237148612466,0.3291789879267934,0.32468228570729607,0.08474506,0.15764108,0.20092570998728226,0.1954374057479826,0.15481141876504573,0.17268975909384704,0.177868564376164,0.16518739413564892,0.048083644,0.08142539
0.6,0.31615488524882696,0.30035954608527277,0.25642952973000477,0.2543191476209203,0.28629220748941586,0.2607616173411511,0.085248634,0.17023836,0.19797662875023878,0.2331365601426578,0.1630976651896712,0.17304097731246404,0.180537146969955,0.1743707792362071,0.05010453,0.10394146
0.65,0.31807013408532114,0.355002760018093,0.2744993774963143,0.2786418273946567,0.2962847557908177,0.297560506296694,0.094751075,0.2847284,0.18271492074652215,0.20417277525600364,0.1485594894772629,0.1441638950652499,0.16563720511189256,0.15932291363672207,0.05857795,0.13394873
0.7,0.34752993109480984,0.3615895809611762,0.28951307419716116,0.3094249348162874,0.3185215026459855,0.3053432516622428,0.078047134,0.16720071,0.19288955780029682,0.24109158674812256,0.15105358216669723,0.16611657992897272,0.17197156998349702,0.1780783483710392,0.05442885,0.12481834
0.75,0.3243052469441571,0.6684629662299908,0.24885799543921533,0.26836907795112624,0.28658162119168623,0.3988170126515894,0.07479764,0.18498935,0.1872506814736965,0.19598508418586374,0.15122815455803448,0.13522303029009503,0.16923941801586548,0.15205702290584847,0.041772414,0.061944418
0.8,0.37644861475965286,0.6953129094602164,0.2922254587894818,0.3138511260598351,0.33433703677456733,0.4350204260443859,0.08812029,0.19062579,0.21209438444255155,0.24403355376369673,0.16130568501299372,0.15736778463504406,0.18670003472777263,0.18225812591873272,0.046670247,0.08078005
0.85,0.3181050697291149,0.37382653976746977,0.26578371549643,0.28214800543545704,0.29194439261277244,0.3042385375418268,0.06742039,0.16830224,0.2072592383338161,0.22979441961861224,0.15977264037098726,0.17309924405051982,0.18351593935240168,0.1848749748731164,0.061392155,0.20493275
0.9,0.30024224820198475,0.3408607847770269,0.26434178473653874,0.3353914893157794,0.2822920164692617,0.3106511688378102,0.08222059,0.24601252,0.2135314238522961,0.2319484963565768,0.16437477920511923,0.18549887675507007,0.18895310152870767,0.18296502789695385,0.053622227,0.118928276
0.95,0.31978600495280124,0.3301536968236183,0.2837053293960809,0.278780797054616,0.30174566717444107,0.28448191002103984,0.067316845,0.10380396,0.1899185931398675,0.22588472935286327,0.1570123660391484,0.1843220939952801,0.17346547958950795,0.1825743189312935,0.045711122,0.093629465
