trajectory_length,unguided_median,unguided_p95,unguided_p99,unguided_mean,guided_median,guided_p95,guided_p99,guided_mean,unguided_p25,guided_p25
50,8.201433181762695,26.19239044189449,106.73287796020504,12.746405601501465,3.837094306945801,6.06538872718811,8.763140125274658,4.08317756652832,2.938686192035675,2.4819719791412354
100,0.9283874034881592,6.026200199127196,15.636904296874992,14.83895492553711,2.867379665374756,3.877389013767242,4.604202752113342,2.9213452339172363,0.3473374918103218,2.2973275780677795
150,0.8632770776748657,4.887753176689145,10.153040409088131,13.483707427978516,2.6377193927764893,3.311407959461212,3.898802189826965,2.864928722381592,0.3254958316683769,2.059675097465515
200,0.5911357402801514,3.933750510215759,8.2379978275299,13.657081604003906,2.489486694335937,3.2871184229850767,4.129659729003906,3.1974775791168213,0.2510141283273697,1.9693414270877838
250,0.9329822063446044,5.5003060579299925,12.823880405425998,3.151190996170044,2.579530954360962,3.479517757892608,3.943828518390655,10.596674919128418,0.3894176036119461,1.9571289122104645
300,0.487837553024292,2.901184546947478,6.485977735519406,0.9054961204528807,2.3585805892944336,3.084806489944458,3.557387089729308,6.446293830871582,0.2642209306359291,1.950576901435852
350,0.5049567818641663,3.0656382560729947,8.74835794448851,12.071505546569824,2.360647678375244,3.0009684443473814,3.473340148925781,6.630009651184082,0.17626825720071793,1.9689977169036865
400,0.4724154472351074,3.1589074730873103,147.6996246337834,28.059165954589844,2.3188438415527344,2.919164443016052,3.4159138345718385,4.203797340393066,0.2788982540369034,1.963020384311676
450,0.8359550833702087,4.427508735656737,12.246353225707558,44.49842071533203,2.32010269165039,2.7851503133773803,3.474143106937407,7.142946243286133,0.3270506039261818,1.922374814748764
500,0.4456627964973449,3.318607628345489,11.078699970245356,4.131618499755859,2.2902491092681885,2.898048520088196,3.466524865627288,2.335268020629883,0.14550859481096268,1.9553986489772797
550,0.4700679183006286,3.4528433799743645,6.602738347053527,14.585827827453612,2.292089939117432,2.854013192653656,3.502167203426361,2.974470615386963,0.18736962229013443,1.9239100217819214
600,0.4862880408763885,3.4733911752700783,13.704771118163968,18.94271850585937,2.2834277153015137,2.918191635608673,3.7258472108840937,5.436861515045166,0.22157958894968033,1.9560683965682983
650,0.4686598181724548,3.221427357196807,6.634832630157467,1.4475287199020386,2.294254302978516,2.982784557342529,27.452028427123672,8.260932922363281,0.17603793367743492,1.9681241810321808
700,0.5390814542770386,4.337282776832579,236.0951165771483,18.569543838500977,2.284489870071411,2.881858420372009,4.497936315536485,6.9253997802734375,0.26123594492673874,1.98794025182724
750,0.5216285586357117,4.179558157920832,788.3447741699164,24.45989990234375,2.328312397003174,3.05261538028717,3.669078893661498,4.469561576843262,0.253124937415123,2.0045353770256042
800,0.5967979431152344,4.230533742904659,9.482033910751326,15.354811668395996,2.348522186279297,3.010096180438995,3.897470271587372,4.560161113739014,0.36803095787763596,1.9999733567237854
850,0.558102011680603,4.3318430900573714,10.287065677642802,7.181953430175781,2.383112907409668,3.236889326572418,55.257822113037015,6.850653171539307,0.3469977453351021,1.9968010783195496
900,0.7165879607200623,4.996972370147696,278.8524075317382,19.57923698425293,2.411590814590454,3.301546931266784,5.315981740951536,4.56549882888794,0.3942320793867111,2.0654439330101013
950,0.8141833543777466,6.550084376335132,192.64848007202147,13.543964385986328,2.4857177734375,3.469552719593047,17.34466049194318,6.416157245635986,0.37665124237537384,2.0951576828956604
1000,0.8504799604415894,6.160037612915035,485.4138272094722,20.35440444946289,2.479325771331787,3.460986912250519,33.03816383361772,5.55089807510376,0.4288695380091667,2.027608871459961
