trajectory_length,gt_median,gt_p95,gt_p99,gt_mean,gt_std
50,0.07063695043325424,3.9494827151298506,11.65988247871399,0.6138796995859593,1.9686035321346014
100,0.054225606843829155,0.09304312840104101,0.22611848413944377,0.05960241988301277,0.05151411885325948
150,0.05363390035927296,0.08940855786204337,0.22478646501899013,0.061775762885808945,0.06957210981056752
200,0.0536272581666708,0.10698557496070833,1.4544326937198666,0.09913289157673716,0.25224558552865894
250,0.05628150515258312,0.10918283201754093,0.35328117161989403,0.06725164216943086,0.07944729418158974
300,0.05648181028664112,0.11381080821156501,0.5171492850780531,0.07831211823504418,0.14075370467155068
350,0.0532042533159256,0.110368900001049,0.2895761930942538,0.06257714428007603,0.04569206139821464
400,0.058111706748604774,0.1443111620843408,0.5645729923248332,0.08429865907877683,0.1423129192178619
450,0.05473249964416027,0.11501780115067958,0.2670687144994738,0.06107942339032888,0.041573058170689264
500,0.05372503586113453,0.10620135143399238,0.14694091960787797,0.05710322110913694,0.026237698859167848
550,0.05597279779613018,0.10721662901341913,0.3306105017662205,0.09163611306808889,0.33074491408281037
600,0.05710124038159847,0.14079352021217345,0.4608637943863872,0.06940495234914124,0.06710836270862612
650,0.05928461439907551,0.11060796976089475,1.0974376189709096,0.15985873475205153,0.854908159227449
700,0.05599820427596569,0.1840925797820089,1.067065278291722,0.13402540345676242,0.5009363509322682
750,0.056681906804442406,0.10701200067996977,0.29465488135814827,0.06789077889174223,0.06627567876354055
800,0.05695002339780331,0.11647411473095408,1.848555879592896,0.10178742734715343,0.265660165038612
850,0.057508813217282295,0.1219762135297059,0.8343368607759536,0.09547713813371957,0.22058959201238543
900,0.05898321233689785,0.2584918096661567,0.7126541489362773,0.100857569668442,0.1984950551924562
950,0.0654059462249279,0.9671257048845291,3.084878666400913,0.1805322379246354,0.5085339292900655
1000,0.0680576004087925,0.16605121344327908,0.5779735565185686,0.11227802540175617,0.32559267798793645
