trajectory_length,gt_median,gt_p95,gt_p99,gt_mean,gt_std
50,0.06451299041509628,4.1054780721664415,11.308787345886259,0.6852236420242116,2.303313093147885
100,0.05304281786084175,0.10429425314068794,0.35771200180053886,0.0674520247336477,0.07914129683439887
150,0.052494511008262634,0.09118078611791133,0.10842433802783566,0.05587582719512284,0.02830040421309584
200,0.05663144402205944,0.14002959281206115,1.2062971484661182,0.10067115430254489,0.29320381993819444
250,0.056902116164565086,0.11287439949810502,0.4249318137764961,0.07071055888198316,0.10448251646166423
300,0.0564626045525074,0.11260521598160267,0.27102739959955297,0.06468365186825395,0.04776196387418823
350,0.054967405274510384,0.10995889976620674,0.2594898515939716,0.06315006469376386,0.04178631482462943
400,0.05606345273554325,0.142192605137825,0.44149933904412386,0.12676130797713994,0.6124249160823599
450,0.05179295502603054,0.09984214715659617,0.13999298423528725,0.05414662366732955,0.02872307793326175
500,0.05569683015346527,0.1042283374816179,0.3316330465674457,0.07486961900256574,0.14032489354394753
550,0.05358537286520004,0.08087575845420358,0.4556987184286119,0.06087170212995261,0.06252891714702573
600,0.05710159055888653,0.10191253125667558,0.23451059833169133,0.06516752608120441,0.058082033799875414
650,0.05526282079517841,0.11632953733205768,1.1478726935387367,0.2200422437302768,1.474394016600691
700,0.05412603169679642,0.12621555104851706,0.447959586679938,0.07230108606629074,0.10265083852197729
750,0.05513167567551136,0.08768148049712181,0.7991568440198905,0.07319715462625026,0.11788201034181171
800,0.0609432402998209,0.13677516654133795,0.6221421444416703,0.20325244905427098,1.319613349095415
850,0.05502129904925823,0.14451297223567963,0.5386335211992289,0.07861915959976613,0.11729221187371092
900,0.059183528646826744,0.12484442926943301,0.46698810011149144,0.08533029824495315,0.1820319290192806
950,0.06421657279133797,0.6811830163002014,4.351167497634895,0.19987485399469734,0.7276814194622614
1000,0.0653047077357769,0.20315433591604232,1.073722848892233,0.13633708998560906,0.5150290247782894
