trajectory_length,unguided_p25,unguided_median,unguided_p95,unguided_p99,unguided_mean,unguided_std,guided_p25,guided_median,guided_p95,guided_p99,guided_mean,guided_std
50,3.3457530736923218,5.940568208694458,17.054570579528786,71.18567207336424,10.296518257439136,71.41736803726363,2.522493600845337,2.904125928878784,4.417715501785278,5.459318857192993,3.0259791660308837,0.7545140919194583
100,0.3517931178212166,0.7714152634143829,5.632789468765258,15.877839508056613,6.706623862087727,156.3555219369889,2.1480196118354797,2.3834608793258667,3.260049486160278,3.852101578712463,3.15353696501255,22.47492163041388
150,0.3229187950491905,0.6415099203586578,4.546783304214472,10.043045768737793,3.504657315313816,51.049734568816774,2.059627652168274,2.250350594520569,2.8245006918907163,3.15722269296646,2.309786311030388,1.0149506731492115
200,0.2494662180542946,0.5349775552749634,3.4282271862030003,8.687780618667595,6.227534667082131,116.5155609627313,2.009454131126404,2.19069766998291,2.790524935722351,3.2810040068626405,3.0215829416513444,20.131886778388193
250,0.369587205350399,1.1311639547348022,6.743254184722897,17.34696231842041,15.317637528799475,221.99763959885257,2.0558441877365112,2.266241669654846,3.0124511480331417,3.511362049579619,4.525452053308487,44.08254799083299
300,0.2184499129652977,0.4390607625246048,2.7903691172599787,8.686085214614867,19.18990997312963,345.03227382794256,1.9680291414260864,2.1210750341415405,2.7495457887649537,3.1603430581092833,6.452749526262283,100.34229970577498
350,0.22740699350833893,0.4495261162519455,3.0764821052551263,8.133073844909664,12.115704115539788,202.86460310010722,1.9505099952220917,2.1073851585388184,2.6666706085205076,3.4033394360542295,4.802989423632622,62.55770471523925
400,0.21598093211650848,0.4730956554412842,3.0482061147689814,8.615251731872547,32.8177493025884,536.501795727443,1.933407485485077,2.0769312381744385,2.618292701244354,3.0387013769149775,13.538221122860909,230.5366231764774
450,0.31733323633670807,0.7115269899368286,3.9970231413841226,180.8859826660155,36.7033527199924,529.6438632545144,1.9669317603111267,2.088424324989319,2.49107768535614,3.1405897855758664,14.261367619991303,219.74984706399195
500,0.2356383316218853,0.5243850350379944,3.6674013376235943,428.56359954833925,35.66221501845867,496.4639776105307,1.9444138407707214,2.0802297592163086,2.6847608089447017,3.211773581504819,14.765213133454322,244.58351930717365
550,0.25585630536079407,0.532915472984314,3.6258087277412407,1171.1703857421871,36.049306091710925,385.9279516523901,1.9522841274738312,2.0768747329711914,2.5359859228134156,9.823569679259432,13.273100439667703,146.6036079991807
600,0.2546227350831032,0.49860188364982605,3.2927205562591544,362.47130279540755,33.580281402900816,382.3660704988745,1.9489112198352814,2.06882107257843,2.5697659134864805,4.832664275168041,13.270661531567573,152.26161067201394
650,0.23490995168685913,0.5664151012897491,4.0925947427749625,899.1159606933568,36.88437365098297,425.5563963898152,1.9557539820671082,2.0937615633010864,2.664987003803253,19.25860681533677,14.899211217045783,204.0819726569069
700,0.28563396632671356,0.586270809173584,4.033382081985473,387.9529275512695,26.47205982146412,312.8625195377459,1.9817463755607605,2.100823163986206,2.6620730161666866,4.348180742263766,11.33146519780159,138.15707483382923
750,0.28078483045101166,0.61224764585495,4.333332896232605,36.096148490905485,18.64625105831027,216.00484919528745,1.9973465204238892,2.137836217880249,2.8104485273361206,3.3755939865112303,6.177331804037094,56.74017454397529
800,0.29194990545511246,0.6094206273555756,3.7722560763359065,31.646860656738134,20.671264348916708,234.25589389925966,1.9993088841438293,2.1257094144821167,2.7626049399375914,3.808305940628047,6.839591737985611,61.346485813335555
850,0.32667752355337143,0.6778177320957184,4.763273119926451,223.0327851867675,23.399332996986807,250.85815301666193,2.0301188826560974,2.1563925743103027,2.8342181801795956,5.191102447509764,7.078729353666305,59.12407697770034
900,0.3437618017196655,0.685637891292572,6.441549682617187,465.53351196289015,22.01430355811119,224.84519604163074,2.0570499300956726,2.2017664909362793,2.933497440814972,18.004288730621216,6.513997802495957,53.09874254299247
950,0.36937689781188965,0.8148127794265747,6.3836534976959225,430.7166775512695,21.858276999987662,215.49291151937737,2.1096978783607483,2.258285641670227,3.083368945121765,8.192220716476406,6.404448322057724,49.29841443700388
1000,0.4158308729529381,0.8696661591529846,5.9372932910919145,1019.82059387207,25.752490726575257,227.57427498511686,2.109493672847748,2.279299736022949,3.047488260269163,137.69029571533196,7.011792767047882,49.24209635246324
