context_fraction,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_nmse_q_mean,unguided_nmse_q_std,unguided_nmse_p_mean,unguided_nmse_p_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_nmse_q_mean,guided_nmse_q_std,guided_nmse_p_mean,guided_nmse_p_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
0.0,0.795819559443876,4.587562276568722,3.1558463142145987,5.647554592680633,2.703410039176366,15.584012439313897,0.5868134655430428,1.0501338634417077,0.0809879736058091,0.7830156528094054,0.6502888149941899,1.9013550009556588,0.2751172653402666,2.6599149914289937,0.12091787594719684,0.3535472283022319,3.951665873658475,8.96907554433744,414000.47,6133824.0,0.731276788599999,2.2703897444234484,5864.0645,182667.78
0.01,0.05902924950085794,0.30234170166659885,0.5170396516959304,1.1920966744986234,0.21527870646778782,0.7289097923253156,0.10218949839926611,0.22912526492205734,0.00783535137062247,0.020129314636693384,0.15316793509083865,0.29047106711197157,0.06517389594252773,0.21581402338099206,0.032972622371947605,0.06300375560612655,,,,,,,,
0.02,0.03869539335617199,0.1688598015922031,0.5200007174247999,1.9350096326223898,0.3072751581998684,1.772211925702868,0.13879021973102915,0.6280923739399116,0.021205017844953523,0.0977185742692445,0.2554707687656913,0.8848246799134034,0.08077933016918512,0.24273500742602938,0.0426804795881134,0.07450169034878991,,,,,,,,
0.03,0.027308986890404636,0.09068129339121271,0.3446964959715778,0.6698416612590092,0.16036351057087286,0.5069179518891085,0.09535898541821788,0.26852534193884375,0.011159592900439129,0.034297873127311286,0.21178090887355647,0.48594443666310533,0.08156932298680707,0.28635802851365366,0.03607983766871723,0.061725576410762185,,,,,,,,
0.04,0.037543909619484644,0.10921499636975586,0.6827814696549832,1.2899804150875378,0.2182741681512497,0.5558634804992761,0.12364036520536084,0.20277034060869453,0.008945567390073935,0.01384834198109392,0.16952953678128452,0.2535677900090269,0.06223262961227533,0.15212173558053635,0.042965411358994975,0.07419117237513076,,,,,,,,
0.05,0.0372104071310691,0.1686542627551503,0.5278862740228816,1.817236759708625,0.1062799578933126,0.48170846078109164,0.08053401343121118,0.27723655040085676,0.0100913629176445,0.0337975349479089,0.1886365065269345,0.5557375115853561,0.02882284040041835,0.09653214968890657,0.028778272324615144,0.08478298153344858,0.5650966811539506,1.9276351451121407,0.50331646,3.3188374,0.198727869444579,0.5776012337003006,0.18641202,0.8496834
0.1,0.0376103005945908,0.1672424657655701,0.5364408890004981,1.8528718458178768,0.10749645641134738,0.47800661380197784,0.0818444707417648,0.28269156710971777,0.0099776845053684,0.0318582694017561,0.1891769708584591,0.5650161939733568,0.028517871714956972,0.09105620040110443,0.028862619114081875,0.08620418820503589,0.574051189595089,1.9635860774457927,0.52715516,3.5092967,0.1991546553638276,0.5856342791209121,0.18693633,0.84973204
0.15,0.0366880424074457,0.1625983813338718,0.5286762583832075,1.8406620155493243,0.10519882419100182,0.46623252180421665,0.08085587769202987,0.2815113038303757,0.010013541978197,0.0316407349475676,0.1903793768530689,0.569735469610909,0.028712702367564222,0.09072623924866949,0.02911666897430237,0.08713548361061428,0.5653643007906533,1.9485656571471075,0.5289002,3.5436664,0.200392918831266,0.5900468859316742,0.18963958,0.8752972
0.2,0.0372502436333843,0.1634753763447093,0.5340964978878668,1.8591092761573695,0.10667072160810052,0.46813214247591345,0.0817689198037817,0.2846252651154708,0.0098722894324972,0.0309362741541562,0.1870948661996599,0.5556615257016935,0.028270532887057675,0.08858988199831157,0.028643784728937086,0.08507047492883577,0.571346741521251,1.9672437578431312,0.5790311,4.1229067,0.196967155632157,0.5756405973233221,0.18915136,0.8770779
0.25,0.0579022901137526,0.1824885472907395,0.9911356190159374,2.620667684177831,0.16551946941397194,0.5216617073754657,0.1517676807860193,0.40128984258827444,0.012018427469156,0.0337119062742069,0.2357136597274813,0.6492975838646272,0.034355873212906375,0.09636884531644725,0.036093663450359276,0.09942371815972016,1.0490379091296902,2.7431601037436217,0.8725161,5.516812,0.2477320871966374,0.6713181121992488,0.20759606,0.8956889
