trajectory_length,hnn_nmse_q_mean,hnn_nmse_q_std,hnn_nmse_p_mean,hnn_nmse_p_std
50,0.0009699312667669143,0.0035868451859807824,0.005912526862820672,0.020610808951968915
100,7.350982223376411e-05,0.00030146481181949806,0.022755063830982563,0.03799695505084007
150,0.00028079284542634664,0.0007780029382497438,0.026416244893337475,0.03618996187315116
200,0.0015578271066606446,0.007552152564232085,0.04228841064421977,0.04913418069530517
250,0.0033170459578581884,0.019232509761187833,0.060212875355728904,0.06118053232279883
300,0.0029082383931634246,0.0070718414186072935,0.06403020713431933,0.05389785828702265
350,0.0068228778274900155,0.03240778707075647,0.07738916648173459,0.06221631668637914
400,0.007504204860780797,0.018771276788112256,0.08274155786025633,0.06304394923775944
450,0.0099001063500631,0.02465590699428198,0.09154314862396937,0.0645373021583155
500,0.02611742330097426,0.07851184041851053,0.09189111443598975,0.06601944138808459
550,0.023159955759287157,0.08114851822478378,0.11258245007602095,0.07351745826825819
600,0.07036557917662585,0.3646342718048232,0.11400301178727876,0.07638500702831685
650,0.037364869417225194,0.12094022407540007,0.13854783507681293,0.10783482903206801
700,0.047471608439654825,0.11341723083958447,0.13260551611154173,0.08119379333482099
750,0.04741007879017659,0.0758844135040227,0.15517501722821472,0.11012429023059724
800,0.08101992609993673,0.1530479363691781,0.19599268720738994,0.19270911356444068
850,0.10798484526843831,0.20728193758239263,0.19615662679708135,0.18350997812827385
900,0.09183924316078544,0.15214353376197012,0.20728064382091632,0.16228639061894307
950,0.140626858174587,0.280082960216852,0.2951606269493968,0.6539299967790861
1000,0.18217064116616286,0.3503904751202413,0.26587556580546096,0.21880301678947298
