system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ung_nrmse_q_mean,ung_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ung_nrmse_p_mean,ung_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std,ung_hamres_mean,ung_hamres_std
2dof,spline,300,100,0.64,0.6808537965642162,0.4363642602450969,0.81,0.3942772444036625,0.04628984898021748,0.05353014358355391,0.7422644771839356,0.34862417329568335,0.76,0.42923469599092784,0.37134065398594224,0.22915609923483582,0.045200165785792015,0.044720603036501244,1.0,0.0,2.3883837807178496,2.054928176545817
2dof,spline,350,100,0.66,0.6761594013962818,0.4161731010516065,0.82,0.38612291966536916,0.04494129620220698,0.05244601137791834,0.7292372001965977,0.29851138342200206,0.8,0.4020151261036849,0.3756830321008149,0.21168278573563665,0.04870062026338967,0.053482529611887306,1.0,0.0,2.8099119383096696,2.438380575108695
2dof,spline,400,100,0.63,0.7068605475944671,0.536344108296828,0.83,0.3775251680686368,0.049573161617392086,0.08896967266787298,0.8398386817196811,0.2679278880726843,0.71,0.4560480215720687,0.3467596930562881,0.1947731618723348,0.06821783382242383,0.07159887904457486,1.0,0.0,2.8156001269817352,2.4099956454397113
2dof,spline,450,100,0.68,0.6536946197562773,0.3438340622089815,0.88,0.3265986323710904,0.07649438630190465,0.10964201117607689,0.8613311497886191,0.2952243828014972,0.72,0.45126085985421277,0.3442467226304889,0.17077989670065802,0.06420626218282158,0.07060482468703855,1.0,0.0,3.64786714553833,3.0614186616495
2dof,spline,500,100,0.54,0.7444686238672368,0.41787256917912535,0.75,0.4351941398892446,0.07378654555742106,0.1382918772765954,0.8971649040774029,0.3055948186928998,0.65,0.4793724854411023,0.3837635829454392,0.2052451169790833,0.07910833139592344,0.0775170646353203,1.0,0.0,3.2487187618017197,3.015766428817742
2dof,spline,550,100,0.53,0.8218147439018781,0.48402330364903445,0.74,0.44084400227680803,0.05123886383510454,0.08278233486284928,0.9240609508628793,0.2841543718828375,0.66,0.47609522856952335,0.34314090512524714,0.184273498858399,0.07844751409513052,0.0752001439891284,1.0,0.0,3.4751457494497298,3.213119105576609
2dof,spline,600,100,0.55,0.8686303505104445,0.6237912355201677,0.72,0.451260859854213,0.060367102968506565,0.12243890923023698,0.9204455356951169,0.3049332096633151,0.68,0.4688261722621506,0.3485298657758028,0.18599963450619417,0.08395498452052683,0.08427294735658646,1.0,0.0,3.8331249457597734,3.479395946260696
2dof,spline,650,100,0.47,0.8407459337022152,0.5325822160151298,0.76,0.4292346959909279,0.038945618692756985,0.054552076464064306,0.9296464033809047,0.2536621257883072,0.57,0.497569851956243,0.3407744622510731,0.15863735942119989,0.100808184090456,0.08285659294644718,1.0,0.0,2.8996005702018737,2.784907558605002
2dof,spline,700,100,0.45,0.8949024685827076,0.47548363360562923,0.62,0.4878317312145633,0.050650927639849276,0.0819242426028631,0.947935740341087,0.25314100925946015,0.63,0.4852365870939097,0.351354940352489,0.16918456078730318,0.10324336697494867,0.07725072412471475,1.0,0.0,4.3829937064647675,3.463821558597385
2dof,spline,750,100,0.52,0.8256004013692039,0.4489814468756787,0.75,0.4351941398892446,0.06210316546677502,0.11282164527308539,0.9272180753678539,0.2581088497380312,0.66,0.47609522856952313,0.3398357913169007,0.15718020080823958,0.12203318929804499,0.07919897523956601,1.0,0.0,4.7280526852607725,3.635069935069243
