combo,system,policy,length,num_samples,seed,sample_idx,ung_nmse_q,gui_nmse_q,d_nmse_q,ung_nmse_p,gui_nmse_p,d_nmse_p,ung_hamres,gui_hamres,d_hamres
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,0,3.021762887448879,1.054155901363367,-1.967606986085512,0.5164168853382813,0.09285725935847293,-0.4235596259798084,0.2570208013057709,0.011264045722782612,-0.24575675558298826
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,1,6.737636972146756,35.42871728392987,28.691080311783114,1.2370670925863252,0.8417635080167488,-0.39530358456957637,0.10962947458028793,0.05635305494070053,-0.0532764196395874
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,2,70.12174549202204,1.7180647852419835,-68.40368070678007,8.56894134180074,0.42602248349601773,-8.142918858304721,0.2783687710762024,0.06634100526571274,-0.21202776581048965
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,3,9.612202414500882,12.951532145201162,3.33932973070028,0.8811720315496596,0.24219730689243568,-0.6389747246572239,0.19029974937438965,0.08486394584178925,-0.1054358035326004
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,4,6.550942196834751,2.785877505176893,-3.7650646916578583,1.547686670743822,0.15206698009568176,-1.3956196906481402,0.14680616557598114,0.042561452835798264,-0.10424471274018288
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,5,11.104334928683562,0.7058419196320437,-10.398493009051519,0.44287734772545745,0.05798815883493088,-0.3848891888905266,0.24631370604038239,0.025422217324376106,-0.22089148871600628
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,6,3.3348846972595365,1.058243712391429,-2.2766409848681075,4.606977520871021,0.5628979781618967,-4.044079542709124,0.2603747844696045,0.019217928871512413,-0.24115685559809208
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,7,22.181197998964876,2.7673632307404987,-19.413834768224376,2995.327729800784,4.982187100885774,-2990.345542699898,0.13649038970470428,0.014658967964351177,-0.12183142174035311
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,8,4.052680289750181,1.892655687790741,-2.1600246019594396,0.07196561373424158,0.009670718475552582,-0.062294895258689004,0.1108170747756958,0.004987001419067383,-0.10583007335662842
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,9,3.5939037263814413,5.920115051761678,2.3262113253802363,0.10495163580076337,0.04595863643875157,-0.05899299936201181,0.4650937020778656,0.022227169945836067,-0.44286653213202953
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,10,19.857703996237433,1.8905176283840246,-17.967186367853408,0.510039199280326,0.03065920938615722,-0.4793799898941688,0.5057530999183655,0.028097908943891525,-0.47765519097447395
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,11,27.189896769972137,24.958238097943326,-2.2316586720288107,73.28398365213346,9.864167562259013,-63.419816089874445,0.4992346167564392,0.06963933259248734,-0.4295952841639519
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,12,9.68397326913739,192.67574181714448,182.9917685480071,0.20541662628659893,0.018494151197081695,-0.18692247508951723,0.35087794065475464,0.03502523899078369,-0.31585270166397095
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,13,3.717978325671661,2.067133475727292,-1.6508448499443693,1.9861873262061718,0.3512122636495641,-1.6349750625566077,0.3848865032196045,0.010753552429378033,-0.37413295079022646
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,14,13.38606866946941,0.7559848657335314,-12.630083803735879,0.49049621377543057,0.014295856457321841,-0.4762003573181087,0.3354648947715759,0.00715084932744503,-0.3283140454441309
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,15,7.284433006716811,9.09163061208845,1.8071976053716385,29.04562016363438,5.324265430633662,-23.721354733000716,0.029993971809744835,0.016093850135803223,-0.013900121673941612
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,16,1.2581055089868745,0.050886664702148456,-1.207218844284726,0.6472754732505492,0.007358481870221823,-0.6399169913803274,0.11854533851146698,0.0033996107522398233,-0.11514572775922716
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,17,12.205582482007449,1.7642618823673848,-10.441320599640065,1.0159942318752526,0.06465032966342882,-0.9513439022118237,0.9305087327957153,0.5707103610038757,-0.3597983717918396
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,18,12.152117620348085,2.4195162693281884,-9.732601351019897,0.5358782792416448,0.17648545741441804,-0.35939282182722676,0.1404072493314743,0.006060282699763775,-0.13434696663171053
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,19,5.367020498779056,2.780805540732567,-2.5862149580464893,0.4119264223302836,0.062186563542831176,-0.3497398587874524,0.6925630569458008,0.008159518241882324,-0.6844035387039185
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,20,0.8810562127191708,1.1539360754655363,0.27287986274636555,1.376707675699911,0.1461821137867977,-1.2305255619131132,0.2154628187417984,0.060400962829589844,-0.15506185591220856
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,21,4.83666882552829,23.25568529969942,18.41901647417113,82.43154630046946,20.490998722514092,-61.94054757795537,0.1924733817577362,0.015059233643114567,-0.17741414811462164
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,22,1.3847910948137214,0.7720396707281378,-0.6127514240855836,0.8250320972883411,0.032596192663528804,-0.7924359046248124,0.29720956087112427,0.006313761230558157,-0.2908957996405661
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,23,6.332830433371426,3.4211823244001867,-2.9116481089712396,0.6502099921760202,0.08262722919737032,-0.5675827629786498,0.40860074758529663,0.022487005218863487,-0.38611374236643314
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,24,3.0507483254014267,1.5143452507115998,-1.536403074689827,0.02983296113675844,0.029383419628108698,-0.0004495415086497416,0.17300790548324585,0.034462373703718185,-0.13854553177952766
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,25,90.58174415389448,5.2445482109700325,-85.33719594292444,0.3266261192967474,0.01473537746645972,-0.3118907418302877,0.67341148853302,0.027005713433027267,-0.6464057750999928
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,26,28.136690392076122,1.8952336231899138,-26.24145676888621,0.08186866018280184,0.006563616491773348,-0.07530504369102849,0.6526080965995789,0.013310831040143967,-0.6392972655594349
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,27,12.854011694493103,3.6007644022046286,-9.253247292288474,0.38635173552368274,0.3480606983430561,-0.03829103718062665,0.19498538970947266,0.08622579276561737,-0.10875959694385529
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,28,16.346502469406545,0.7230345280875604,-15.623467941318985,0.359284252125689,0.03184458720156819,-0.3274396649241208,0.240256667137146,0.007901271805167198,-0.2323553953319788
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,29,21.329831233226077,0.8121468800977593,-20.517684353128317,0.7154756171366272,0.2500607751058146,-0.4654148420308126,0.2883133292198181,0.008507569320499897,-0.2798057598993182
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,30,3.9533670058136194,1.3037443540020377,-2.6496226518115815,2.266985204907031,1.2318475982386856,-1.0351376066683453,0.3972446322441101,0.09500646591186523,-0.3022381663322449
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,31,4.5034934835095735,2.0868070857575405,-2.416686397752033,86.16069076789908,0.18910091416483424,-85.97158985373424,0.2192719429731369,0.023495754227042198,-0.1957761887460947
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,32,1.7917585577926243,0.5577351600680909,-1.2340233977245334,0.40699116335423585,0.03733316168168609,-0.36965800167254975,0.3945002257823944,0.006388664245605469,-0.38811156153678894
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,33,125.88396299103698,0.9668816883592802,-124.9170813026777,0.48241742176213326,0.016611956169822632,-0.4658054655923106,0.3390730619430542,0.05178888887166977,-0.28728417307138443
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,34,3.277296682813446,0.333600934799279,-2.943695748014167,0.0257701602647355,0.008569804466435252,-0.01720035579830025,0.29159605503082275,0.008435487747192383,-0.28316056728363037
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,35,11.350759644166855,2.658993674904438,-8.691765969262416,0.4107596973837841,0.052326705686200514,-0.3584329916975836,0.16203777492046356,0.014176289550960064,-0.1478614853695035
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,36,14.875055593125644,2.6617956118440085,-12.213259981281636,5.154426492366202,1.575803948020052,-3.5786225443461497,3.7588396072387695,3.170964479446411,-0.5878751277923584
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,37,291.9890481592181,91.1271380681031,-200.86191009111502,0.31657395173234815,0.03409823235177168,-0.2824757193805765,0.3534048795700073,0.006474455818533897,-0.3469304237514734
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,38,167.8928635892462,54.72867429842824,-113.16418929081794,2.7402552351178673,1.1425871104347587,-1.5976681246831086,0.20749470591545105,0.01877804659307003,-0.18871665932238102
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,39,5.412515512370884,0.1788619334768364,-5.233653578894048,1.2693821924816582,0.11665793537871479,-1.1527242571029435,0.24319462478160858,0.003471692558377981,-0.2397229322232306
3dof_sinusoidal_L50_N100_seed10,3dof,sinusoidal,50,100,10,40,71.21137911022477,1.9143842550097034,-69.29699485521506,1.7388698237142108,0.06936834096191014,-1.6695014827523007,0.2671394646167755,0.10225701332092285,-0.16488245129585266
