combo,system,policy,length,seed,sample_idx,ung_nrmse_q,gui_nrmse_q,d_nrmse_q,ung_nrmse_p,gui_nrmse_p,d_nrmse_p
3dof_gp_L50_N100_seed10,3dof,gp,50,10,0,1.7817795640242544,0.3671015100562083,-1.4146780539680461,0.33699280866764086,0.15861673975909887,-0.178376068908542
3dof_gp_L50_N100_seed10,3dof,gp,50,10,1,0.65220125203883,0.5207831220747691,-0.13141812996406088,0.10312853030995488,0.0767197687587215,-0.02640876155123338
3dof_gp_L50_N100_seed10,3dof,gp,50,10,2,1.5085384715183228,0.42895066530080883,-1.079587806217514,0.6075150728474412,0.14736407782307226,-0.46015099502436896
3dof_gp_L50_N100_seed10,3dof,gp,50,10,3,0.5974761589714807,1.7833769263039396,1.185900767332459,0.46365581941989814,0.11759190378291512,-0.346063915636983
3dof_gp_L50_N100_seed10,3dof,gp,50,10,4,0.8701958563882358,0.3280307871860451,-0.5421650692021907,0.19945676390140735,0.0716613651128588,-0.12779539878854856
3dof_gp_L50_N100_seed10,3dof,gp,50,10,5,0.7206344648173633,0.26872430929806795,-0.4519101555192953,0.17624688931084997,0.07133986606973357,-0.1049070232411164
3dof_gp_L50_N100_seed10,3dof,gp,50,10,6,0.5980645894868674,0.2438135118941864,-0.35425107759268093,0.21579310319702447,0.0770485071912088,-0.13874459600581568
3dof_gp_L50_N100_seed10,3dof,gp,50,10,7,0.8757885395400247,0.9298140058991823,0.054025466359157615,0.1349652096513689,0.07889083041596627,-0.056074379235402635
3dof_gp_L50_N100_seed10,3dof,gp,50,10,8,0.4504527558613712,0.16395397241581708,-0.28649878344555413,0.1158322036863782,0.03587198322220162,-0.07996022046417658
3dof_gp_L50_N100_seed10,3dof,gp,50,10,9,0.6783186600956438,0.2633387058765246,-0.4149799542191192,0.06142935577411154,0.01699904797097816,-0.04443030780313338
3dof_gp_L50_N100_seed10,3dof,gp,50,10,10,0.5756300374597023,0.5308434541912368,-0.04478658326846552,0.10455417531575754,0.043659261082863166,-0.06089491423289438
3dof_gp_L50_N100_seed10,3dof,gp,50,10,11,1.2270409635446657,0.34375333731559404,-0.8832876262290716,0.6544474365505802,0.26428348853502426,-0.390163948015556
3dof_gp_L50_N100_seed10,3dof,gp,50,10,12,3.10869455824785,1.0149584400901526,-2.0937361181576977,0.06979993602554892,0.02944720171737818,-0.04035273430817074
3dof_gp_L50_N100_seed10,3dof,gp,50,10,13,0.27583012247418276,0.06550269258113506,-0.2103274298930477,0.238159514574668,0.10484718139172892,-0.13331233318293906
3dof_gp_L50_N100_seed10,3dof,gp,50,10,14,0.4285271139020261,0.22968329158122172,-0.19884382232080436,0.21530192298270756,0.05628253698337341,-0.15901938599933416
