context_fraction,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
0.0,0.7668719402281315,8.736612455691093,5.726737061834937,35.15849942432641,6.493609002063067,43.153379882700904,1275258.4,23925186.0,0.399162047453163,4.134239533674891,4.477293318376946,16.257156548968535,4.876455365830108,20.29806467897816,305339.9,9520828.0
0.05,0.034488245092691425,0.09801671103361069,0.46256478162051906,0.8099371568353552,0.49705302671321056,0.8786121361845941,1.0884707,3.229478,0.034059137693630885,0.09844288384565486,0.4655757764708491,0.8297379342525905,0.4996349141644799,0.8968197771470465,1.069941,3.1129677
0.1,0.022007239505363853,0.08382182850888618,0.2726533900027372,0.6566477472579628,0.294660629508101,0.7210711604758365,0.45937127,2.0500019,0.021171962618520872,0.08287888628256086,0.2682411053296288,0.6541145829553262,0.2894130679481497,0.7169266928450009,0.45238408,1.9142812
0.15,0.014853785831548847,0.05764244336677477,0.2140237169786183,0.5338092873346483,0.22887750281016714,0.5816484070858498,0.24608132,1.0356057,0.01372122580210803,0.04855412957288155,0.20447388245280732,0.47867331747340086,0.21819510825491534,0.5167111827198781,0.24254227,0.94738925
0.2,0.011910957538840208,0.0368566362852607,0.19224957855854793,0.42755769522923703,0.20416053609738813,0.45276107538624655,0.17855401,0.43895164,0.011178777438184856,0.034440184425161086,0.18307749832910417,0.39477639467024267,0.194256275767289,0.41764856371922837,0.17653991,0.3915972
0.25,0.011033472984906546,0.031973433420438686,0.20511587840000378,0.5071343962217486,0.21614935138491032,0.5283270895939091,0.17236911,0.48431918,0.010995262226254396,0.03394352764404978,0.2030399202074993,0.47026923588600594,0.2140351824337537,0.4928630160192687,0.17422302,0.43124044
0.3,0.011059275303917532,0.03212696742013258,0.20536968774741463,0.5074474176811637,0.21642896305133216,0.5286724714960161,0.17189734,0.47753784,0.010868141802606882,0.03306054346608383,0.19899478956596256,0.4419030663794015,0.2098629313685694,0.4638764954680464,0.16996141,0.41759884
0.35,0.011094765088669228,0.03227837646416576,0.20567860643725916,0.5082417562920317,0.21677337152592838,0.5296093058252556,0.17223603,0.47660992,0.010790446626535069,0.03232949607152505,0.20065352064904188,0.45598276951696126,0.21144396727557693,0.4769128661987746,0.17342173,0.4352183
0.4,0.011019064779580319,0.03187058727591519,0.20495987772179075,0.5050626097339073,0.2159789425013711,0.5261054899363758,0.17208023,0.4806,0.01090522962627118,0.032430524577934,0.20153438298005855,0.45923448564651176,0.2124396126063297,0.48083792894065164,0.17476016,0.4406367
0.45,0.011049213774445642,0.03190983743607398,0.20544492224262148,0.5087473573652193,0.21649413601706716,0.5298897313082063,0.17308947,0.4940665,0.010420271445051265,0.031228016347967225,0.19753663255191686,0.4386259387505532,0.2079569039969681,0.4590292742648865,0.170324,0.42389607
0.5,0.011061609158746169,0.03220540197104337,0.20535936192831195,0.5099789100876071,0.2164209710870581,0.5312744076459522,0.17254628,0.48664004,0.010712074581403044,0.031983153986842004,0.1987851433839334,0.4410600830073358,0.20949721796533646,0.46230798800797146,0.16980089,0.4103675
0.55,0.011045794991192487,0.031926055528603656,0.2050738571788054,0.5060034979217014,0.2161196521699979,0.5270335160223456,0.17214482,0.47981942,0.0107074961028851,0.032271777692356986,0.19820849771337096,0.4402624416625476,0.20891599381625606,0.46172475515945105,0.17051065,0.41876101
0.6,0.011078294675455161,0.03214281293451838,0.2055077516009844,0.50909904382035,0.21658604627643957,0.5303041909371083,0.17313859,0.49467218,0.010810045183549872,0.031975703454700896,0.20077076984352257,0.4587092823297379,0.21158081502707243,0.4797351381792161,0.1731155,0.43989345
0.65,0.011035698958818084,0.03190105270604143,0.2050994934050592,0.506191761994556,0.2161351923638773,0.5272855691628445,0.17197214,0.47942263,0.010852845651478744,0.03297275486196135,0.20109668790490587,0.45453781432183793,0.21194953355638466,0.4765449638302524,0.17200577,0.41870105
0.7,0.011041259010066027,0.03188459893454237,0.20525355668875472,0.5068307421696711,0.21629481569882072,0.5279530617822226,0.17205288,0.4801906,0.0109116225886386,0.03267545209523563,0.2014423036545128,0.4654258624525774,0.21235392624315136,0.48710986757457825,0.17329887,0.45373863
0.75,0.01103752782913215,0.031974884668515134,0.20523198131085738,0.5084224040865096,0.21626950913998952,0.5295707207251559,0.17204614,0.48029062,0.010715744206944034,0.031032559546751243,0.19922138393600106,0.4376106039133984,0.20993712814294505,0.4571822176920286,0.17198032,0.43306786
0.8,0.011057220590434283,0.03206911096237228,0.20537164461138002,0.5068881047055709,0.21642886520181429,0.5281092485125188,0.17259537,0.48569533,0.011023959257950825,0.03409359188653424,0.2033832815086893,0.48769092123757857,0.2144072407666401,0.5104268840547791,0.17518137,0.46441624
0.85,0.011050494760784813,0.031979753332563095,0.20519040096577823,0.5071214713470704,0.21624089572656305,0.5283181810439114,0.17232843,0.48163724,0.010915308302648346,0.033537894975283505,0.20202988230659832,0.4801990279119512,0.21294519060924666,0.502115287847116,0.1758935,0.46116143
0.9,0.011034655547878082,0.031910358282945216,0.20512139216283704,0.5077698859748504,0.21615604771071514,0.528813486426453,0.1733887,0.50008345,0.01104459706189855,0.03286702174825892,0.20341701920382052,0.4861697510995117,0.21446161626571908,0.508388338956076,0.17468254,0.4625457
0.95,0.01106875205071616,0.03227938605052199,0.2053875876433297,0.5074738307894548,0.21645633969404587,0.5288014585727724,0.17194518,0.47896782,0.010900346156795429,0.03214831539497682,0.19918825993859626,0.4272289806958962,0.2100886060953917,0.4466724773561964,0.1731885,0.4314364
