context_fraction,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
0.0,0.831871931006129,0.3613675706399257,0.82793638330335,0.5627441754589599,0.8299041571547394,0.36828275805990773,0.7635808,1.4058644,0.9177279273167056,0.4476171770715906,0.9127899165569032,0.5494701952258523,0.9152589219368045,0.3956203026414245,0.93573153,1.5139905
0.05,0.3733781525359852,0.4065689434410431,0.2913282044447888,0.24855589027347233,0.3323531784903871,0.2832841511660919,0.12391455,0.25240666,0.38438427884738013,0.44903963356814386,0.2847195029456179,0.2578414123245247,0.334551890896499,0.310309515933095,0.09113919,0.12525658
0.1,0.2497691753103334,0.2948521099575127,0.19043731947401984,0.2061294347209204,0.22010324739217665,0.21849900974984174,0.0687217,0.12415936,0.24296972078050286,0.2817473775447973,0.19117799114151368,0.20127918689265087,0.21707385596100828,0.21512917882110277,0.067034684,0.106769055
0.15,0.2022999757552951,0.22840622723819995,0.15026462235473892,0.1257203872151326,0.17628229905501702,0.1579946506667027,0.061614025,0.106973335,0.20081934447659328,0.22256302956165389,0.1515262373690707,0.17580238333346324,0.17617279092283197,0.1619193147557399,0.05280106,0.1002594
0.2,0.18904148716334734,0.22420743631046322,0.1569992015960407,0.14175479836738594,0.17302034437969405,0.16578803478455983,0.054904755,0.09438754,0.21059661877585753,0.24497069210175623,0.16961019818941467,0.18734217283450236,0.1901034084826361,0.19674250822251527,0.0537142,0.089912556
0.25,0.2022979921629244,0.2549006127011863,0.1666416015093439,0.19152272172480672,0.18446979683613413,0.18404258026161385,0.05020826,0.059049133,0.22524866355529014,0.38082279981487444,0.1600321183067582,0.16521476475252128,0.19264039093102414,0.23950121565894775,0.05011855,0.06964809
0.3,0.1997357437790582,0.25591965102971775,0.15478035073530805,0.17516687500992956,0.1772580472571831,0.17707733213896795,0.06464536,0.12659268,0.19376540145067925,0.2664039580667322,0.164890544656337,0.16676013913297455,0.17932797305350812,0.2024079208033751,0.039454125,0.043044318
0.35,0.17847410227017818,0.19072969394400788,0.16054282094417519,0.15936628282056164,0.1695084616071767,0.1513610425995057,0.04982461,0.08481353,0.15945467785666712,0.13972776378703078,0.1402738191483485,0.12714336783797545,0.14986424850250782,0.12154314576769812,0.05079808,0.11874366
0.4,0.1951051215473953,0.20775107995424938,0.1673508858265961,0.18083939505989582,0.1812280036869957,0.17348385164499275,0.049990807,0.13129953,0.17619398149246168,0.19276348766965934,0.15519765753421721,0.1493814240554546,0.16569581951333945,0.15566545431468834,0.04810016,0.083212145
0.45,0.18345829252365678,0.2128609526127534,0.1576880396189231,0.18657198224614788,0.17057316607128997,0.17214076844663104,0.0512072,0.10443506,0.21233397122481024,0.28640294817921713,0.17678501332971422,0.2007732924722655,0.1945594922772622,0.22212623217685074,0.056671154,0.12566862
