trajectory_length,baseline_mse_qpos,baseline_mse_mom,baseline_mse_total,guided_mse_qpos,guided_mse_mom,guided_mse_total,mse_improvement_pct,training_energy_mean,training_energy_std,baseline_energy_mean,baseline_energy_std,guided_energy_mean,guided_energy_std
100,0.0005461182714461271,0.0018695735720158254,0.0024156918434619524,0.00017941877385748743,0.00030618205518509126,0.0004856008290425787,79.89806397049968,0.3711277905106545,16.235572352511383,1.6423169374465942,14.727926254272461,1.6451256275177002,14.727984428405762
200,0.0012117830734914875,0.003121650077703892,0.004333433151195379,0.0002979619920351578,0.0006470450406661867,0.0009450070327013445,78.19264772918756,2.0151203517615794,15.298956343706024,2.2468414306640625,15.193055152893066,2.247999668121338,15.192564010620117
300,0.00270023953880609,0.007391410924103905,0.010091650462909996,0.0005435356332602728,0.0015372581162668242,0.002080793749527097,79.38103626186151,2.3836000292003154,14.436426047889459,2.442570924758911,15.179407119750977,2.442842721939087,15.17847728729248
400,0.005230691949262924,0.016894812360020786,0.02212550430928371,0.0014540144192397963,0.004836504799887856,0.006290519219127652,71.5689227635449,3.7034079568088054,14.605753835867826,3.061099052429199,15.015782356262207,3.063124656677246,15.014263153076172
500,0.004770960381053112,0.022811475327871825,0.027582435708924935,0.0013397291926335157,0.006912264722445762,0.008251993915079277,70.08243216022741,4.809984642565251,15.657791741292428,2.540031909942627,14.621692657470703,2.5417640209198,14.619457244873047
600,0.009294780291371044,0.05266062657365859,0.061955406865029636,0.002077950860419043,0.013743019414106076,0.015820970274525118,74.46393934755166,0.7131490825116634,14.624736991718343,3.0884783267974854,14.213112831115723,3.091470718383789,14.210493087768555
700,0.01617579545953187,0.11429491964609363,0.1304707151056255,0.003356377943108085,0.026779641399606705,0.03013601934271479,76.9020815756873,1.3357804533839226,15.44552196640282,4.011730194091797,14.404862403869629,4.015946865081787,14.40371322631836
800,0.021616891888109443,0.17873061176377464,0.20034750365188408,0.004749064983422586,0.05224934557601366,0.05699841055943625,71.5502267208308,3.4136487305909395,13.924742449013234,3.1615874767303467,13.693219184875488,3.166130542755127,13.6927490234375
900,0.03157942882831193,0.3418494533770056,0.37342888220531756,0.007393525478987392,0.11148788521055283,0.11888141068954022,68.16491269034269,5.436324157118797,15.199071583922418,4.407618999481201,14.198946952819824,4.411505222320557,14.1978178024292
1000,0.05650832929111359,0.9056425051131232,0.9621508344042368,0.01171672171125022,0.22452577738454704,0.23624249909579725,75.44641747963784,6.475785033721476,14.669323785020438,5.1329026222229,14.095721244812012,5.1367950439453125,14.094147682189941
