combo,system,policy,length,seed,sample_idx,ung_nrmse_q,gui_nrmse_q,d_nrmse_q,ung_nrmse_p,gui_nrmse_p,d_nrmse_p
2dof_gp_L50_N100_seed10,2dof,gp,50,10,0,0.2543370751250107,0.06055728449725689,-0.1937797906277538,0.9470712792575762,0.20618532971989753,-0.7408859495376786
2dof_gp_L50_N100_seed10,2dof,gp,50,10,1,0.4581357035472908,0.02227734635114634,-0.4358583571961444,4.795991679535103,0.7331514559176061,-4.0628402236174965
2dof_gp_L50_N100_seed10,2dof,gp,50,10,2,0.11459748325374713,0.010967275556806221,-0.10363020769694091,1.6003109251152696,0.1800526832637235,-1.4202582418515461
2dof_gp_L50_N100_seed10,2dof,gp,50,10,3,0.13983814401332278,0.011819759646005781,-0.128018384367317,2.2755810356307964,0.7651780852565795,-1.510402950374217
2dof_gp_L50_N100_seed10,2dof,gp,50,10,4,0.1600850490728462,0.06603871912974067,-0.09404632994310554,0.738837740345272,0.22914639024415068,-0.5096913501011213
2dof_gp_L50_N100_seed10,2dof,gp,50,10,5,0.30499523982072685,0.061114456574055336,-0.2438807832466715,0.9576432791772467,0.23098942866315456,-0.7266538505140921
2dof_gp_L50_N100_seed10,2dof,gp,50,10,6,0.23158031104101762,0.06247671246611457,-0.16910359857490304,0.6198677493660417,0.5332709847832982,-0.08659676458274357
2dof_gp_L50_N100_seed10,2dof,gp,50,10,7,0.072880190047155,0.006566498963379876,-0.06631369108377512,1.2405594130914632,0.35830324222538296,-0.8822561708660803
2dof_gp_L50_N100_seed10,2dof,gp,50,10,8,0.10764501912132861,0.021468529089215923,-0.08617649003211268,0.5417141253473071,0.05436450310402511,-0.487349622243282
2dof_gp_L50_N100_seed10,2dof,gp,50,10,9,0.09402746728130626,0.11800908606213568,0.023981618780829425,1.0904228899220474,0.40663832079049433,-0.683784569131553
2dof_gp_L50_N100_seed10,2dof,gp,50,10,10,0.24229797281720147,0.03954399836539847,-0.202753974451803,2.1370621436821855,0.24677606617429618,-1.8902860775078894
2dof_gp_L50_N100_seed10,2dof,gp,50,10,11,0.2289833385614426,0.029267519788903594,-0.199715818772539,0.5274394007265382,0.2138671728496479,-0.31357222787689026
2dof_gp_L50_N100_seed10,2dof,gp,50,10,12,0.26641312458573335,0.048587774830473995,-0.21782534975525936,2.3397541486879767,0.3886020960708397,-1.951152052617137
2dof_gp_L50_N100_seed10,2dof,gp,50,10,13,0.2334535166560744,0.06729598067204648,-0.1661575359840279,1.9459231598715623,0.8572828429720989,-1.0886403168994634
2dof_gp_L50_N100_seed10,2dof,gp,50,10,14,0.24190207974446776,0.02667297185952871,-0.21522910788493904,0.38028990476340563,0.11147967413237961,-0.26881023063102605
2dof_gp_L50_N100_seed10,2dof,gp,50,10,15,0.360190003568724,0.13622739217754928,-0.2239626113911747,1.298908210018558,0.2046033583374985,-1.0943048516810596
2dof_gp_L50_N100_seed10,2dof,gp,50,10,16,0.31846487665766215,0.04349046349987706,-0.2749744131577851,2.535227523878963,0.39911550960757297,-2.13611201427139
2dof_gp_L50_N100_seed10,2dof,gp,50,10,17,0.428605698473938,0.1158778849665393,-0.3127278135073987,1.142191972146295,0.09617614566874777,-1.0460158264775472
2dof_gp_L50_N100_seed10,2dof,gp,50,10,18,0.11107750200253888,0.017147034600991352,-0.09393046740154753,3.774780076606586,0.42859525373341795,-3.3461848228731683
2dof_gp_L50_N100_seed10,2dof,gp,50,10,19,0.1142938005661001,0.015861927716771786,-0.0984318728493283,7.884907731141601,0.5343704092696872,-7.350537321871913
