combo,system,policy,length,num_samples,seed,ung_nrmse_range_q_mean,ung_nrmse_range_q_std,ung_nrmse_range_q_p25,ung_nrmse_range_q_median,ung_nrmse_range_q_p75,ung_nrmse_range_q_p99,gui_nrmse_range_q_mean,gui_nrmse_range_q_std,gui_nrmse_range_q_p25,gui_nrmse_range_q_median,gui_nrmse_range_q_p75,gui_nrmse_range_q_p99,d_nrmse_range_q_mean,d_nrmse_range_q_std,d_nrmse_range_q_p25,d_nrmse_range_q_median,d_nrmse_range_q_p75,d_nrmse_range_q_p99,ung_nrmse_range_p_mean,ung_nrmse_range_p_std,ung_nrmse_range_p_p25,ung_nrmse_range_p_median,ung_nrmse_range_p_p75,ung_nrmse_range_p_p99,gui_nrmse_range_p_mean,gui_nrmse_range_p_std,gui_nrmse_range_p_p25,gui_nrmse_range_p_median,gui_nrmse_range_p_p75,gui_nrmse_range_p_p99,d_nrmse_range_p_mean,d_nrmse_range_p_std,d_nrmse_range_p_p25,d_nrmse_range_p_median,d_nrmse_range_p_p75,d_nrmse_range_p_p99
2dof_gp_L550_N100_seed10,2dof,gp,550,100,10,0.05622555141055401,0.08870388799802525,0.014052376063932026,0.026205875690778625,0.04516569660799804,0.3769361747277729,0.032272379132212536,0.05018796752007346,0.008270313166271722,0.014080698150397914,0.030024180750006162,0.24501580029650277,-0.023953172278341487,0.0710305367556914,-0.024283592403217227,-0.012836872853338501,-0.001344659511773867,0.0864138735741419,0.32896096535293695,0.19577302607391403,0.19664828938364728,0.2767092765815069,0.398975852252162,0.9587930020326308,0.2681234457213441,0.1871022775456285,0.1279306840798709,0.20686277585099103,0.33209806105189726,0.7751115854250861,-0.06083751963159277,0.11166003805976621,-0.1363174306981023,-0.04522482122075297,0.008305967340183518,0.12340028664979247
2dof_gp_L600_N100_seed10,2dof,gp,600,100,10,0.04628652179122468,0.046980097608186125,0.013749006201097196,0.027124513577723955,0.06331505016469252,0.20647675510258695,0.029458661941303834,0.03525958800757422,0.00835475771408404,0.015377937341961509,0.03229807641931211,0.17433966852686533,-0.016827859849920836,0.02676111048259085,-0.02249713906788494,-0.009683200006811846,-0.0011494162856206288,0.028831771667983758,0.29054234455164296,0.15559577800901253,0.17970793075116098,0.2592619864650754,0.3564822426881635,0.8077039210519683,0.23258750018502228,0.12442391415510337,0.13521338122888119,0.2132248196190709,0.2931595480173915,0.5583170486096832,-0.057954844366620704,0.11254196894719364,-0.10917599225214944,-0.04044829816136557,0.01109938011356812,0.14714299553277904
2dof_gp_L650_N100_seed10,2dof,gp,650,100,10,0.04675519583110937,0.06592935752374597,0.014324785172203171,0.022416767056758317,0.047641408173267175,0.2681000789961039,0.034898843305939634,0.08336262869113746,0.00831804778013983,0.013120763672003908,0.023963881144082815,0.27096605569483506,-0.011856352525169747,0.04187158372943158,-0.022363666339599342,-0.01078334900208536,-0.0012936458438871975,0.16114315967774323,0.3158853008056165,0.1508593279111763,0.20847216694427056,0.3007726958181547,0.4040960136171768,0.8128460367990452,0.26934157264485425,0.13962222541107416,0.15502368363932306,0.2504260851325175,0.3524242539894751,0.631843265264299,-0.04654372816076226,0.10556365324984165,-0.11112776606055773,-0.03503387813588593,0.020972520925480916,0.1386780242746594
2dof_gp_L700_N100_seed10,2dof,gp,700,100,10,0.05240898607298154,0.09005761239348661,0.014759587090866489,0.024249446732152315,0.04601060839721747,0.4031868198698055,0.029034189277019392,0.043727790283050856,0.008219974329042845,0.013407867851852735,0.027347334187298716,0.22669663861403852,-0.02337479679596215,0.07575985345896973,-0.022109746853439805,-0.009593682609700425,-0.0012507808439858527,0.05153812737588508,0.31353215670096385,0.1618166171847212,0.19799677183210657,0.2678773175065451,0.4161787042896868,0.7555141487992465,0.28268942396676083,0.18011649685402256,0.15688465947272534,0.23370730617291968,0.34200831873438053,0.8067243418357821,-0.030842732734202932,0.09802695602108515,-0.08118704625872952,-0.03500170591193512,0.025435623926137012,0.19508120280569646
2dof_gp_L750_N100_seed10,2dof,gp,750,100,10,0.06871836159740752,0.12568950463467432,0.015282074489872977,0.02917769859262667,0.0506286728962512,0.690838906618618,0.041386183904334836,0.06884738793267874,0.008641091139401525,0.015629995125191427,0.03696852441828835,0.30704219655140136,-0.02733217769307267,0.07271775260848123,-0.02219294688778597,-0.011876735127774925,-0.0029885876460878282,0.02550366243167658,0.3231619498376553,0.1888834579693403,0.2089380575244864,0.2789780124981899,0.380276020483708,0.7438706672001352,0.27788121626975953,0.15715653893190243,0.14619000718207315,0.25782600078033713,0.3508908792440458,0.6737684955699648,-0.04528073356789578,0.11674222158228156,-0.09070300930934007,-0.024232021674833057,0.022418434517079783,0.21200183571571365
2dof_gp_L800_N100_seed10,2dof,gp,800,100,10,0.04741976309766459,0.07696059709258266,0.012138127011536862,0.02458630683127509,0.045164464340194575,0.44054739673217796,0.03238040683067709,0.05272857763056919,0.007935581130951098,0.01363815942889347,0.03649772120071722,0.26462094896291655,-0.0150393562669875,0.05336730296823555,-0.019095756226388216,-0.0070413057020442295,-0.0007019316942889272,0.04786043694669487,0.3260594872281918,0.17587201092927585,0.18958053913063233,0.2923971619514598,0.41533057036151677,0.8326739526342477,0.289397238491614,0.19214756717051343,0.14941591405561294,0.254279562291705,0.36957010414555236,0.9723179142528581,-0.036662248736577786,0.11374050280047726,-0.08921807967630363,-0.03496834317025629,0.011916384440555206,0.26659581432007573
2dof_gp_L850_N100_seed10,2dof,gp,850,100,10,0.06397270081961115,0.11820729245589395,0.015986753588785922,0.02844548637301329,0.05901556716943977,0.6083103064973084,0.04494977272695875,0.09064934397799064,0.008272254997701954,0.01742683251778915,0.045471105000962485,0.4407597654810317,-0.019022928092652408,0.05431204619857304,-0.022093000118817027,-0.007987681716439333,-0.0008282194148447827,0.024458233804155502,0.32693740421498757,0.16248937999988397,0.2234873583256295,0.2961904478992492,0.4007803715093799,0.8168630146013699,0.2860416462567751,0.1724153969203604,0.16741540297925336,0.2523212848682712,0.3434925794365996,0.7727608138594279,-0.040895757958212535,0.09645779875814475,-0.09916770100384902,-0.03605297456085914,0.001595540150277408,0.19089989028142662
2dof_gp_L900_N100_seed10,2dof,gp,900,100,10,0.05009272363162618,0.09376771256109853,0.016001088717672654,0.023899780845516205,0.04179502570175745,0.44270911132714585,0.03213208617147235,0.042649742637633326,0.011661006533711302,0.018300467626317846,0.03143232858475626,0.1996872457221468,-0.017960637460153837,0.06585178462277878,-0.01706427984477612,-0.005048382678362362,0.0008717743356567885,0.034646268904411574,0.34032028531001113,0.186845812823251,0.21222972654404967,0.29118880176257167,0.42150317059758113,0.9014036890098549,0.3061004909595515,0.19912264526571202,0.1612326768877471,0.24091911678099742,0.3999771381608812,0.900209297509566,-0.03421979435045953,0.084639549463237,-0.08139856753354417,-0.027665094395405765,0.01918456115978323,0.1302356700158392
2dof_gp_L950_N100_seed10,2dof,gp,950,100,10,0.04935849389775235,0.08867262466090942,0.012453759969283863,0.019650408164673172,0.04541653389943669,0.40301559466558756,0.03734321604721366,0.07939261063071809,0.010648079245354396,0.01593494788380852,0.030214231287143508,0.28475843975210646,-0.012015277850538693,0.034174866026072726,-0.013453324961144028,-0.004813179068940761,0.002588919388055903,0.04557514267665036,0.324413103894531,0.15754677611848478,0.21567815324672113,0.29741558224486675,0.43504684218492456,0.7170349525490999,0.2887316840781553,0.15176722760423822,0.16799475934570737,0.26420784828490346,0.381833525080093,0.626352241026387,-0.035681419816375674,0.08008635910654126,-0.07667889796390814,-0.023584950258852225,0.017643546599249757,0.11027401927256177
2dof_gp_L1000_N100_seed10,2dof,gp,1000,100,10,0.042754990596495276,0.043578810002783255,0.018451096592719804,0.032960289675268276,0.05244781152514834,0.2443429833355722,0.03117073995512641,0.026726236873553307,0.014478349561785559,0.02418669445299994,0.03973564499278904,0.12337906322837788,-0.011584250641368865,0.02813735761257945,-0.013883143348885785,-0.007378823562828171,-0.0001655034868712174,0.027296216453559893,0.32659891049646006,0.1704428769090141,0.20041542401086504,0.2915613397550115,0.3868809739615678,0.8380668132351058,0.2872692456231553,0.15870690005466945,0.18021825252285645,0.24642032537052472,0.35758433773974063,0.7912993960314996,-0.03932966487330478,0.07593572972269086,-0.08582607764476746,-0.02849636152643477,0.013620263259550694,0.0814733831176523
2dof_sinusoidal_L50_N100_seed10,2dof,sinusoidal,50,100,10,0.214532618638104,0.15058250802182732,0.10867728058364867,0.17526889174513322,0.27515114497573195,0.7015801520300513,0.044932961348974565,0.03866758246502458,0.020610408889166487,0.029580189182414035,0.0505079789904061,0.18991201399695917,-0.1695996572891294,0.12792116570450837,-0.23157772528167436,-0.14252181598781782,-0.07812223142296162,0.017329300039588796,2.910477574202432,2.72619103402879,1.035456423708307,2.2181962867774954,3.9543228786068187,12.58999260673387,0.44840303082908006,0.3099934643534233,0.1974322041531032,0.360280243402296,0.5912262301441901,1.4159946024777106,-2.462074543373353,2.567309088650179,-3.3791541085329566,-1.8514273032878676,-0.768447368669821,-0.06547794551734397
2dof_sinusoidal_L100_N100_seed10,2dof,sinusoidal,100,100,10,0.07382613568064639,0.07575726024592555,0.034981614870063585,0.050869664998235656,0.08078050050081559,0.31214331600510264,0.029294271248270314,0.03122547587038178,0.013527870468147948,0.02223469369941236,0.030681988771378076,0.12953960752255714,-0.04453186443237606,0.06062891109382276,-0.052478574886102115,-0.02861237165621557,-0.019244991687910842,0.007009297991036294,0.7782686418237197,0.9265202963695466,0.278545341639921,0.49510041775050784,0.8844798898645402,3.433898319265321,0.22184709015681756,0.223269810041681,0.09088011546055602,0.14722894850449564,0.3064695442910006,1.0357187346178482,-0.5564215516669022,0.7550524864379148,-0.6351049082969709,-0.3071667307092652,-0.152337552380063,0.03201637439027205
2dof_sinusoidal_L150_N100_seed10,2dof,sinusoidal,150,100,10,0.04784153985129583,0.04583964080632728,0.02008075843922347,0.03219285259448384,0.05505251130315103,0.20926381131465227,0.021096475113979486,0.01766398828682076,0.01027156824664036,0.015704354585594493,0.02447883216190616,0.08852309265307745,-0.026745064737316353,0.034649391443313526,-0.031034381466034752,-0.015947610621036744,-0.006854675908460502,0.008922531532468365,0.6086734714954126,0.7731909125545134,0.18812515055291662,0.36069115501344157,0.614145641810819,3.3636478908107867,0.2091807942343293,0.21602043686155273,0.09078227286784207,0.12391869944458209,0.23859327128420374,1.0943924243345533,-0.3994926772610836,0.6318133582877212,-0.37297332070188,-0.20660804108515834,-0.0820823786052918,0.0131121121327232
2dof_sinusoidal_L200_N100_seed10,2dof,sinusoidal,200,100,10,0.05240753199370589,0.06967822642614023,0.015470696600112126,0.02573383225560586,0.050977347698379506,0.34671281268400866,0.02622198869346756,0.03767493081583154,0.007253612857503599,0.010623161366361157,0.019792695338124146,0.15276963792830864,-0.026185543300238336,0.04775455891128997,-0.024315988439907406,-0.01266079002898806,-0.005547553193694387,0.029847557287478423,0.5369009013390681,0.7152499115548816,0.17246806318531133,0.27145516151354765,0.6284532166397321,3.577565206860122,0.1960271628282132,0.18403147941265893,0.08260420645206089,0.13545986577483374,0.2360185073191036,0.8094571098311972,-0.3408737385108548,0.5937292971966163,-0.3074675491386011,-0.13864983486958604,-0.05993901154545979,0.02771012038301628
