sigma,policy,L,ung_mean,ung_median,ung_std,gui_mean,gui_median,gui_std,ratio_mean,ratio_median
0,sinusoidal,200,15.999844349292818,0.4832671223914636,209.4705246689592,4.7968141156891235,2.197295307072454,36.19262096929466,3.335514773641429,0.21993726598148522
1,sinusoidal,200,2.974577512683364,0.1552333838814395,37.4227852958941,0.9345529024406528,0.4381575339560635,6.916159182208082,3.1828883147385647,0.35428669337226465
2,sinusoidal,200,0.5894510418812087,0.08540920325162957,6.589003248835543,0.22818760915459613,0.11055846010245107,1.5661790568680536,2.583186019894087,0.7725252610472643
3,sinusoidal,200,0.23792755504105198,0.07132963279376162,2.1083435605539638,0.12759290467092538,0.07488074385758323,0.6553129711160669,1.8647397020601615,0.9525764451462245
5,sinusoidal,200,0.11344294696776998,0.07048543514072281,0.490422748031833,0.09355488767829936,0.07054285919467806,0.24428876987276074,1.2125817237668894,0.9991859692871707
7,sinusoidal,200,0.09482871050994358,0.07412954554756326,0.2009500643566843,0.0895789029621157,0.07373807164162052,0.14329962586279907,1.05860540120756,1.0053089794352823
10,sinusoidal,200,0.09334743175920286,0.08117144671214085,0.09447008995330329,0.09270092567610108,0.08086076802981748,0.0943838872225569,1.0069741060122817,1.0038421435993388
15,sinusoidal,200,0.10262943699140546,0.09402665536424554,0.05958165464112894,0.10313672806664487,0.0941531941471392,0.07127870359573713,0.9950813731950892,0.9986560330317004
20,sinusoidal,200,0.11459123845542657,0.10691828637264254,0.05413325463618643,0.11525431209850122,0.10678333300106543,0.06572244795175368,0.9942468647723309,1.0012638055751244
30,sinusoidal,200,0.13981648243566433,0.1342962644477849,0.055491409242343324,0.14073961905059154,0.13449184711757867,0.06669045827273819,0.9934408191442143,0.9985457656059792
0,sinusoidal,500,23.17297736171849,0.4955359965281306,279.8992985244807,8.924288767380965,2.0524090011112452,96.09118581490674,2.59661895370505,0.24144115342498998
1,sinusoidal,500,4.215385473414778,0.1497362329610053,50.0693231215444,1.70445632985422,0.41399825284154973,17.977652217621596,2.4731554570103387,0.3616832484998774
