context_fraction,unguided_rl2_qpos_mean,unguided_rl2_qpos_std,unguided_rl2_mom_mean,unguided_rl2_mom_std,unguided_rl2_total_mean,unguided_rl2_total_std,unguided_rl2_energy_mean,unguided_rl2_energy_std,guided_rl2_qpos_mean,guided_rl2_qpos_std,guided_rl2_mom_mean,guided_rl2_mom_std,guided_rl2_total_mean,guided_rl2_total_std,guided_rl2_energy_mean,guided_rl2_energy_std
0.0,0.23934853020826594,0.29253382499736796,0.1900775221152366,0.29757938595898714,0.21471302616175122,0.26179594221963054,0.039543107,0.07682153,0.23007827434496428,0.24475768529256495,0.1777015461587984,0.1988321702751032,0.20388991025188133,0.20535042888790875,0.05558299,0.09636601
0.05,0.22405469049288051,0.2429390372457072,0.18641383788170326,0.2055661120770156,0.2052342641872919,0.2071845593372923,0.03395209,0.04107026,0.22221094849355147,0.2438485467014036,0.17553947076445664,0.19161675502569478,0.19887520962900407,0.18794511092087565,0.04581704,0.0764422
0.1,0.20456672014285665,0.22357886134997035,0.1797102605179571,0.2020101953970263,0.1921384903304069,0.18837478682202885,0.039896127,0.077278346,0.20353254580042404,0.21806556456853537,0.17377926467456056,0.1861858560996144,0.18865590523749234,0.18127540573354506,0.048196707,0.095636636
0.15,0.20304328422375775,0.20720533193593704,0.17856507642587885,0.19539995677675712,0.1908041803248183,0.1818942440934865,0.050077423,0.0958143,0.21706990835455334,0.22797959444252314,0.17563524167656894,0.1921019834376682,0.1963525750155611,0.18369479122175875,0.046103347,0.095001884
0.2,0.24050181031150017,0.3107729011233,0.1768313111807272,0.21313615837485014,0.2086665607461137,0.2357170808136579,0.03844236,0.07827987,0.22786250241208353,0.26419999182082043,0.1742346394400582,0.19704616349122567,0.20104857092607087,0.20383791307569027,0.03772508,0.049304068
0.25,0.20955827059547757,0.24186860913870795,0.18160263874577148,0.27895379636712964,0.19558045467062457,0.23467953845800532,0.04860463,0.13335901,0.23507659909945652,0.2677534748310692,0.19606812137308516,0.23044516936510975,0.21557236023627088,0.22550120665156137,0.03585659,0.041507676
0.3,0.21814277923407094,0.2437694911106087,0.18182601380660707,0.243158814821037,0.19998439652033903,0.2142781008314237,0.04943963,0.13446972,0.22433478215003042,0.259150207459175,0.17366446196251942,0.23977496522356367,0.1989996220562749,0.22268223382197644,0.043930534,0.09723077
0.35,0.2355995933485498,0.25758914863659854,0.17355172347631417,0.1865620864137452,0.20457565841243197,0.20275317110592697,0.04050143,0.052072078,0.20387285470680652,0.23796288073438193,0.15239765305653782,0.1370269188005752,0.1781352538816722,0.16964984149257417,0.046139393,0.07674675
0.4,0.23712683646089044,0.28342859881742927,0.18230800510967002,0.19983242158719713,0.20971742078528022,0.21598280497455444,0.048466243,0.1617799,0.20947861884066313,0.2497403670463511,0.15950074858101934,0.15659413570231612,0.1844896837108413,0.18592513166128197,0.050094303,0.15761106
0.45,0.24688692140912288,0.27198795159136385,0.17731091340912702,0.1893194007603223,0.21209891740912495,0.20590820354640588,0.049276933,0.09914512,0.19954082796256375,0.1908822319613131,0.19399137053249615,0.22761425673888505,0.19676609924752994,0.18559009355256456,0.051733017,0.14281236
