context_fraction,unguided_mse_qpos_mean,unguided_mse_qpos_std,unguided_mse_mom_mean,unguided_mse_mom_std,unguided_mse_total_mean,unguided_mse_total_std,unguided_mse_energy_mean,unguided_mse_energy_std,guided_mse_qpos_mean,guided_mse_qpos_std,guided_mse_mom_mean,guided_mse_mom_std,guided_mse_total_mean,guided_mse_total_std,guided_mse_energy_mean,guided_mse_energy_std
0.0,0.025498464822500486,0.08782361089674856,0.47504033686447955,1.5432944928279881,0.5005388016869802,1.6119276119423176,0.2843999,1.1454686,0.02497772022697307,0.09210416876599674,0.45744891385276154,1.536074725497297,0.48242663407973463,1.6077125058990502,0.29753777,1.8744855
0.05,0.019833655087114866,0.06305322265473126,0.35363010360497094,0.9159246626708729,0.37346375869208576,0.9565853989222503,0.24825808,0.97436607,0.018764196017846204,0.06129019352827528,0.3298126967936952,0.8422818279269383,0.34857689281154136,0.8808934512610538,0.26840833,2.048473
0.1,0.019724914512116557,0.0625414285855008,0.35180864027666303,0.9043339726297632,0.3715335547887796,0.9444058705849013,0.24796543,0.97470725,0.018847738418511516,0.060411826381573636,0.32959042950413037,0.8268812739039815,0.3484381679226419,0.8644745761783644,0.2666368,1.9942782
0.15,0.019699669516034284,0.0626209541733313,0.3517316397675881,0.9049068047082255,0.37143130928362234,0.9450850220970419,0.24857718,0.97789544,0.01866071572974607,0.06082030720997036,0.3248393393185197,0.8163463587966929,0.34350005504826586,0.8544983820589881,0.2683543,2.0379212
0.2,0.01962888941231219,0.062434560393297533,0.3497163250595113,0.8961923091296272,0.36934521447182345,0.9360984554502082,0.2473617,0.976493,0.018767222084435143,0.06088291315679387,0.3290605377091364,0.8345494839358315,0.3478277597935716,0.872406261828681,0.26712522,2.041491
0.25,0.019556299103303348,0.06204589259184116,0.3484525367177593,0.8869951807298454,0.3680088358210627,0.9267279463269059,0.24702862,0.9747055,0.018611304127108555,0.060567649863573346,0.3233434021804692,0.8063088207246474,0.34195470630757774,0.8439545902177157,0.26144898,1.9763957
0.3,0.019524852739981183,0.06195513657239496,0.34840236657135043,0.8884039883130436,0.3679272193113316,0.9280595037820942,0.24680668,0.9737353,0.018636271178246858,0.06094669033748873,0.32530911796244333,0.8085225068809776,0.34394538914069017,0.8472494063659383,0.27182862,2.0633104
0.35,0.019536774619487496,0.06191915079647101,0.34810701231395164,0.8880749595555459,0.3676437869334392,0.9277077147703162,0.24692108,0.97317576,0.018587024585223,0.060103686084311866,0.32534288714929244,0.8095989166660755,0.34392991173451537,0.847403551556425,0.26816863,2.0336642
0.4,0.019573462351203396,0.06209344706992712,0.3484342441059995,0.8883203064233884,0.3680077064572029,0.928031950575087,0.24687822,0.9729258,0.01862419189498576,0.06073972460232531,0.3264116267217854,0.8157124489378621,0.3450358186167712,0.8535350014998222,0.26806775,2.0479
0.45,0.01950866761083536,0.06175025026380345,0.34885410813613177,0.8930915801622125,0.36836277574696713,0.9327745693036977,0.246841,0.9735195,0.01831545127756006,0.058621182820491974,0.32253897812878257,0.7997940182879044,0.34085442940634264,0.8357544313497645,0.26857063,2.0212088
0.5,0.01950950694865936,0.06179345787847208,0.34818162887791904,0.8875721647822646,0.36769113582657836,0.9271974447795458,0.24662364,0.97355396,0.01843504616809991,0.060797145257070945,0.32068996966061036,0.8029761141966097,0.33912501582871024,0.8408557128179346,0.26680395,2.020939
0.55,0.019533130987089337,0.061807158309153086,0.34833584047895,0.8876715307401583,0.3678689714660394,0.9272955158129846,0.24697837,0.9742505,0.018218047304828056,0.05880042830299863,0.3197935622226955,0.7854222357942661,0.33801160952752357,0.821571838263462,0.26288953,2.036977
0.6,0.019518999649460696,0.06174569870165459,0.3482793407391109,0.8877475861030031,0.36779834038857157,0.927300597809086,0.24681093,0.972363,0.01840120798842675,0.060169088763388334,0.3225965810852439,0.8062141900865321,0.3409977890736707,0.8438529563472086,0.26562908,2.0203438
