model,candidate_id,policy,length,seed,med_ung_nrmse_q,med_gui_nrmse_q,med_ung_nrmse_p,med_gui_nrmse_p,ratio_q,ratio_p,prob_q,prob_p
dpf,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.3671621420800587,0.057895022602138746,0.042637582715971276,0.7678825588570282,0.7364637027431814,0.5833333333333334,0.75
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0,sinusoidal,100,10,0.4781488234692677,0.2941440507996305,0.057895022602138746,0.020063302812526065,0.6151725913815538,0.34654624716883503,0.6666666666666666,1.0
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.3259642841431053,0.057895022602138746,0.028534549234920194,0.6817213974888222,0.492867054064611,0.75,0.9166666666666666
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=1.0|ham_delta=1.0,sinusoidal,100,10,0.4781488234692677,0.384607804916331,0.057895022602138746,0.04221772784042513,0.8043684017159379,0.7292116997785839,0.6666666666666666,0.9166666666666666
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,100,10,0.4781488234692677,0.2941396234218725,0.057895022602138746,0.020067515277620317,0.6151633319678719,0.34661900757041914,0.6666666666666666,1.0
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.32596808311095615,0.057895022602138746,0.028535014554419407,0.6817293426466149,0.4928750913617447,0.75,0.9166666666666666
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.29616591351361393,0.057895022602138746,0.028318897654683997,0.6194011131612657,0.48914218151868977,0.75,0.9166666666666666
dpf,mode=one_step|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,100,10,0.4781488234692677,0.28113696893557577,0.057895022602138746,0.020706767828718792,0.5879695925961961,0.3576605880442967,0.75,1.0
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.32071260378635225,0.057895022602138746,0.05052207367299071,0.6707380381266703,0.872649692533747,0.5833333333333334,0.5833333333333334
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.29877051601440374,0.057895022602138746,0.02819927649532488,0.6248483763833976,0.48707600805536516,0.75,0.9166666666666666
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.34548216416570515,0.057895022602138746,0.02967152128246364,0.7225410734235771,0.5125055652256973,0.5833333333333334,1.0
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,10,0.4781488234692677,0.30228985213935544,0.057895022602138746,0.031430383597623235,0.6322087126473599,0.5428857643534651,0.75,0.8333333333333334
dpf,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.44149060103490684,0.06955297367372439,0.04574096665314227,0.7829231772306328,0.6576421429185022,0.6666666666666666,0.9166666666666666
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0,sinusoidal,100,11,0.5639002827794086,0.32557538184703383,0.06955297367372439,0.016263994638825427,0.5773633952483673,0.23383607888744537,0.6666666666666666,1.0
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,100,11,0.5639002827794086,0.30619053191824286,0.06955297367372439,0.024328693147335635,0.5429870160891923,0.34978652762515156,0.75,1.0
